Fitness_Per_Cycle,Error_Fitness,Cell_Number,Error_Cell_Number,Log_Likelihood_Value,Mean_Fitness,Kappa_Value,Inference_Time
3.217419554,0.008471157,185492.8709,325.0176343,-1507.850232,0,2.5,232.64876
2.915163032,0.018402425,67888.19036,1521.318673,-376.8771146,5.23031338,2.5,236.93006
3.85630668,0.019368709,11006.58611,407.0333284,-212.3777055,5.586838754,2.5,225.60782
0.816631435,0.494519307,1370.823565,222.4957567,-7.811819853,6.485259374,2.5,
2.047439558,1.819601194,30.26578293,26.25444342,-4.848218202,6.5033333,2.5,
2.671017125,0.022455526,68827.41195,441.6266257,-333.7680102,,,
0.752682823,0.439639825,1921.082883,268.795766,-9.250263782,,,
1.064399437,0.414351493,1495.929883,235.3970185,-8.129564893,,,
1.116923623,0.364256989,1843.378488,261.3585911,-9.004673298,,,
0.555218284,0.497978696,1785.669217,255.5286416,-8.132057156,,,
0.532567671,0.54569784,1536.158285,236.6255823,-8.083917659,,,
0.437483193,0.770062554,845.0606696,176.1904464,-7.140162266,,,
-0.128775692,0.980997529,929.1938203,185.5235061,-7.089650413,,,
0.496729759,0.495007065,1972.632593,269.4802932,-8.863610376,,,
0.511142132,0.469091392,2167.070367,284.4574622,-9.107365699,,,
1.297987821,0.401822247,1253.310775,216.4630744,-8.357721074,,,
0.78208328,0.458992208,1695.395036,251.707406,-8.913543868,,,
0.940849684,0.42377544,1682.487084,250.9269352,-8.885746956,,,
0.706390304,0.520350929,1414.267861,226.6360853,-8.167141087,,,
0.793516151,0.418486665,2002.887108,271.0727873,-8.928914932,,,
0.811279787,0.457160176,1626.605876,245.6002405,-8.115490699,,,
0.580333003,0.509247558,1684.932074,247.2643859,-8.388819644,,,
3.550953884,0.109375002,730.2756847,128.1474242,-13.60365491,,,
0.562399366,0.493996972,1838.30219,259.4766968,-8.663067568,,,
0.772275753,0.411885182,2100.802778,279.9847224,-8.841358796,,,
0.879799874,0.376235501,2229.762974,287.5701248,-8.986785214,,,
0.052876656,0.512004245,2822.592307,322.3056198,-8.43975318,,,
0.427966162,0.511837513,1937.006089,266.502162,-8.173848709,,,
-8,33.34661065,1009.784772,190.8076602,-6.712113915,,,
-0.472293305,0.968570724,1342.945199,219.9248793,-7.267417476,,,
0.831297661,0.425351169,1862.340183,264.1390458,-8.84192419,,,
0.900472783,0.478362333,1385.661048,225.3972103,-8.472483183,,,
0.983898374,0.356256275,2268.040325,288.4413458,-9.743454126,,,
0.44842811,0.564761198,1561.393909,238.5576467,-8.006381843,,,
1.418796974,0.38006949,1203.160934,213.1008659,-8.162753634,,,
0.741281648,0.506280325,1469.036865,233.2572772,-8.683347196,,,
0.328148336,0.548767142,1798.295131,256.7545968,-7.35081807,,,
3.832226073,0.046951622,2524.10861,208.298982,-15.36502467,,,
1.22694249,0.328522395,2062.335842,279.6679131,-9.871140474,,,
0.69507231,0.490381919,1598.541346,241.7685634,-8.172605886,,,
-0.198360915,0.931360873,1089.276223,200.2672893,-7.04439213,,,
0.68822465,0.511891153,1462.886225,233.57493,-7.80026376,,,
1.239247983,0.172102506,7057.125016,512.2154679,-12.01150259,,,
-0.520192669,0.964169124,1399.652603,225.1698807,-7.138382216,,,
-1.5244359,0.309065388,36775.48802,727.0978912,-10.03317645,,,
0.805835058,0.408153217,2066.871838,275.1231666,-8.714573848,,,
0.604810271,0.39887836,2682.299096,314.5336059,-9.593251348,,,
1.163548058,0.155945425,9447.622972,561.5104894,-15.03021483,,,
-0.549695397,1.0807354,1139.336358,201.489532,-6.915162318,,,
-1.483862591,0.48234465,14117.86091,628.315505,-8.056248451,,,
-1.395727731,0.440310276,15496.49191,817.5280388,-8.109925598,,,
0.414464206,0.257388974,7607.251401,559.9526286,-10.17572144,,,
1.020900477,0.183751471,7958.138175,564.2022547,-13.25533946,,,
-1.067327924,0.70235932,4642.475077,406.5533506,-8.648936577,,,
-1.559842303,0.450337174,17489.00125,604.3865232,-8.165275936,,,
-0.373020345,0.36143568,8734.122203,562.6790606,-10.85485664,,,
3.436300579,0.098840636,873.4542993,142.1839328,-9.212785071,,,
3.387283651,0.09056301,1286.397608,183.1438295,-10.99339962,,,
3.390390003,0.096966438,967.7800813,149.3112357,-9.868046528,,,
3.264714588,0.106017572,1115.71343,177.1708184,-9.763025027,,,
0.437433284,0.594993421,1383.58063,225.5967801,-7.327119227,,,
3.410205743,0.098283973,1041.869006,158.7551367,-10.37904897,,,
3.48365374,0.100514532,741.5846649,124.4632376,-9.388392494,,,
0.568841473,0.635224902,1046.002498,196.6187859,-6.990014067,,,
3.478281334,0.103227343,735.8676418,126.8915826,-8.967110152,,,
3.33885751,0.095052577,1307.472889,189.8302724,-11.11987229,,,
3.547286159,0.069875016,1595.96081,186.2318416,-12.97993599,,,
0.78047423,0.707329319,646.7369776,150.8372472,-6.491211119,,,
1.234218462,0.208068142,4829.477035,413.7978018,-10.08633363,,,
3.371582576,0.131099658,554.6359272,115.6698154,-7.644869235,,,
3.698679773,0.018992711,16056.07444,535.1995586,-371.4305472,,,
0.516918422,0.697251693,911.2972654,181.927236,-6.823831459,,,
3.53275624,0.076959419,1412.829759,177.7906694,-14.42966181,,,
3.343408294,0.127375436,630.2690466,126.1594722,-7.323462351,,,
3.39036631,0.102820039,917.1382869,150.1159743,-9.259615369,,,
0.170685406,0.746778061,1133.315271,203.0185038,-6.898211666,,,
3.479542569,0.102514882,908.0370642,150.2699706,-10.62565771,,,
-0.139775844,0.823664365,1310.33291,219.6380364,-7.246033442,,,
2.532113389,0.193201315,1125.456457,208.3012332,-9.199764231,,,
3.300626457,0.104239486,1186.044112,186.2136861,-10.85758482,,,
3.617987245,0.083333922,951.0007248,136.6377278,-10.92947667,,,
3.189752322,0.093772303,1679.419052,232.5318449,-12.68723408,,,
1.181272532,0.98303538,216.812618,85.32099393,-5.906873914,,,
3.316403767,0.106571504,926.0134418,150.7877793,-8.40122772,,,
3.478466428,0.119397404,562.4385566,109.6819584,-8.922616963,,,
3.284623376,0.118121821,853.5363046,155.5670087,-8.294382826,,,
3.455313402,0.118105781,600.1848362,115.6414182,-7.944015675,,,
3.295392735,0.099404364,1327.244578,196.9165968,-11.55470945,,,
0.904864609,0.733114195,536.9790717,139.1223166,-6.454686288,,,
3.259933891,0.121041962,908.8698008,167.5494239,-10.06234913,,,
2.068491046,0.616277945,198.1998395,82.12985231,-5.977090123,,,
3.46860884,0.111462399,686.379295,126.213668,-8.936585965,,,
0.744111026,0.746834872,633.469552,151.33396,-6.689243545,,,
0.283091846,0.542319411,1912.825348,264.1114947,-7.233664347,,,
0.614997395,0.609554966,1077.428487,197.7886843,-6.966662309,,,
-1.456748872,1.660065883,1211.906768,211.2678978,-7.025145251,,,
0.290603785,0.661930454,1307.52432,218.9460204,-7.296726386,,,
0.36147953,0.577284166,1603.791275,241.0523995,-7.525604249,,,
0.675566571,0.744532044,681.3203285,155.7310648,-6.687742714,,,
0.748314947,0.521109638,1310.976937,219.4917734,-7.366708478,,,
-0.867753424,1.510254759,804.3901143,170.5023217,-6.684572776,,,
0.416709092,0.602492308,1407.270891,228.405196,-7.605503031,,,
0.20456299,0.759994993,1022.248439,189.9377611,-6.714230656,,,
-0.522470288,1.006902035,1249.100675,212.9742035,-6.904694108,,,
-0.25281615,0.721014473,1892.669241,260.5386934,-7.287397027,,,
-0.503703085,1.252110197,818.2036001,171.5518998,-6.766503564,,,
3.306120502,0.098301074,1259.338457,185.1707958,-11.85171677,,,
0.657553139,0.580543551,1143.146929,203.3504174,-7.089976936,,,
0.127583,0.634268659,1677.183387,244.9828598,-7.422480103,,,
0.402949591,0.557287601,1621.741151,245.6581893,-7.298077401,,,
3.116997185,0.117764412,1138.392328,190.1565217,-9.848615066,,,
3.351650996,0.086477787,1484.332244,199.751751,-11.53706753,,,
3.337792485,0.086945276,1551.673126,208.1136179,-12.12268923,,,
-0.579036419,1.279733589,844.0175188,174.767546,-6.771006709,,,
3.315207536,0.147512203,666.4993895,143.5995833,-14.19904376,,,
3.456453676,0.094259845,941.5969453,146.0807652,-9.791691057,,,
-0.49308526,1.119878087,1024.058708,191.4995754,-7.026796233,,,
3.291129964,0.090517857,1495.378915,201.628185,-10.9139273,,,
1.475799055,0.392351387,1046.209029,196.3396557,-7.564548142,,,
0.094850336,0.935530591,793.4252968,169.1841882,-6.750896092,,,
3.357079357,0.088843815,1361.294608,189.3301572,-9.88850061,,,
-0.054587667,0.585089361,2404.672563,295.5413853,-8.025535662,,,
0.501010363,0.630491808,1139.495963,204.1235447,-7.028563324,,,
3.321720577,0.092352254,1285.106397,186.0561262,-9.790197094,,,
3.372945717,0.095986579,1077.353714,162.9942061,-9.498993494,,,
0.159847173,0.545338825,2212.16398,282.935244,-8.038683699,,,
3.370464591,0.094834735,1280.03568,188.8402821,-10.98605618,,,
0.37918682,0.546799646,1722.662069,249.0798111,-7.354580446,,,
3.887588358,0.136581344,369.5054282,85.15213499,-6.733216456,,,
3.412455669,0.088487888,1427.508242,196.346125,-14.24757655,,,
3.22103355,0.098482434,1491.267912,214.5212972,-12.14147147,,,
3.223700704,0.091825186,1613.840189,220.0834598,-11.15339837,,,
3.256063648,0.095989668,1458.586978,210.894896,-11.98188467,,,
3.32680122,0.125007234,676.7787503,132.8871835,-8.32063855,,,
3.315776963,0.099878814,1142.10932,175.3440871,-9.326145335,,,
3.382867933,0.109330922,778.2268643,136.5569415,-8.52949751,,,
2.924615439,0.168023695,760.600985,158.2081826,-8.13907992,,,
3.314114832,0.095214804,1436.968433,206.7774992,-12.40509284,,,
0.703262851,0.522968942,1345.082028,223.4887253,-7.269544715,,,
0.40101589,0.667954042,1138.54876,203.8072134,-7.121297045,,,
3.19012716,0.123209465,888.4701773,160.1118179,-8.408484086,,,
0.37958542,0.547589666,1716.49559,249.6180034,-7.297871705,,,
3.393623011,0.097416534,973.4199951,151.1753861,-9.532817228,,,
2.097332401,0.259440548,1089.283984,200.1275625,-7.699436114,,,
-0.097704689,0.686638971,1801.657711,256.5693762,-7.402033852,,,
3.266559937,0.099791474,1207.548708,182.5461564,-9.137020881,,,
3.312682436,0.152544652,491.1983724,114.2505735,-7.890789939,,,
2.418303012,0.148848692,2300.149703,302.1319256,-13.3885611,,,
3.201198225,0.108576603,1131.245748,178.7920672,-8.847601386,,,
0.408469568,0.637893495,1257.509028,214.3281236,-7.418972073,,,
3.298594766,0.099286805,1167.21296,178.4383879,-9.120619984,,,
0.373534111,0.724220806,979.9712478,188.3739665,-6.845792991,,,
0.386276671,0.649588131,1222.940937,210.4043457,-7.182209852,,,
3.404793136,0.090625974,1081.045884,157.8516542,-9.449293425,,,
1.61341412,0.170687902,4575.537038,411.1488345,-9.290611906,,,
3.350278653,0.087278742,1401.543559,188.9020984,-10.64024661,,,
0.784494747,0.572894327,1008.950724,191.0424693,-6.859286621,,,
2.900646803,0.126947446,1481.521461,232.778097,-10.63516894,,,
3.269582614,0.086376179,1726.653848,224.1232401,-12.40725984,,,
0.127834368,0.584296952,1954.832701,267.4605154,-7.40639461,,,
1.19593071,0.404325704,1370.625145,225.3036572,-8.299106867,,,
1.187243318,0.16310103,8549.082983,587.0230541,-15.28515539,,,
3.388975724,0.10367387,866.3325424,144.6368333,-8.37444268,,,
0.65656215,0.553534543,1252.805126,213.3697599,-7.107527744,,,
0.172722368,0.565056008,2031.532364,273.6432091,-7.809369295,,,
0.292764607,0.605534485,1568.152131,238.8070636,-7.521247358,,,
3.338820021,0.091395955,1406.927309,197.3122533,-11.67418953,,,
0.463724981,0.612496525,1252.848051,214.7275338,-7.07882237,,,
0.464943995,0.664467659,1078.219639,198.8669773,-7.110340143,,,
0.373621254,0.660327197,1173.52215,204.7217326,-6.929552353,,,
3.09861282,0.100613138,1628.912041,229.9054885,-12.36425311,,,
3.315978538,0.09973997,1119.118887,172.9862683,-9.692464863,,,
0.159592214,0.623960257,1708.053311,250.1238321,-7.731554336,,,
0.234848797,0.620130902,1568.170062,237.980807,-7.358998278,,,
