Fitness_Per_Cycle,Error_Fitness,Cell_Number,Error_Cell_Number,Log_Likelihood_Value,Mean_Fitness,Kappa_Value,Inference_Time
-0.30875176853963493,0.056457669640127835,313510.77801388333,319.0676752039635,-42.321313611233336,0.0,2.5,222.43205
-1.5601519227898062,0.16642491745282095,126946.44828448584,626.6492765303301,-19.8292052480623,7.343165080234558,2.5,224.2344
2.1029589317475494,0.06510371602153416,46345.33389833168,653.8893809240761,-28.102017116923232,9.653841970028093,2.5,
-8.0,38.60778303932814,747.6842077952583,164.53844248408572,-5.801273848580187,9.864783292828612,2.5,
-8.0,184.85510776982613,31.918440812459064,26.18309787655896,-3.7339472727767498,9.90075346471024,2.5,
-2.4458259974834617,0.2637386818879292,122809.86077826154,1853.7408280111815,-19.04833838368762,,,
-1.0359642565889406,1.8539410243195746,593.6883380562779,147.01091547595755,-5.609813765490326,,,
-1.7954922341872177,2.1426971462323143,957.0514928070145,186.89154516785263,-5.9259985461267535,,,
-8.0,38.59094298097739,732.7502603488388,162.82189744681833,-5.897080430005109,,,
-1.7483099485107028,2.4682655006827847,686.5004454191507,157.52776565416065,-5.684294030916815,,,
-3.9726666294729878,7.413455148891155,706.638838492037,159.3960832157383,-5.697691111700581,,,
-1.6902178931121339,4.2082540439190455,231.42418132336363,89.19129310469548,-5.178144070596328,,,
-1.426473744353473,2.0576918914932896,715.8183453905399,160.1046634383703,-5.7375432444897605,,,
-0.35519574095475775,1.1841066897240586,751.1760107287928,164.62656023731088,-5.800792919446727,,,
-0.35173079258312023,1.0072942978039243,1008.9546361730338,191.52981687276085,-6.0603440851958235,,,
-8.0,46.144593652987496,524.2188560352959,137.1592258752661,-5.5464910469824185,,,
-0.6309822547597768,1.4373957592973945,670.3773806772562,154.96996466095013,-5.725966707822268,,,
0.035947224819914254,0.8784242570753067,912.0811369032316,183.7180478473297,-6.069704746740131,,,
-8.0,44.98091220061739,539.3134208803449,139.381096476219,-5.560941449656643,,,
-0.40942304388038325,1.4520562835759212,513.8613321160533,134.86370986683198,-5.534161799083988,,,
0.27409722303775286,0.8495717029240674,756.8387365757934,167.14579353700074,-5.74080393603298,,,
-1.1521579063794989,1.9605079788832773,611.6807342014714,148.51295880528957,-5.721816624107453,,,
1.7868965965413266,0.3638890293226862,803.7266000070894,169.42635663763974,-5.97806573050634,,,
-2.894940945283359,4.287605117331889,719.7996137415845,161.97792584429936,-5.782930497573531,,,
-1.981219473367611,2.6246403319872837,767.3732708028366,166.8411890056096,-5.742297455910919,,,
-0.7123058427364982,1.381573269417865,790.2964027550386,170.4997197102072,-5.771354414049438,,,
-8.0,24.716807584368045,1809.2635546968938,257.56536431427526,-6.286034003959337,,,
-2.832359634559273,3.6563417827287674,957.1129858693591,186.7712174598938,-6.028499922420654,,,
-8.0,48.4549972639595,475.96310922819646,130.50062090074408,-5.495766644988549,,,
-8.0,29.023186838252673,1295.4161468290295,217.19294066424152,-6.0828658960854565,,,
-0.16441463204409068,1.1280585712702753,664.1347067717326,154.18005893727047,-5.739765307276857,,,
-1.8945104880539942,3.0312919767224393,527.4095775781965,137.19766904331632,-5.545799859064341,,,
-1.9317793715211802,2.588194239005757,771.9938592265343,167.5410797209846,-5.8455284985533975,,,
-8.0,37.76961732871116,764.9334062925248,166.70642533380703,-5.8131938525939635,,,
-1.8761584656823458,2.7944829366781736,608.3517951014471,148.48156826506636,-5.620968332927174,,,
-3.721212921794289,7.368493516621533,570.1298552847653,143.3217817147857,-5.62418196018336,,,
-1.048424207646691,1.4013060259962824,1055.2179729111137,195.14180452561874,-6.009678532333851,,,
3.2592377858470982,0.0368875958292086,10854.703876093552,526.9308628055167,-123.19616613684953,,,
-0.29430296260283756,0.9635517173682839,1036.8632221328903,193.64892041262746,-5.938900620312097,,,
-0.9145776853927031,1.7009557897059557,623.8329163765594,150.26251166217426,-5.674030002605229,,,
