0,0,0,0,0,0,0,0,0,7,0,17
0,0,0,0,0,0,0,0,0,14,90,5
11,0,0,0,0,1,1652,818,2023,125,3,27
35,0,1,0,1,5,2023,921,2358,170,10,30
0,0,0,0,0,0,40,13,14,5,3,26
10,0,0,0,0,0,16,0,0,0,4,19
0,0,0,0,0,0,30,0,11,0,0,8
0,0,0,0,0,0,7,29,0,0,0,0
694,0,0,0,0,0,40,41,66,63,49,39
1,0,0,0,0,0,0,0,0,0,16,19
0,0,0,0,0,0,0,0,17,0,0,6
1,0,0,0,0,0,2,8,171,234,190,36
683,1,2,1,0,0,50,38,46,56,68,43
1,0,0,0,0,0,44,14,10,9,14,39
0,0,0,0,0,0,0,0,4,0,0,21
0,0,0,0,0,0,19,0,0,6,0,0
2,7,8,39,4,0,23,0,0,0,0,0
0,0,0,0,0,0,0,0,99,110,0,7
0,0,0,0,0,0,57,9,0,0,0,0
0,0,0,0,0,0,0,0,0,0,15,9
7,0,0,0,0,0,5,5,267,351,327,54
0,0,0,0,1,0,97,29,30,14,16,52
0,0,0,0,0,0,26,6,0,0,0,0
0,1,1,2,1,0,0,0,0,0,0,0
21,6,7,34,39,5,3232,6354,382,31,0,0
1007,0,0,0,0,0,50,40,74,60,79,67
1613,1421,933,1143,0,0,82,75,125,59,100,73
0,0,0,0,0,0,0,0,0,0,120,46
0,0,0,0,0,0,0,0,41,21,0,0
1353,0,0,0,0,0,77,46,79,68,97,76
0,0,0,0,0,0,40,0,0,6,5,14
0,0,0,0,0,0,14,0,0,0,0,14
0,0,0,0,0,0,0,0,0,11,0,13
0,0,0,0,0,0,0,47,0,0,0,11
0,0,0,0,0,0,1,0,14,0,0,16
0,0,0,0,0,0,0,13,0,8,0,0
0,0,0,0,0,0,0,17,0,0,0,43
0,0,0,0,0,0,49,22,0,0,0,20
0,0,0,0,0,0,0,3,0,0,0,12
0,0,0,0,0,0,0,0,0,0,12,56
0,0,0,0,0,0,0,0,14,0,0,16
0,0,0,0,0,0,84,0,0,0,0,20
2,0,0,0,1,0,117,42,42,28,27,97
1243,0,1,2,0,0,97,69,124,104,95,118
1718,3,2,1,0,0,115,83,146,99,130,118
1,0,0,2,0,0,135,53,38,33,34,121
2602,1,3,2,0,0,177,153,176,142,191,138
0,0,0,0,0,0,0,0,22,16,0,16
5048,0,0,0,0,0,158,143,188,167,173,155
4021,18743,12962,15452,2,0,252,177,231,141,200,114
40,47,0,0,0,0,0,16,17,19,0,14
0,0,0,0,0,0,0,0,37,0,0,27
49,36,0,38,0,0,56,53,63,34,51,34
4,0,0,0,1,2,220,65,63,48,60,193
23,0,0,1,0,0,7,19,860,1099,1061,203
3,0,0,0,0,0,374,33,303,92,205,212
0,0,0,0,0,0,52,18,0,0,0,31
0,0,0,0,0,0,0,0,28,35,0,0
4,1,0,1,4,7,359,120,127,77,77,309
5835,3,0,7,0,0,385,321,494,385,455,358
2,0,0,0,0,0,641,19,371,190,298,359
0,0,0,0,0,0,0,21,0,0,0,55
0,0,0,0,0,0,77,24,0,0,0,67
9399,346,236,314,0,0,565,555,715,541,596,518
13879,0,0,0,0,0,776,637,783,699,937,715
0,1,2,2,1,1,0,0,0,0,0,0
12999,0,0,0,0,0,785,584,753,695,932,739
0,0,0,0,0,0,0,0,32,15,0,0
13921,0,0,3,0,0,808,681,778,759,955,814
18,0,0,3,14,29,1135,404,346,240,284,828
26905,0,0,0,0,0,1551,1283,1408,1392,1951,1578
0,0,0,0,0,0,735,0,0,0,0,520
65,0,0,0,0,0,235,287,13954,17495,17985,3383
483,0,0,1,1,0,263,342,18250,22390,24383,4090
2854,4,15,70,27,293,470511,261213,508030,34535,1399,7965
92,0,0,6,57,60,18174,6181,5563,3827,4308,14737
438,1,2,54,277,279,22990,7123,7254,4889,5957,17714
0,0,0,0,0,0,0,0,2460,0,0,6006
0,0,0,0,0,0,6,3,12,1,0,0
0,0,0,0,0,0,0,5,1420,0,0,2934
0,0,0,0,36,34,1149,16,3769,0,0,9687
0,0,0,0,0,0,0,0,0,0,1238,3766
31386,9,14,61,70,30,58537,100933,3719784,4798447,5145135,1007108
31191,83,136,4111,18488,21466,5175943,1925985,1460745,1029188,1243226,4324365
0,0,0,0,0,0,0,0,9,18,0,0
0,0,0,0,0,0,0,4,4,8,0,0
50,0,0,2,0,0,1,0,2,3,3,2
0,0,0,0,0,0,0,6,9,6,0,0
0,0,0,0,0,0,0,0,32,7,0,0
0,0,0,0,0,0,37,0,0,9,0,0
28,0,0,0,0,0,0,0,0,48,0,0
0,0,0,0,0,0,0,0,27,10,0,0
0,0,0,0,0,0,0,0,14,70,0,0
41,0,0,0,0,0,0,12,0,6,0,0
0,0,0,0,0,0,0,0,30,30,0,0
0,3,9,53,22,2,30,2,0,0,0,0
1,6,16,59,63,5,148,1,0,0,0,0
1,2,4,1,0,0,0,0,0,0,0,0
1,3,2,43,11,1,27,0,0,0,0,0
2,0,0,0,0,0,0,5,0,0,0,0
1,0,0,2,3,1,0,0,0,0,0,0
0,0,0,2,2,1,0,0,0,0,0,0
13,0,0,0,0,0,0,11,0,0,0,0
12,1,1,3,0,0,0,0,0,0,3,2
0,5,10,48,36,1,41,1,0,0,0,0
0,0,0,0,0,0,3658,609,0,0,0,0
0,0,0,3,1,1,0,0,0,0,0,0
18,0,0,0,0,0,0,0,1,2,2,2
19,0,0,0,0,0,3,2,0,0,0,0
0,0,0,0,0,0,2709,995,0,0,0,0
0,0,0,0,0,0,3504,1319,0,0,0,0
0,0,2,3,1,1,0,0,0,0,0,0
0,0,0,0,0,0,6,2,0,0,0,0
