145,134,186,305,921,462,72,6596,8327,47155,15879,4570,17,17,213,31
6,4,8,14,44,26,4,252,167,573,210,28,0,0,0,0
11,36,55,57,383,86,0,440,216,638,543,341,6,3,329,43
40,102,186,252,1428,602,60,1677,578,736,129,26,2,1,5,1
12,7,5,17,29,13,3,83,43,223,134,24,0,0,0,0
20,24,51,64,475,228,20,1039,495,814,216,29,0,0,0,0
30,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0
57,53,63,39,117,23,2,28,11,10,3,1,0,0,0,0
2,4,2,1,3,1,0,0,0,0,0,0,0,0,0,0
1,6,1,0,5,1,0,0,0,0,0,0,0,0,0,0
7,17,3,2,1,1,0,0,0,0,0,0,0,0,0,0
14,20,10,18,29,11,0,87,77,335,145,31,0,0,0,0
1,6,4,4,9,2,1,5,5,2,2,1,0,0,0,0
6,3,3,2,6,1,1,1,0,0,0,0,0,0,0,0
0,0,1,1,3,0,0,3,1,1,1,0,0,0,0,0
2,3,5,5,7,2,0,0,0,0,0,0,0,0,0,0
0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0
3,5,8,1,7,5,1,7,1,1,0,0,0,0,0,0
9,14,20,6,28,7,1,7,3,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0
45,114,224,320,1719,778,97,2191,762,1009,171,32,0,0,0,0
3,6,3,3,2,2,1,0,0,0,0,0,0,0,0,0
15,25,18,8,32,3,1,5,5,1,1,0,0,0,0,0
3,0,5,1,4,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8,0,0,4,1,2,2,1,0,0,0,0
3,3,5,4,4,1,0,0,0,0,0,0,0,0,0,0
3,2,2,0,3,1,0,3,2,1,0,0,0,0,0,0
2,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0
8,20,19,9,31,2,0,7,1,1,1,1,0,0,0,0
7,3,4,3,4,1,0,0,0,0,0,0,0,0,0,0
3,0,3,2,4,1,0,0,0,0,0,0,0,0,0,0
45,56,82,48,164,35,2,39,9,7,1,0,0,0,0,0
581,1323,1934,1791,7700,1927,129,2668,689,784,147,33,0,0,0,0
0,1,4,2,5,1,0,0,0,0,0,0,0,0,0,0
81,124,179,269,1212,545,79,2791,2003,9192,5102,1839,31,33,227,55
0,2,3,1,5,1,0,0,0,0,0,0,0,0,0,0
3,6,1,1,14,1,0,0,0,0,0,0,0,0,0,0
2,9,9,8,11,1,0,0,0,0,0,0,0,0,0,0
22,20,29,35,39,11,0,71,169,2103,2897,1497,25,23,288,57
1,2,1,1,5,1,0,0,0,0,0,0,0,0,0,0
7,20,17,7,22,5,0,5,3,1,0,0,0,0,0,0
13,16,28,11,52,12,1,16,7,8,1,0,0,0,0,0
6,8,16,20,97,21,0,90,33,48,10,1,0,0,0,0
35,45,45,25,71,11,0,20,5,4,1,1,0,0,0,0
9,5,3,3,7,2,1,1,1,1,0,0,0,0,0,0
29,44,42,73,382,230,17,936,456,716,161,28,0,0,0,0
0,3,0,1,2,1,0,1,0,0,0,4,107,147,263,83
128,168,190,145,444,89,5,114,24,42,7,1,0,0,0,0
