date,time,evolution condition,replicate #,OD600(1:10 dil),coulter counter,mean size,mode,median size,colonies on 1st YPD plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),colonies on 2nd YPD plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),cell/mL from plating,colonies on 1st URA- plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),colonies on 2nd URA- plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),URA+ cells/mL,% URA+,transfer #,timepoint,volume transfered (mL),total URA- cells transfered,number of diploids,total colonies screened,% diploid,notes,notes,notes,wells with diploids,wells to exclude because of poor screen,wells with haploids,wells with possible haploids,generations,population
9/17/21,2:00 PM,8 day,3,0.612,2.52E+08,,,,58,65,61500000,61,72,66500000,1.081300813,3,2,0.7,46550000,,,#DIV/0!,looks good under microscope,,,,,,,16,
9/23/21,1:30 PM,10 day,1,,,,,,,,0,,,0,#DIV/0!,,,,0,,,#DIV/0!,mold contamination,threw away culture and restarted from previous timepoint,,,,,,0,
9/23/21,1:30 PM,10 day,2,,,,,,,,0,,,0,#DIV/0!,,,,0,,,#DIV/0!,mold contamination,threw away culture and restarted from previous timepoint,,,,,,0,
9/23/21,1:30 PM,10 day,3,,,,,,,,0,,,0,#DIV/0!,,,,0,,,#DIV/0!,mold contamination,threw away culture and restarted from previous timepoint,,,,,,0,
9/23/21,2:00 PM,10 day,1,0.011,6.57E+06,,,,0.2,0.6,400000,0,0.5,250000,0.625,5,4,,0,3,13,23.07692308,restarted culture from T4 frozen aliquots,,,,,,,32,
9/23/21,2:00 PM,10 day,2,0.015,7.05E+06,,,,0.5,0.5,500000,0.6,0.1,350000,0.7,5,4,,0,4,17,23.52941176,restarted culture from T4 frozen aliquots,,,,,,,32,
9/23/21,2:00 PM,10 day,3,0.017,8.43E+06,,,,1.3,1,1150000,1.7,1.2,1450000,1.260869565,5,4,,0,4,52,7.692307692,restarted culture from T4 frozen aliquots,,,,,,,32,
9/24/21,1:45 PM,6 day,"1,2,3",0.012,5.93E+06,,,,1,1.1,1050000,3.1,2.9,3000000,2.857142857,0,-1,100,300000000,0,80,0,started 6 day evolutions from pool5 400ul aliquot,looked good under microscope,,,,,,-8,
9/25/21,3:00 PM,6 day,"1,2,3",0.522,1.86E+08,,,,179,189,184000000,213,184,198500000,1.078804348,1,0,0.7,138950000,2,95,2.105263158,started 3 replicate cultures in M05,,,,,,,0,
9/25/21,3:30 PM,8 day,1,0.579,1.72E+08,,,,86,85,85500000,126,139,132500000,1.549707602,4,3,0.8,106000000,3,95,3.157894737,looks good under microscope,,,,,,,24,
9/25/21,3:30 PM,8 day,2,0.636,2.36E+08,,,,53,60,56500000,68,67,67500000,1.194690265,4,3,0.8,54000000,15,95,15.78947368,looks good under microscope,,,,,,,24,
9/25/21,3:30 PM,8 day,3,0.631,2.05E+08,,,,49,47,48000000,68,47,57500000,1.197916667,4,3,0.8,46000000,31,95,32.63157895,looks good under microscope,,,,,,,24,
10/1/21,1:30 PM,6 day,1,0.684,3.21E+08,,,,81,113,97000000,103,105,104000000,1.072164948,2,1,0.8,83200000,2,92,2.173913043,looks good under microscope,,,"D5, H6",,,,8,
10/1/21,1:30 PM,6 day,2,0.712,3.25E+08,,,,126,106,116000000,111,88,99500000,0.857758621,2,1,0.8,79600000,1,92,1.086956522,looks good under microscope,,,E5,,,,8,
10/1/21,1:30 PM,6 day,3,0.683,2.75E+08,,,,131,118,124500000,123,116,119500000,0.959839357,2,1,0.8,95600000,1,92,1.086956522,looks good under microscope,,,F8,,,,8,
10/3/21,1:15 PM,10 day,1,0.635,1.87E+08,,,,106,106,106000000,84,98,91000000,0.858490566,6,5,0.7,63700000,4,92,4.347826087,looks good under microscope,,,"A9,B10,E1,G8",,,,40,
10/3/21,1:15 PM,10 day,2,0.635,1.57E+08,,,,32,42,37000000,45,40,42500000,1.148648649,6,5,0.7,29750000,30,92,32.60869565,looks good under microscope,,,"A6,B2,B12,C6,D3,D11,E2,E3,E4,E5,E6,E10,F1,F2,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G10,G11,H1,H2,H3,H4,H5",,,,40,
10/3/21,1:15 PM,10 day,3,0.499,2.09E+08,,,,104,86,95000000,84,78,81000000,0.852631579,6,5,0.7,56700000,8,92,8.695652174,looks good under microscope,,,"A9,B10,C4,D2,E9,F11,G1,G6",,,,40,
10/3/21,2:30 PM,8 day,1,0.593,2.78E+08,,,,24,30,27000000,31,22,26500000,0.981481482,5,4,0.7,18550000,1,92,1.086956522,looks good under microscope,,,H1,,,,32,
10/3/21,2:30 PM,8 day,2,0.562,1.38E+08,,,,21,17,19000000,24,11,17500000,0.921052632,5,4,0.9,15750000,20,68,29.41176471,looks good under microscope,,,"A2,A6,B2,B4, B7,B9,B10,C1,C2,C8,C9,C10,D1,D2,D4,D11,E1,E3,F1,F2,F4",,,,32,
10/3/21,2:30 PM,8 day,3,0.583,2.29E+08,,,,11,17,14000000,24,23,23500000,1.678571429,5,4,0.9,21150000,5,72,6.944444444,looks good under microscope,,,"B9,B10,B11,C10,E12",,,,32,
10/7/21,1:15 PM,6 day,1,0.735,3.43E+08,,,,156,154,155000000,138,159,148500000,0.958064516,3,2,0.6,89100000,0,92,0,looks good under microscope,,,,,,,16,
10/7/21,1:15 PM,6 day,2,0.727,3.04E+08,,,,141,142,141500000,167,171,169000000,1.19434629,3,2,0.6,101400000,0,92,0,looks good under microscope,,,,,,,16,
10/7/21,1:15 PM,6 day,3,0.718,3.09E+08,,,,158,141,149500000,172,177,174500000,1.16722408,3,2,0.6,104700000,1,92,1.086956522,looks good under microscope,,,A10,,,,16,
10/11/21,1:15 PM,8 day,1,,,,,,,,0,,,0,#DIV/0!,6,5,0.8,0,,,#DIV/0!,mold contamination visible,restarted a new replicate #3b from replicate #3,,,,,,40,
10/11/21,1:15 PM,8 day,2,0.568,1.48E+08,,,,25,13,19000000,23,15,19000000,1,6,5,0.8,15200000,2,74,2.702702703,looked good under microscope,,,"A8,F2",,,,40,
10/11/21,1:15 PM,8 day,3,0.587,1.60E+08,,,,13,13,13000000,18,17,17500000,1.346153846,6,5,0.8,14000000,4,60,6.666666667,looked good under microscope,,,"A6,A8,F5,F10",,,,40,
10/13/21,10:00 AM,10 day,1,0.648,2.03E+08,,,,70,46,58000000,47,68,57500000,0.99137931,7,6,0.6,34500000,10,88,11.36363636,looked good under microscope,larger cells,,"B4,B11,E1,F3,F6.F7,F8,G2,G4,H7",,,,48,
10/13/21,10:00 AM,10 day,2,0.595,1.61E+08,,,,54,63,58500000,57,56,56500000,0.965811966,7,6,0.8,45200000,9,92,9.782608696,looked good under microscope,larger cells,,"C10,F1,F3,G2,G5,G12,H3,H4,H5,",,,,48,
10/13/21,10:00 AM,10 day,3,0.638,2.18E+08,,,,205,190,197500000,193,199,196000000,0.992405063,7,6,0.6,117600000,12,92,13.04347826,looked good under microscope,smaller cells,,"F2,G4,G5,G6,G7,H2,H3,H4,H5,H6,H7,H8",,,,48,
10/13/21,1:40 PM,6 day,1,0.721,2.55E+08,,,,136,110,123000000,123,132,127500000,1.036585366,4,3,0.5,63750000,5,92,5.434782609,looked good under microscope,,,"D9,E8,F3,G1,H8",,,,24,
10/13/21,1:40 PM,6 day,2,0.733,2.65E+08,,,,126,84,105000000,159,111,135000000,1.285714286,4,3,0.5,67500000,1,92,1.086956522,looked good under microscope,,,H5,,,,24,
10/13/21,1:40 PM,6 day,3,0.725,2.55E+08,,,,114,108,111000000,124,124,124000000,1.117117117,4,3,0.5,62000000,4,92,4.347826087,looked good under microscope,,,"B6,D6,E8,G10",,,,24,
10/19/21,9:30 AM,8 day,2,0.579,1.88E+08,,,,19,18,18500000,27,29,28000000,1.513513514,7,6,1,28000000,20,89,22.47191011,looked good under microscope,,,"A2,A3,A12,B3,B4,B6,B8,B10,C3,C4,D10,E1,E6,F2, G1,G3, H1,H2,H4,H5",,,,48,
10/19/21,9:30 AM,8 day,3,0.61,1.55E+08,,,,10,11,10500000,8,18,13000000,1.238095238,7,6,1,13000000,3,47,6.382978723,looked good under microscope,,,"A7,B4,B12",,,,48,
10/19/21,9:30 AM,8 day,3b,0.563,2.30E+08,,,,24,8,16000000,14,16,15000000,0.9375,7,6,1,15000000,7,63,11.11111111,looked good under microscope,,,"A1,A11,A12,B9,C3,E12,F3",,,,48,
10/19/21,1:40 PM,6 day,1,0.63,1.52E+08,,,,74,75,74500000,143,108,125500000,1.684563758,5,4,0.4,50200000,14,92,15.2173913,looked good under microscope,,,"A1,A4,A9,A12,B1,B6,B7,B10,B11,C7,C10,F1,G3,G10",,,,32,
10/19/21,1:40 PM,6 day,2,0.69,2.16E+08,,,,87,119,103000000,122,129,125500000,1.218446602,5,4,0.4,50200000,7,92,7.608695652,looked good under microscope,,,"A7,B11,C1,D10,F11,G6,G9",,,,32,
10/19/21,1:40 PM,6 day,3,0.654,2.55E+08,,,,130,81,105500000,127,148,137500000,1.303317536,5,4,0.4,55000000,4,92,4.347826087,looked good under microscope,,,"A8,B3,B6,C12",,,,32,
10/23/21,12:15 PM,10 day,1,0.646,2.08E+08,,,,39,52,45500000,65,52,58500000,1.285714286,8,7,0.5,29250000,0,92,0,looked good under microscope,larger cells,smaller colonies on plates and appeared visiually less dense in M05 after 3 days,,,,,56,
