date,time,evolution condition,replicate #,OD600(1:10 dil),coulter counter,mean size,mode,median size,colonies on 1st YPD plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),colonies on 2nd YPD plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),cell/mL from plating,colonies on 1st URA- plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),colonies on 2nd URA- plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),URA+ cells/mL,% URA+,transfer #,timepoint,volume transfered (mL),total URA- cells transfered,number of diploids,total colonies screened,% diploid,notes,notes,notes,wells with diploids,wells to exclude because of poor screen,wells with haploids,wells with possible haploids,generations,population
11/22/21,2:00 PM,10 day,2,0.579,1.49E+08,91.16,16.94,75.91,61,83,72000000,17,4,10500000,0.145833333,11,10,0.6,6300000,13,60,21.66666667,looked good under microscope,,clones from 10day #1 and #2 saved on the same plate,"D9,D10,E12,F2,F9,F10,F11,F12,G2,G10,G12,H1,H2,H10,H12,G1,G2,G4,G5,G6,G7",,,,,
11/22/21,2:00 PM,10 day,3,0.5,1.61E+08,51.96,15.68,43.29,136,149,142500000,161,151,156000000,1.094736842,11,10,0.6,93600000,81,92,88.04347826,looked good under microscope,some smaller cells,,,,"A4,B6,C5,E11,E12,F3,F4,F5,F8,F10,G9",,,
11/24/21,12:40 PM,6 day,1,0.463,1.39E+08,77.86,15.68,54.58,43,26,34500000,28,36,32000000,0.927536232,11,10,0.6,19200000,69,92,75,looked good under microscope,two types of colonies. one has debris the other does not. see photo.,,,,"A1,A4,A6,A7,A10,A2,A7,C2,C5,D3,D9,E1,E2,E5,E8,F1,F2,F4,F9,F11,G4,G9,H8",,,
11/24/21,12:40 PM,6 day,2,0.45,1.04E+08,99.4,14.43,75.91,18,30,24000000,16,25,20500000,0.854166667,11,10,0.8,16400000,90,92,97.82608696,looked good under microscope,two types of colonies. one has debris the other does not. see photo.,,,,"B6,D9",,,
11/24/21,12:40 PM,6 day,3,0.492,1.51E+08,71.77,15.68,53.33,37,54,45500000,51,36,43500000,0.956043956,9,8,0.8,34800000,38,92,41.30434783,looked good under microscope,two types of colonies. one has debris the other does not. see photo.,,"A3,A5,A6,A9,A11,A12,B2,B5,B7,B8,B10,B12,C2,C7,C12,D1,D4,D5,D11,E2,E3,E4,E6,E12,F2,F3,F8,F12,G1,G2,G6,G8,G10,G12,H2,H4,H7,H8",,,,,
11/28/21,9:15 AM,8 day,2,0.545,1.09E+08,99.54,54.58,95.99,70,81,75500000,83,65,74000000,0.98013245,12,11,0.7,51800000,22,88,25,looked good under microscope,,,"A2,A10,B6,B7,C9,D11,D12,E1,E2,E4,F1,F2,F9,G3,G10,G11,G12,H3,H4,H5,H6,H7,H8","A3,A4,B3,B4 1 (mold on plate, could not interpret assay)",,,,
11/28/21,9:15 AM,8 day,3,0.699,1.01E+08,122.78,14.43,123.59,41,28,34500000,29,29,29000000,0.84057971,12,11,0.7,20300000,29,92,31.52173913,looked good under microscope,,,"A2,A5,A8,A12,B2,B11,C7,D4,D7,D12,E3,E4,E9,F1,F6,F7,F10,F11,G3,G5,G9,G10,G12,H1,H2,H3,H4,H5,H7",,,,,
11/28/21,9:15 AM,8 day,3b,0.585,1.14E+08,116.71,14.43,116.06,25,27,26000000,26,17,21500000,0.826923077,12,11,0.7,15050000,24,72,33.33333333,looked good under microscope,,,"A1,A3,A9,A10,12,B6,C10,C12,D5,D7,D8,D11,E3,E4,E8,F3,F4,F6,F11,G1,G2,G3,G4,G6","B1,C1,C2,D1,D2,E1,E2,F1 (mold on plate, could not interpret assay)",,,,
11/30/21,1:00 PM,6 day,1,0.456,1.14E+08,87.23,15.68,62.11,111,101,106000000,103,126,114500000,1.080188679,12,11,1,114500000,66,92,71.73913043,looked good under microscope,some cellular debris?,,,,"A4,A9,A6,A7,A12,C2,C3,C8,C9,D5,D9,D12,E7,E10,E12,F2,F3,F4,F7,F10,F11,F12,G7,H3,H6,H7",,,
11/30/21,1:00 PM,6 day,2,0.424,8.49E+07,95.84,14.43,72.15,50,53,51500000,72,68,70000000,1.359223301,12,11,1.2,84000000,91,92,98.91304348,looked good under microscope,some cellular debris?,,,,G4,,,
11/30/21,1:00 PM,6 day,3,0.451,1.22E+08,77.03,15.68,55.84,117,94,105500000,119,121,120000000,1.137440758,10,9,0.8,96000000,37,92,40.2173913,looked good under microscope,some cellular debris?,,"A2,A7,A9,A12,B2,B3,B4,B5,B6,B8,B9,B10,C2,C7,C8,D2,D4,D11,D12,E2,E4,E6,E8,E12,F1,F4,F6,F12,G2,G3,G8,G11,G12,H2,H3,H4,H7",,,,,
12/2/21,12:30 PM,10 day,1,0.643,2.23E+08,39.79,15.68,32,29,18,23500000,35,22,28500000,1.212765957,12,11,0.8,22800000,10,92,10.86956522,looked good under microscope,smaller cells,,"A10,B7,E4,G8,G9,G10,G11,H4,H7,H8",,,,,
12/2/21,12:30 PM,10 day,2,0.624,1.33E+08,92.9,57.09,79.68,63,62,62500000,54,59,56500000,0.904,12,11,0.6,33900000,5,92,5.434782609,looked good under microscope,larger cells,,"A4,G5,F4,F6,F8",,,,,
12/2/21,12:30 PM,10 day,3,0.508,1.45E+08,52.4,15.68,43.29,70,52,61000000,86,80,83000000,1.360655738,12,11,0.5,41500000,72,92,78.26086957,looked good under microscope,smaller cells,,,,"A1,A2,A5,A7,A9,A10,C1,C2,C4,C5,D1,D10,E1,E7,E8,E9,E11,F7,G1,H4,H6",,,
12/6/21,10:00 AM,8 day,2,0.01,2.54E+06,82.21,13.17,75.91,0.4,0.46,430000,0.42,0.4,410000,0.953488372,12,11,100,41000000,,,#DIV/0!,restarted from T11 frozen 0.4mL aliquot,very low density,,,,,,,
12/6/21,10:00 AM,8 day,3,0.016,2.91E+06,101.49,14.43,88.46,0.5,0.73,615000,0.56,0.65,605000,0.983739837,12,11,100,60500000,,,#DIV/0!,restarted from T11 frozen 0.4mL aliquot,very low density,,,,,,,
12/6/21,10:00 AM,8 day,3b,0.018,3.99E+06,103.66,13.17,90.97,0.77,0.58,675000,0.78,0.81,795000,1.177777778,12,11,100,79500000,,,#DIV/0!,restarted from T11 frozen 0.4mL aliquot,very low density,,,,,,,
12/6/21,12:40 PM,6 day,1,0.434,1.07E+08,93.83,14.43,72.15,45,60,52500000,63,41,52000000,0.990476191,13,12,0.5,26000000,81,92,88.04347826,looked good under microscope,,,,,"A2,A12,B7,C1,D3,D10,D12,E2,E10,F12,H2",,,
12/6/21,12:40 PM,6 day,2,0.443,9.15E+07,100.35,14.43,80.93,27,25,26000000,31,32,31500000,1.211538462,13,12,0.5,15750000,85?,92,#VALUE!,looked good under microscope,,,,,"A4,A5,A7,A8,A9,C9,D6,D8",,,
12/6/21,12:40 PM,6 day,3,0.438,1.16E+08,87.36,14.43,63.36,40,29,34500000,44,31,37500000,1.086956522,11,10,0.5,18750000,66,92,71.73913043,looked good under microscope,,,,,"A1,A3,A5,A7,A10,A11,B8,B9,C4,D5,D7,D11,D12,E4,E5,E7,E11,F4,F5,F6,F7,F9,F10,G7,G10,H8",,,
12/12/21,8:00 AM,10 day,1,0.793,2.18E+08,39.24,15.68,30.74,45,26,35500000,21,28,24500000,0.690140845,13,12,0.8,19600000,4,92,4.347826087,looked good under microscope,,,"A9,A11,B7,G6",,,,,
12/12/21,8:00 AM,10 day,2,0.698,1.33E+08,90.69,15.68,78.42,124,95,109500000,101,124,112500000,1.02739726,13,12,0.6,67500000,7,92,7.608695652,looked good under microscope,,,"B2,E6,E11,F11,G8,G11,H6",,,,,
12/12/21,8:00 AM,10 day,3,0.545,1.71E+08,48.94,15.68,39.52,34,47,40500000,57,66,61500000,1.518518519,13,12,0.5,30750000,80,92,86.95652174,looked good under microscope,,,,,"A1,A8,A11,B1,C9,D2,E1,E3,E8,F4,H6,H7",,,
12/12/21,9:30 AM,6 day,1,0.438,9.07E+07,99.17,14.43,83.44,27,28,27500000,43,25,34000000,1.236363636,12,13,0.8,27200000,90,92,97.82608696,looked good under microscope,some cellular debris,,,,"A3,C6",,,
12/12/21,9:30 AM,6 day,2,0.464,9.93E+07,95.25,14.43,73.4,40,28,34000000,26,23,24500000,0.720588235,12,13,1,24500000,90,92,97.82608696,looked good under microscope,some cellular debris,,,,"A2,F1",,,
12/12/21,9:30 AM,6 day,3,0.577,1.03E+08,95.12,14.43,73.4,25,34,29500000,27,28,27500000,0.93220339,10,11,1,27500000,85,92,92.39130435,looked good under microscope,some cellular debris,,,,"A8,A12,C7,D12,E9,E12,F6",,,
12/14/21,12:50 PM,8 day,2,0.497,1.00E+08,92.39,14.43,88.46,16,24,20000000,21,16,18500000,0.925,13,12,0.8,14800000,57,72,79.16666667,looked good under microscope,,,,,,,,
12/14/21,12:50 PM,8 day,3,0.601,1.18E+08,119.28,15.68,119.83,24,22,23000000,29,23,26000000,1.130434783,13,12,0.6,15600000,54,81,66.66666667,looked good under microscope,,,,,,,,
12/14/21,12:50 PM,8 day,3b,0.594,1.19E+08,118.23,15.68,117.32,20,30,25000000,29,24,26500000,1.06,13,12,0.5,13250000,79,92,85.86956522,looked good under microscope,,,,,,,,
12/18/21,1:45 PM,6 day,1,0.422,9.83E+07,93.14,15.68,72.15,37,28,32500000,34,32,33000000,1.015384615,15,14,0.8,26400000,63,92,68.47826087,looked good under microscope,some etxra cellular debris,benomyl assays done at 30C. somewhat ambigous to interpret,,,"A5,A7,A9,B1,B5,B6,B7,B10,C2,C3,C4,C5,C6,D1,D4,D8,D10,D11,D12,E2,E3,E11,F1,F6,F7,F8,F9,G4,H2",,,
12/18/21,1:45 PM,6 day,2,0.411,1.01E+08,98.74,14.43,79.68,29,31,30000000,28,32,30000000,1,15,14,0.8,24000000,90,92,97.82608696,looked good under microscope,some etxra cellular debris,benomyl assays done at 30C. somewhat ambigous to interpret,,,"A12,C6",,,
12/18/21,1:45 PM,6 day,3,0.414,9.11E+07,95.38,14.43,72.15,30,15,22500000,21,21,21000000,0.933333333,13,12,0.8,16800000,77,81,95.0617284,looked good under microscope,some etxra cellular debris,benomyl assays done at 30C. somewhat ambigous to interpret,,,"B2,B7,E4,F2","A9,A11,B11,C6",,
12/22/21,11:20 AM,10 day,1,0.69,2.08E+08,48.36,15.68,39.52,84,97,90500000,91,111,101000000,1.116022099,14,13,1,101000000,48,92,52.17391304,looked good under microscope,,,,,"A3,A4,A5,A6,A7,A12,B1,B5,B7,B9,B10,B11,C1,C2,C4,C6,C9,C10,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,E3,E7,E8,E9,F3,F4,F7,F8,F10,G6,G7,G8,G11,H1,H6",,,
12/22/21,11:20 AM,10 day,2,0.606,1.35E+08,95.57,65.87,89.71,175,167,171000000,184,199,191500000,1.119883041,14,13,0.4,76600000,5,91,5.494505495,looked good under microscope,,,"D3,E10,G9,G10,H7",,,,,
12/22/21,11:20 AM,10 day,3,0.636,2.19E+08,54.07,16.94,44.54,162,134,148000000,189,149,169000000,1.141891892,14,13,0.5,84500000,66,92,71.73913043,looked good under microscope,,,,,"A1,A2,A3,A4,A11,A12,B12,C1,C2,C3,C6,C8,C9,C11,C12,D3,D7,D8,D9,E5,E12,F3,F12,G3,G4,G5",,,
12/22/21,1:00 PM,8 day,2,0.472,1.07E+08,81.75,14.43,77.17,38,46,42000000,31,43,37000000,0.880952381,14,13,1,37000000,89,92,96.73913043,looked good under microscope,,,,,"E8,G7,H1",,,
12/22/21,1:00 PM,8 day,3,0.557,1.03E+08,125.72,14.43,121.08,37,40,38500000,30,23,26500000,0.688311688,14,13,1,26500000,79,92,85.86956522,looked good under microscope,,,,,"A6,A9A10,C8,C9,D10,F3,F4,F6,F7,G1,G4,G7",,,
12/22/21,1:00 PM,8 day,3b,0.568,1.15E+08,122.33,15.68,122.34,51,32,41500000,53,35,44000000,1.060240964,14,13,1,44000000,90,92,97.82608696,looked good under microscope,,,,,"E6,H2",,,
12/24/21,8:55 AM,6 day,1,0.47,1.08E+08,100.21,14.43,87.4,85,64,74500000,96,92,94000000,1.261744966,16,15,1,94000000,89,92,96.73913043,looked good under microscope,,,,,"C2,C7,D9",,,
12/24/21,8:55 AM,6 day,2,0.45,9.11E+07,95.37,14.43,70.89,65,98,81500000,85,111,98000000,1.202453988,16,15,1,98000000,90,92,97.82608696,looked good under microscope,,,,,"D12,F12",,,
12/24/21,8:55 AM,6 day,3,0.469,1.09E+08,94.67,14.43,72.15,59,61,60000000,64,59,61500000,1.025,14,13,1.2,73800000,91,92,98.91304348,looked good under microscope,,,,,E12,,,
12/30/21,3:30 PM,6 day,1,0.638,9.52E+07,88.56,14.43,69.64,104,73,88500000,107,90,98500000,1.11299435,17,16,0.8,78800000,86,92,93.47826087,looked good under microscope,,,,,"A3,A5,B6,D4,F11,G7",,,
12/30/21,3:30 PM,6 day,2,0.43,1.14E+08,110.41,39.52,98.5,58,66,62000000,82,89,85500000,1.379032258,17,16,0.8,68400000,91,92,98.91304348,looked good under microscope,some cellular debris,,,,C6,,,
12/30/21,3:30 PM,6 day,3,0.454,9.68E+07,99.31,14.43,77.17,49,39,44000000,46,53,49500000,1.125,15,14,0.8,39600000,91,92,98.91304348,looked good under microscope,some cellular debris,,,,C9,,,
12/30/21,4:45 PM,8 day,2,0.527,1.00E+08,78.25,72.15,73.4,33,36,34500000,37,39,38000000,1.101449275,15,14,1,38000000,88,92,95.65217391,looked good under microscope,some cellular debris,,,,"B8,E5,F3,F8",,,
12/30/21,4:45 PM,8 day,3,0.67,1.01E+08,118.13,14.43,114.81,73,57,65000000,62,64,63000000,0.969230769,15,14,1,63000000,91,92,98.91304348,looked good under microscope,some cellular debris,,,,C4,,,
12/30/21,4:45 PM,8 day,3b,0.776,1.59E+08,113.29,14.43,102.26,39,31,35000000,44,45,44500000,1.271428571,15,14,1,44500000,90,92,97.82608696,looked good under microscope,some cellular debris,,,,"D5,G7",,,
1/1/22,12:00 PM,10 day,1,0.725,1.99E+08,49.48,15.68,39.52,81,57,69000000,68,62,65000000,0.942028986,15,14,0.4,26000000,7,92,7.608695652,looked good under microscope,,,"F2,G1,G3,G4,G12,H1,H5",,,,,
1/1/22,12:00 PM,10 day,2,0.573,1.19E+08,100.14,55.84,97.24,152,161,156500000,181,173,177000000,1.130990415,15,14,0.4,70800000,84,92,91.30434783,looked good under microscope,,,,,"A7,A12,C4,C5,C6,D4,F6,F10",,,
1/1/22,12:00 PM,10 day,3,0.627,1.73E+08,54.97,15.68,45.8,50,67,58500000,50,60,55000000,0.94017094,15,14,0.4,22000000,54,92,58.69565217,looked good under microscope,plate spilled and was lost,re-picked plate,,,"A1,A2,A3,A4,A6,A7,A9,A11,B3,B4,B6,B10,B11,C5,C8,D2,D3,D6,D10,D12,E3,E5,E6,E7,E9,E10,E12,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G4,G12",,,
1/5/22,,6 day,1,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,unable to come to lab (COVID),population aborted and restarted from frozen aliquots at later date,,,,,,,
1/5/22,,6 day,2,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,unable to come to lab (COVID),population aborted and restarted from frozen aliquots at later date,,,,,,,
1/5/22,,6 day,3,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,unable to come to lab (COVID),population aborted and restarted from frozen aliquots at later date,,,,,,,
1/7/22,,8 day,2,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,unable to come to lab (COVID),population aborted and restarted from frozen aliquots at later date,,,,,,,
1/7/22,,8 day,3,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,unable to come to lab (COVID),population aborted and restarted from frozen aliquots at later date,,,,,,,
1/7/22,,8 day,3b,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,unable to come to lab (COVID),population aborted and restarted from frozen aliquots at later date,,,,,,,
1/11/22,,10 day,1,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,unable to come to lab (COVID),population aborted and restarted from frozen aliquots at later date,,,,,,,
1/11/22,,10 day,2,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,unable to come to lab (COVID),population aborted and restarted from frozen aliquots at later date,,,,,,,
1/11/22,,10 day,3,,,,,,,,#DIV/0!,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,,,#DIV/0!,unable to come to lab (COVID),population aborted and restarted from frozen aliquots at later date,,,,,,,
1/14/22,2:00 PM,10 day,1,0.014,5.04E+06,37.51,14.43,28.23,0.28,0.37,325000,0.42,,420000,1.292307692,15,14,0.8,,,,#DIV/0!,looked good under microscope,restarted populations from 2 T13 frozen aliquots,,,,,,,
1/14/22,2:00 PM,10 day,2,0.011,3.80E+06,82.52,14.43,69.64,0.8,0.81,805000,0.96,0.93,945000,1.173913043,15,14,0.8,,,,#DIV/0!,looked good under microscope,restarted populations from 2 T13 frozen aliquots,,,,,,,
1/14/22,2:00 PM,10 day,3,0.012,4.51E+06,43.41,14.43,37.01,0.46,0.47,465000,0.52,0.57,545000,1.172043011,15,14,0.8,,,,#DIV/0!,looked good under microscope,restarted populations from 2 T13 frozen aliquots,,,,,,,
1/14/22,3:00 PM,8 day,2,0.01,2.48E+06,67.07,13.17,63.36,0.17,0.21,190000,0.15,,150000,0.789473684,15,14,0.8,,,,#DIV/0!,looked good under microscope,restarted populations from 2 T13 frozen aliquots,,,,,,,
1/14/22,3:00 PM,8 day,3,0.012,2.37E+06,114.81,39.52,103.52,0.64,0.59,615000,0.65,,650000,1.056910569,15,14,0.8,,,,#DIV/0!,looked good under microscope,restarted populations from 2 T13 frozen aliquots,,,,,,,
1/14/22,3:00 PM,8 day,3b,0.009,2.32E+06,110.77,13.17,95.99,0.54,0.45,495000,0.51,,510000,1.03030303,15,14,0.8,,,,#DIV/0!,looked good under microscope,restarted populations from 2 T13 frozen aliquots,,,,,,,
1/17/22,12:00 PM,4 day,"1,2,3",0.011,6.47E+06,41.06,14.43,30.74,1.56,1.65,1605000,1.45,,1450000,0.903426791,0,-1,100,145000000,,,#DIV/0!,looked good under microscope,inoculated with 400ul aliquot of pool6,,,,,,,
1/18/22,2:00 PM,4 day,"1,2,3",0.676,1.74E+08,46.76,21.96,38.27,73,,73000000,102,95,98500000,1.349315068,1,0,0.6,59100000,2,92,2.173913043,looked good under microscope,,,"A6,A11",,,,,
1/22/22,12:00 PM,4 day,1,0.719,2.16E+08,48.09,29.49,39.52,260,218,239000000,244,267,255500000,1.069037657,2,1,0.6,153300000,4,92,4.347826087,looked good under microscope,,,"B2,D5,D9,G3",,,,,
1/22/22,12:00 PM,4 day,2,1.016,1.75E+08,42.29,26.98,34.5,288,256,272000000,302,355,328500000,1.207720588,2,1,0.6,197100000,2,89,2.247191011,looked good under microscope,,,"B4,G3","B1,G11,G12",,,,
1/22/22,12:00 PM,4 day,3,0.935,1.63E+08,42.77,28.23,35.76,155,163,159000000,183,157,170000000,1.06918239,2,1,0.6,102000000,1,89,1.123595506,looked good under microscope,,,D7,"G1,G12,H1",,,,
1/22/22,1:00 PM,8 day,2,0.58,1.09E+08,87.27,62.11,80.93,25,26,25500000,13,25,19000000,0.745098039,16,15,0.8,15200000,17,80,21.25,looked good under microscope,,,"A5,B3,B9,C3,C5,C11,D1,E11,F1,F2,F3,F10,F11,G3,G6,G7,G8",,,,,
1/22/22,1:00 PM,8 day,3,0.621,1.44E+08,125.25,149.94,133.63,47,47,47000000,55,53,54000000,1.14893617,16,15,0.8,43200000,28,92,30.43478261,looked good under microscope,,,"A10,B3,B7,B8,B11,C2,C5,C11,D5,D9,D10,D12,E1,E4,E6,E11,F2,F5,F10,G1,G3,G6,G7,G9,G11,G12,H1,H3",,,,,
1/22/22,1:00 PM,8 day,3b,0.711,9.43E+07,121.61,14.43,123.59,89,76,82500000,70,86,78000000,0.945454546,16,15,0.8,62400000,59,92,64.13043478,looked good under microscope,,,,,"A1,A2,A4,A5,A9,B2,B3,C2,C6,C8,C9,C10,C11,C12,D2,D3,D6,D7,D12,E2,E3,E4,E5,E7,F1,F5,F6,G3,G5,G9,H1,H3,H6",,,
1/24/22,3:30 PM,10 day,1,0.687,2.33E+08,47.05,15.68,38.27,39,51,45000000,51,60,55500000,1.233333333,16,15,0.8,44400000,5,92,5.434782609,looked good under microscope,,,"B7,D4,F5,F6,F11",,,,,
1/24/22,3:30 PM,10 day,2,0.719,1.30E+08,92.78,15.68,88.46,118,93,105500000,107,107,107000000,1.014218009,16,15,0.8,85600000,71,92,77.17391304,looked good under microscope,,,,,"A2,A4,A6,A9,B2,B4,C11,D4,D8,E2,E3,E8,F1,F3,F5,F6,F7,F9,G9,H1,H3",,,
1/24/22,3:30 PM,10 day,3,0.812,2.25E+08,47.65,15.68,37.01,124,135,129500000,111,126,118500000,0.915057915,16,15,0.8,94800000,2,92,2.173913043,looked good under microscope,,,"E5,G7",,,,,
1/26/22,12:00 PM,4 day,1,0.841,2.19E+08,47.47,26.98,38.27,258,226,242000000,254,253,253500000,1.047520661,3,2,0.4,101400000,5,92,5.434782609,looked good under microscope,,growth in blank,"A2,D5,D8,F11,G3",,,,,
1/26/22,12:00 PM,4 day,2,0.807,2.05E+08,47.77,29.49,39.52,209,211,210000000,220,241,230500000,1.097619048,3,2,0.4,92200000,2,92,2.173913043,looked good under microscope,,growth in blank,"H5,H7",,,,,
1/26/22,12:00 PM,4 day,3,0.798,2.88E+08,49.32,26.98,40.78,339,347,343000000,388,397,392500000,1.144314869,3,2,0.4,157000000,5,92,5.434782609,looked good under microscope,,,"B11,C6,D3,D6,G3",,,,,
1/30/22,9:45 AM,4 day,1,0.775,3.07E+08,52.41,28.23,43.29,257,228,242500000,265,241,253000000,1.043298969,4,3,0.4,101200000,6,92,6.52173913,looked good under microscope,,,"A6,B6,D6,E5,E12,F12",,,,,
1/30/22,9:45 AM,4 day,2,0.756,2.60E+08,51.21,30.74,42.03,226,205,215500000,196,221,208500000,0.967517401,4,3,0.4,83400000,3,91,3.296703297,looked good under microscope,,,"E10,E12,F7",E11,,,,
1/30/22,9:45 AM,4 day,3,0.956,2.11E+08,47.24,26.98,38.27,282,280,281000000,276,256,266000000,0.946619217,4,3,0.4,106400000,2,92,2.173913043,looked good under microscope,,,"A2,E8",,,,,
1/30/22,10:45 AM,8 day,2,0.621,1.07E+08,93.86,15.68,89.71,25,29,27000000,23,28,25500000,0.944444444,17,16,0.8,20400000,48,74,64.86486486,looked good under microscope,,,,D9,"A1,A2,A3,A4,A5,A6,A9,A11,B1,B4,B5,B8,B9,C1,C4,C5,C7,C8,C11,D4,E3,E7,E8,E9,F1,F5",,,
1/30/22,10:45 AM,8 day,3,0.79,1.01E+08,103.07,14.43,88.46,76,55,65500000,70,53,61500000,0.938931298,17,16,0.6,36900000,68,92,73.91304348,looked good under microscope,,,,,"A3,A4,A5,A6,A7,A10,B8,B12,C3,C7,C12,D2,D3,D5,D8,D10,D12,E1,E6,F10,F11,G11,H4,H6",,,
1/30/22,10:45 AM,8 day,3b,0.739,9.47E+07,108.35,14.43,94.73,41,44,42500000,34,37,35500000,0.835294118,17,16,0.5,17750000,75,92,81.52173913,looked good under microscope,,,,,"A3,A4,A8,B4,B11,B12,C5,C7,C11,D6,D9,E2,E8,E12,F1,F9,G10",,,
1/31/22,1:15 PM,2 day,"1,2,3",0.029,7.86E+06,45.41,20.7,35.76,4.77,4.73,4750000,4.8,4.17,4485000,0.944210526,0,-1,100,448500000,,,#DIV/0!,looked good under microscope,inoculated with 400ul aliquot of pool7,,,,,,,
2/1/22,1:30 PM,2 day,"1,2,3",0.589,2.25E+08,51.2,16.94,40.78,178,212,195000000,206,153,179500000,0.920512821,1,0,0.5,89750000,2,92,2.173913043,looked good under microscope,,,"C4,E7",,,,,
2/3/22,9:30 AM,10 day,1,0.724,2.23E+08,45.49,16.94,37.01,112,102,107000000,139,117,128000000,1.196261682,17,16,0.6,76800000,34,92,36.95652174,looked good under microscope,,,"A1,B3,B11,D1,D2,D8,E3,E5,E9,E10,E11,F1,F3,F4,F5,F6,F7,F9,G2,G3,G4,G5,G6,G7,G8,G9,G10,G12,H2,H3,H5,H6,H7,H8",,,,,
2/3/22,9:30 AM,10 day,2,0.882,1.02E+08,94.31,14.43,92.22,83,73,78000000,93,95,94000000,1.205128205,17,16,0.4,37600000,81,92,88.04347826,looked good under microscope,,,,,"A12,B3,B7,C12,D5,D12,E3,E9,G1,G3,G7,",,,
2/3/22,9:30 AM,10 day,3,0.831,2.41E+08,43.35,15.68,35.76,58,55,56500000,58,65,61500000,1.088495575,17,16,0.4,24600000,59,92,64.13043478,looked good under microscope,,,,,"A1,A2,A4,A6,A10,A12,B4,B7,B8,B9,B10,B12,C3,C5,C9,D4,D6,D10,D12,E3,E4,E8,E9,E11,F1,F6,F7,F9,F11,F12,G1,G4,G7",,,
2/3/22,10:45 AM,4 day,1,1.032,1.83E+08,46.38,26.98,37.01,356,353,354500000,340,337,338500000,0.954866009,5,4,0.4,135400000,6,90,6.666666667,looked good under microscope,,,"B7,C12,F2,G5,G8,H7","D4,E12",,,,
2/3/22,10:45 AM,4 day,2,0.846,2.37E+08,49.76,28.23,40.78,524,608,566000000,543,494,518500000,0.916077739,5,4,0.4,207400000,7,91,7.692307692,looked good under microscope,,,"B3,B10,C3,D1,D2,D6,F8",H5,,,,
2/3/22,10:45 AM,4 day,3,0.838,2.04E+08,48.87,26.98,39.52,400,428,414000000,453,441,447000000,1.079710145,5,4,0.4,178800000,5,92,5.434782609,looked good under microscope,,,"A4,B2,E2,F2,G5",,,,,
2/3/22,1:30 PM,2 day,1,0.63,1.88E+08,52,29.49,42.03,150,168,159000000,190,175,182500000,1.147798742,2,1,0.5,91250000,3,92,3.260869565,looked good under microscope,,,"C8,G3,G12",,,,,
2/3/22,1:30 PM,2 day,2,0.635,1.67E+08,49.91,26.98,42.03,154,146,150000000,173,130,151500000,1.01,2,1,0.5,75750000,4,92,4.347826087,looked good under microscope,,,"B9,C9,G3,H4",,,,,
2/5/22,1:45 PM,2 day,1,0.656,2.30E+08,55.25,30.74,43.29,218,255,236500000,246,259,252500000,1.067653277,3,2,0.5,126250000,4,92,4.347826087,looked good under microscope,,,"D7,F4,F6,F11",,,,,
2/5/22,1:45 PM,2 day,2,0.668,2.46E+08,56.25,29.49,45.8,197,222,209500000,173,189,181000000,0.863961814,3,2,0.5,90500000,3,92,3.260869565,looked good under microscope,,,"C7,D11,E12",,,,,
2/7/22,10:45 AM,4 day,1,0.728,3.10E+08,54.53,32,45.8,394,366,380000000,417,412,414500000,1.090789474,6,5,0.4,165800000,8,90,8.888888889,looked good under microscope,,,"B4,B5,C4,C5,C7,E3,E10,F7","E12,G7",,,,
2/7/22,10:45 AM,4 day,2,0.825,2.56E+08,51.29,30.74,42.03,424,408,416000000,382,378,380000000,0.913461539,6,5,0.4,152000000,11,91,12.08791209,looked good under microscope,,,"B9,B10,C7,D2,D12,F5,G5,G7,H5,H7,H8",E2,,,,
2/7/22,10:45 AM,4 day,3,0.913,1.97E+08,49.07,28.23,39.52,446,373,409500000,390,428,409000000,0.998778999,6,5,0.4,163600000,8,91,8.791208791,looked good under microscope,,,"A3,B9,B10,B12,D1,D3,G10,H4",D7,,,,
