FOS10_ROS10,FOS10_ROS11,FOS10_ROS12,FOS10_ROS13,FOS10_ROS1,FOS10_ROS2,FOS10_ROS3,FOS10_ROS4,FOS10_ROS5,FOS10_ROS6,FOS10_ROS7,FOS10_ROS8,FOS10_ROS9,FOS1_ROS10,FOS1_ROS11,FOS1_ROS12,FOS1_ROS13,FOS1_ROS1,FOS1_ROS2,FOS1_ROS3,FOS1_ROS4,FOS1_ROS5,FOS1_ROS6,FOS1_ROS7,FOS1_ROS8,FOS1_ROS9,FOS2_ROS10,FOS2_ROS11,FOS2_ROS12,FOS2_ROS13,FOS2_ROS1,FOS2_ROS2,FOS2_ROS3,FOS2_ROS4,FOS2_ROS5,FOS2_ROS6,FOS2_ROS7,FOS2_ROS8,FOS2_ROS9,FOS3_ROS10,FOS3_ROS11,FOS3_ROS12,FOS3_ROS13,FOS3_ROS1,FOS3_ROS2,FOS3_ROS3,FOS3_ROS4,FOS3_ROS5,FOS3_ROS6,FOS3_ROS7,FOS3_ROS8,FOS3_ROS9,FOS4_ROS10,FOS4_ROS11,FOS4_ROS12,FOS4_ROS13,FOS4_ROS1,FOS4_ROS2,FOS4_ROS3,FOS4_ROS4,FOS4_ROS5,FOS4_ROS6,FOS4_ROS7,FOS4_ROS8,FOS4_ROS9,FOS5_ROS10,FOS5_ROS11,FOS5_ROS12,FOS5_ROS13,FOS5_ROS1,FOS5_ROS2,FOS5_ROS3,FOS5_ROS4,FOS5_ROS5,FOS5_ROS6,FOS5_ROS7,FOS5_ROS8,FOS5_ROS9,FOS6_ROS10,FOS6_ROS11,FOS6_ROS12,FOS6_ROS13,FOS6_ROS1,FOS6_ROS2,FOS6_ROS3,FOS6_ROS4,FOS6_ROS5,FOS6_ROS6,FOS6_ROS7,FOS6_ROS8,FOS6_ROS9,FOS7_ROS10,FOS7_ROS11,FOS7_ROS12,FOS7_ROS13,FOS7_ROS1,FOS7_ROS2,FOS7_ROS3,FOS7_ROS4,FOS7_ROS5,FOS7_ROS6,FOS7_ROS7,FOS7_ROS8,FOS7_ROS9,FOS8_ROS10,FOS8_ROS11,FOS8_ROS12,FOS8_ROS13,FOS8_ROS1,FOS8_ROS2,FOS8_ROS3,FOS8_ROS4,FOS8_ROS5,FOS8_ROS6,FOS8_ROS7,FOS8_ROS8,FOS8_ROS9,FOS9_ROS10,FOS9_ROS11,FOS9_ROS12,FOS9_ROS13,FOS9_ROS1,FOS9_ROS2,FOS9_ROS3,FOS9_ROS4,FOS9_ROS5,FOS9_ROS6,FOS9_ROS7,FOS9_ROS8,FOS9_ROS9
0,392,0,0,370,42,1,2,0,127,258,56,0,0,211,0,0,0,0,4,1,0,60,2,2,0,98,0,0,2,0,0,237,1,0,0,0,2,3,0,1,0,33,316,42,4,2,0,0,2,26,1,0,68,0,1,0,1,1,1,0,12,8,0,1,65,0,0,0,0,0,74,1,0,0,1,1,629,1,0,0,171,0,89,3,1,0,0,3,47,1,0,0,0,0,0,0,0,1,0,5,0,0,0,491,307,305,288,2,3,575,567,1,248,283,425,358,128,6,3,1122,366,402,465,367,2,105,2744,2628,380
0,40,0,0,130,19,0,0,0,99,159,19,0,1,62,0,1,0,0,0,0,0,94,1,0,1,72,0,1,0,1,2,208,1,0,0,2,0,1,0,0,0,29,217,27,0,0,0,0,1,28,1,0,51,1,8,2,0,0,1,0,8,3,2,0,41,3,0,0,0,1,34,0,0,0,3,0,391,0,0,0,75,0,56,1,1,0,0,1,30,1,0,0,0,0,0,0,2,0,0,5,2,0,0,510,345,303,336,0,0,273,351,1,263,306,358,204,58,3,1,663,180,237,373,216,1,110,1805,1448,195
2,491,0,0,59,4,0,0,1,102,69,2,0,1,265,17,0,1,0,0,0,0,148,47,0,1,209,0,0,0,0,0,477,0,0,0,0,0,2,1,1,1,33,402,24,0,0,0,0,0,44,0,2,76,3,0,1,0,1,0,1,50,4,1,1,34,0,0,1,1,0,97,5,0,1,3,1,654,1,0,0,78,0,85,1,0,0,0,3,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,132,105,27,54,1,0,269,94,1,86,48,2,187,42,5,3,558,298,63,86,6,0,3,3392,1608,128
3,1268,10,2,265,26,2,0,0,180,600,63,0,1,359,0,0,2,0,0,0,0,151,52,4,1,179,0,0,2,0,0,359,0,1,0,0,2,2,0,1,1,37,320,19,2,0,0,1,5,29,0,0,64,17,2,3,2,5,0,0,42,8,2,3,81,2,1,0,0,3,55,1,0,1,5,0,752,1,1,1,225,0,109,2,0,0,0,1,18,0,0,0,0,0,1,0,0,0,0,2,0,1,1,490,527,485,455,1,4,676,405,2,240,238,367,515,182,14,4,1225,574,1077,1038,619,0,161,2941,3386,459
3,1782,42,2,488,48,0,1,0,192,407,32,3,0,197,40,0,0,1,1,1,1,151,1,0,2,179,0,0,1,0,0,287,0,0,3,1,2,2,0,0,3,44,414,24,7,3,0,0,0,61,0,0,24,2,4,1,0,4,0,1,41,7,17,0,114,4,2,1,0,1,18,1,2,1,2,3,885,0,1,3,187,0,145,1,0,0,1,2,73,0,0,3,0,1,1,0,1,0,0,4,0,1,0,420,331,638,555,0,5,422,605,2,349,522,746,460,190,23,7,1168,577,966,748,510,2,192,3295,3737,512
0,121,0,0,233,43,1,2,1,109,230,51,0,2,261,0,0,1,0,0,0,0,134,2,0,0,121,3,0,1,1,1,244,1,0,0,1,1,2,2,0,1,41,333,44,0,0,0,0,0,10,0,0,71,4,0,7,0,0,0,0,3,1,0,1,52,0,0,0,0,0,30,1,0,0,3,0,563,1,0,1,81,0,113,1,0,1,0,1,50,1,1,1,0,0,0,0,0,0,0,1,1,0,0,468,467,492,298,2,3,486,444,1,173,201,344,318,213,2,3,869,292,657,501,376,0,251,2552,2182,627
2,1392,47,3,243,41,2,0,0,162,334,34,1,1,176,0,0,18,1,1,0,0,103,1,2,1,236,0,0,2,3,0,311,0,0,0,4,1,0,0,0,0,27,343,14,5,2,0,1,3,45,0,12,83,11,0,6,1,0,2,0,8,7,5,0,96,5,0,2,0,1,57,8,0,0,1,0,811,1,0,0,116,0,110,18,0,0,0,2,62,0,0,1,0,1,0,0,0,1,0,1,0,1,0,547,368,353,322,1,0,567,379,1,217,271,656,475,212,9,7,1434,580,811,670,616,0,191,3336,2947,514
1,1450,3,1,393,16,3,1,0,171,353,58,2,1,310,0,0,6,0,0,1,0,180,0,0,1,242,1,0,0,2,0,450,2,0,0,2,2,19,0,0,0,7,290,32,1,0,0,0,0,103,2,1,88,9,7,0,6,2,0,0,26,8,5,3,108,2,2,1,0,2,60,1,0,0,3,2,773,0,6,0,132,3,84,14,0,0,1,0,76,1,0,0,0,0,0,0,0,0,0,5,1,1,0,530,455,464,498,0,3,556,484,1,272,657,339,401,223,11,7,1517,903,710,519,601,0,199,3173,2929,593
1,598,0,2,297,40,0,0,0,94,330,36,1,0,202,0,0,3,0,1,0,0,109,2,0,0,146,0,0,0,0,0,185,0,0,0,2,1,0,0,0,0,12,269,23,0,2,0,0,0,19,1,0,37,12,30,1,0,1,1,0,34,4,0,0,55,0,0,0,1,4,39,0,0,1,3,4,645,0,0,0,132,1,127,0,1,0,0,0,53,0,1,0,0,0,0,1,0,0,0,4,0,0,0,309,319,390,478,2,4,438,541,1,343,539,359,387,145,5,2,1146,369,421,373,298,1,240,2869,2431,408
2,1435,7,1,457,70,3,2,1,186,611,51,8,2,241,42,3,7,0,0,0,0,260,26,3,2,184,0,0,1,0,1,310,1,0,0,3,1,3,0,0,2,5,361,41,0,0,0,0,3,34,1,1,92,7,1,1,1,1,1,0,34,1,15,4,61,5,0,1,9,0,78,2,0,2,4,3,855,1,0,1,278,0,127,2,2,0,0,0,100,0,0,0,0,1,0,0,0,0,0,7,0,1,0,602,545,443,543,1,2,502,733,2,260,538,576,558,217,12,5,1417,951,705,663,805,1,136,3196,3447,624
