FOS10_ROS10,FOS10_ROS11,FOS10_ROS12,FOS10_ROS13,FOS10_ROS1,FOS10_ROS2,FOS10_ROS3,FOS10_ROS4,FOS10_ROS5,FOS10_ROS6,FOS10_ROS7,FOS10_ROS8,FOS10_ROS9,FOS1_ROS10,FOS1_ROS11,FOS1_ROS12,FOS1_ROS13,FOS1_ROS1,FOS1_ROS2,FOS1_ROS3,FOS1_ROS4,FOS1_ROS5,FOS1_ROS6,FOS1_ROS7,FOS1_ROS8,FOS1_ROS9,FOS2_ROS10,FOS2_ROS11,FOS2_ROS12,FOS2_ROS13,FOS2_ROS1,FOS2_ROS2,FOS2_ROS3,FOS2_ROS4,FOS2_ROS5,FOS2_ROS6,FOS2_ROS7,FOS2_ROS8,FOS2_ROS9,FOS3_ROS10,FOS3_ROS11,FOS3_ROS12,FOS3_ROS13,FOS3_ROS1,FOS3_ROS2,FOS3_ROS3,FOS3_ROS4,FOS3_ROS5,FOS3_ROS6,FOS3_ROS7,FOS3_ROS8,FOS3_ROS9,FOS4_ROS10,FOS4_ROS11,FOS4_ROS12,FOS4_ROS13,FOS4_ROS1,FOS4_ROS2,FOS4_ROS3,FOS4_ROS4,FOS4_ROS5,FOS4_ROS6,FOS4_ROS7,FOS4_ROS8,FOS4_ROS9,FOS5_ROS10,FOS5_ROS11,FOS5_ROS12,FOS5_ROS13,FOS5_ROS1,FOS5_ROS2,FOS5_ROS3,FOS5_ROS4,FOS5_ROS5,FOS5_ROS6,FOS5_ROS7,FOS5_ROS8,FOS5_ROS9,FOS6_ROS10,FOS6_ROS11,FOS6_ROS12,FOS6_ROS13,FOS6_ROS1,FOS6_ROS2,FOS6_ROS3,FOS6_ROS4,FOS6_ROS5,FOS6_ROS6,FOS6_ROS7,FOS6_ROS8,FOS6_ROS9,FOS7_ROS10,FOS7_ROS11,FOS7_ROS12,FOS7_ROS13,FOS7_ROS1,FOS7_ROS2,FOS7_ROS3,FOS7_ROS4,FOS7_ROS5,FOS7_ROS6,FOS7_ROS7,FOS7_ROS8,FOS7_ROS9,FOS8_ROS10,FOS8_ROS11,FOS8_ROS12,FOS8_ROS13,FOS8_ROS1,FOS8_ROS2,FOS8_ROS3,FOS8_ROS4,FOS8_ROS5,FOS8_ROS6,FOS8_ROS7,FOS8_ROS8,FOS8_ROS9,FOS9_ROS10,FOS9_ROS11,FOS9_ROS12,FOS9_ROS13,FOS9_ROS1,FOS9_ROS2,FOS9_ROS3,FOS9_ROS4,FOS9_ROS5,FOS9_ROS6,FOS9_ROS7,FOS9_ROS8,FOS9_ROS9
0,165,26,2,418,49,1,2,1,134,385,72,2,0,169,0,0,0,1,0,1,0,109,1,4,1,161,1,0,0,0,1,355,0,1,0,2,1,2,1,1,0,40,399,34,3,0,0,1,2,42,1,0,82,11,2,5,1,5,1,0,15,1,2,1,97,8,2,0,0,1,39,7,0,2,2,1,833,0,0,0,138,0,79,1,0,0,0,2,48,0,0,1,0,0,0,0,0,0,0,3,1,1,0,619,425,670,340,0,3,631,490,1,237,479,619,562,250,5,3,1177,626,1120,655,773,3,441,3420,3080,765
4,1349,28,2,534,52,2,2,1,242,712,54,2,1,172,1,2,12,1,0,1,0,182,77,3,0,261,0,0,0,0,0,441,1,0,1,0,3,3,1,1,1,30,543,30,12,1,0,0,2,53,2,1,84,17,10,3,0,0,2,0,31,10,1,1,116,0,1,2,0,1,67,1,0,0,1,4,987,0,0,1,195,0,173,9,1,0,0,2,148,0,0,2,0,0,4,0,1,1,0,3,2,0,0,776,648,643,614,2,4,757,735,1,482,1113,598,589,313,10,11,1700,774,1109,1089,884,2,343,3995,4748,1056
2,498,62,3,303,27,3,1,0,144,507,75,3,1,262,0,0,4,0,0,1,1,145,1,2,0,174,2,0,1,1,0,327,0,1,1,1,0,8,0,0,1,15,317,4,12,1,0,0,1,40,0,1,72,0,0,3,3,1,1,0,16,15,11,1,71,2,0,1,0,0,53,1,0,1,4,0,803,1,0,0,146,0,49,1,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,5,0,0,563,434,418,408,1,4,468,460,3,236,521,306,465,149,5,5,1156,530,645,710,454,1,156,3127,2810,387
4,1886,177,0,5672,2118,11,7,1,456,5022,1618,12,8,1118,95,1,131,11,3,3,3,775,310,5,4,787,2,1,3,3,2,1955,117,1,2,4,6,83,3,0,1,127,1326,236,10,9,0,1,3,289,7,23,338,42,17,21,5,5,6,1,150,71,36,13,395,48,1,5,7,2,279,27,0,9,17,5,2663,7,1,7,1351,4,610,23,5,2,1,5,373,7,1,9,0,0,19,0,1,4,0,33,47,4,2,2483,2413,2585,2626,10,13,2763,3260,13,1942,3362,3414,2176,6133,49,22,3417,3303,3721,3792,3697,6,1303,5863,8320,8510
3,689,1,1,471,68,2,2,0,210,443,106,0,0,215,0,1,1,0,0,0,0,151,9,1,0,141,0,0,0,0,1,399,4,2,1,4,0,2,2,1,0,24,497,52,1,0,0,1,2,67,3,0,50,0,1,5,2,2,1,0,1,1,3,1,135,3,0,1,1,2,62,1,0,0,3,2,968,1,1,2,278,1,168,8,0,0,0,1,82,4,0,0,0,1,0,3,0,1,0,3,2,0,0,574,581,451,236,1,4,783,652,4,479,638,594,407,299,3,2,1106,869,755,761,667,0,271,3529,3193,665
6,965,33,1,528,84,3,0,0,200,660,85,2,1,417,33,2,2,0,2,1,0,188,99,3,0,266,0,0,1,2,1,572,4,0,1,0,3,1,1,1,1,34,477,52,16,1,0,0,3,17,1,0,135,29,5,13,4,3,3,0,30,19,0,1,116,20,13,1,1,0,122,16,0,1,5,2,877,0,1,1,225,2,153,20,0,0,1,3,128,4,0,0,0,1,0,0,0,0,0,3,0,0,1,822,570,836,473,1,1,858,732,2,422,676,1050,676,404,9,4,1721,824,891,812,770,2,259,3884,3545,1000
1,414,27,1,314,47,0,0,0,175,492,94,0,2,318,0,0,0,0,0,2,0,153,90,2,0,169,0,0,1,1,1,384,1,0,1,2,2,3,0,0,0,25,522,27,2,0,0,1,0,58,1,1,65,9,2,0,0,1,0,0,38,5,2,1,30,8,0,1,0,1,24,1,0,1,5,1,702,0,0,2,215,0,73,4,3,0,0,2,67,0,0,0,0,0,0,0,1,0,0,3,0,1,1,497,548,482,276,2,5,330,448,0,218,719,517,376,196,5,4,1248,777,614,765,816,0,272,3694,3233,652
3,1871,19,1,483,74,3,2,0,225,517,64,1,0,290,83,1,1,0,0,0,0,51,99,3,0,200,1,0,0,1,0,331,0,0,0,3,2,1,0,2,0,40,439,44,8,0,0,1,2,71,0,0,116,18,13,11,9,1,0,0,21,16,9,3,140,1,0,2,26,16,141,20,0,1,7,7,1007,0,22,3,311,0,143,0,14,0,1,0,81,0,0,3,1,0,0,0,0,0,0,9,0,1,0,859,545,720,662,2,2,812,853,1,371,1063,710,634,224,10,5,1766,812,950,944,744,0,172,4113,4068,547
2,9,99,6,4991,1069,7,1,0,476,1850,1535,7,7,3041,190,2,61,1,4,2,1,970,73,8,4,1260,1,2,0,4,3,3039,65,4,4,4,0,95,2,2,0,150,1425,201,10,5,0,1,2,272,8,1,177,39,23,20,3,7,2,0,63,25,2,8,328,30,1,9,21,10,183,16,0,6,6,2,2122,1,2,2,1040,6,386,29,3,0,4,9,198,7,0,3,1,1,51,2,1,1,0,16,12,3,0,1136,2164,1923,1287,4,8,2036,2525,6,950,2921,2090,2086,2403,16,12,2016,2153,3299,2892,2456,3,622,7829,4792,8218
3,2836,102,2,3825,1455,14,0,2,414,4061,1333,14,3,980,147,4,4,1,1,2,6,852,185,5,8,649,3,0,2,3,0,1262,4,1,0,4,4,25,2,1,0,101,927,144,11,2,0,1,4,204,2,4,251,78,3,25,3,2,2,0,128,24,14,6,407,27,2,5,12,1,218,9,0,12,11,4,2158,2,4,4,1433,3,470,5,3,1,2,4,408,3,0,12,0,1,21,0,2,2,0,41,6,0,3,2372,2240,2657,2304,6,12,2183,2419,7,1403,3256,2694,1960,4978,30,19,3357,2089,3180,2952,2837,3,868,6077,8223,7184
1,163,5,1,128,50,0,0,0,21,201,61,3,0,110,0,0,0,0,0,0,0,31,3,1,0,49,0,0,0,0,0,180,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,10,23,0,0,0,37,2,0,0,2,0,24,107,1,1,155,2,10,0,1,0,1,932,325,286
0,210,5,1,319,24,1,0,0,206,281,52,1,3,336,0,0,0,1,1,0,2,173,24,0,1,163,3,0,0,0,1,373,0,1,0,1,4,19,0,0,0,23,374,34,4,5,0,0,2,35,1,1,48,7,0,5,0,1,1,0,11,1,3,1,86,1,1,0,1,1,25,0,0,3,3,3,754,1,1,1,269,1,40,3,1,0,0,0,63,2,0,3,0,0,0,0,0,0,0,2,2,1,0,597,579,459,509,0,1,1047,721,3,424,1087,633,382,245,3,5,1190,464,693,915,480,1,305,3222,3049,714
0,422,3,1,291,43,2,0,0,142,254,39,1,1,150,0,0,0,0,1,1,0,171,1,0,2,195,0,0,0,0,0,319,1,0,2,2,0,1,0,0,0,28,333,15,0,0,0,0,1,51,1,0,16,8,0,1,2,0,2,1,34,17,1,0,45,0,1,0,0,0,68,1,0,0,2,5,772,0,0,0,189,0,97,2,0,0,0,1,26,1,1,0,0,0,0,0,1,0,0,3,0,0,1,418,409,537,509,3,1,650,415,0,216,618,461,490,231,6,7,1288,623,686,561,444,0,158,3415,3076,825
3,940,4,2,502,31,3,1,0,166,426,73,0,0,255,48,1,0,0,2,0,1,233,3,1,1,236,0,0,1,0,2,545,20,0,1,3,1,5,1,0,0,24,399,41,0,0,0,0,2,99,1,2,143,24,2,9,0,0,0,0,27,13,4,11,73,0,1,0,0,0,74,5,0,23,3,2,841,0,0,2,298,0,120,4,3,0,0,7,90,2,0,0,0,0,3,0,0,1,0,2,0,2,0,704,637,663,532,2,4,567,776,3,382,935,454,700,225,8,2,1198,506,1034,601,476,1,198,3350,3092,559
1,1100,11,0,84,8,1,0,0,142,114,11,2,1,485,7,0,20,1,5,1,1,263,5,2,1,240,1,0,0,0,0,553,5,0,0,3,2,3,0,2,1,98,785,72,25,1,0,0,0,114,0,0,101,8,0,2,1,1,2,0,20,4,0,1,80,1,1,0,0,0,116,0,0,2,7,2,1348,0,1,1,147,1,145,1,0,0,1,2,114,2,0,1,0,2,0,0,0,0,0,4,17,3,1,108,80,67,21,1,0,558,372,1,75,54,12,327,45,4,8,1055,496,358,168,144,0,5,4528,2529,162
5,2125,33,0,565,53,3,1,0,238,831,84,0,1,245,18,1,6,1,0,0,1,218,66,2,2,286,0,0,1,3,0,453,0,0,0,0,5,2,4,0,1,33,539,71,5,0,0,2,1,77,0,2,123,8,1,22,0,0,1,0,45,41,2,0,130,15,21,0,2,0,79,9,0,1,4,1,1128,0,3,0,287,6,124,2,1,0,57,8,88,0,0,3,1,0,0,0,0,0,0,4,1,2,1,701,659,724,666,2,5,875,1116,0,287,970,854,638,283,21,5,1775,1230,852,1307,807,1,261,4422,4052,664
2,981,66,1,344,50,0,0,0,137,574,65,0,0,131,16,0,46,0,1,0,0,157,194,1,0,155,1,0,1,0,1,405,0,0,0,2,2,19,1,1,0,17,301,53,0,0,0,0,2,22,1,3,52,25,0,4,0,0,2,0,39,7,4,0,52,2,0,2,0,1,85,0,0,1,4,2,800,1,21,1,172,0,200,9,5,0,0,11,55,0,0,2,0,1,0,0,0,0,0,6,0,0,1,334,314,421,191,2,3,341,540,0,102,415,700,447,220,6,2,1419,579,850,589,334,0,314,3453,3269,556
6,2232,31,2,572,38,2,0,1,263,784,79,6,0,285,55,2,1,1,1,1,1,116,39,2,1,304,0,0,0,1,0,547,0,1,0,3,2,3,2,3,0,35,619,80,7,1,0,0,2,48,3,11,156,9,1,0,1,0,0,0,39,44,20,68,167,3,0,3,1,4,55,8,0,1,9,15,1168,0,0,0,258,1,171,13,3,0,1,4,81,1,0,2,0,0,0,1,0,0,0,10,0,0,0,944,665,653,699,3,5,978,930,3,550,1029,1296,732,321,15,12,2164,684,1295,716,1107,4,409,4465,4964,842
19,5534,207,9,8307,2265,19,11,2,746,8828,2065,12,10,3613,293,4,39,5,10,4,5,2336,178,10,10,1886,4,3,3,4,3,4672,126,4,6,10,12,247,8,2,0,133,1486,238,16,4,0,2,11,321,10,5,358,19,16,24,4,4,1,1,121,46,19,9,411,28,1,4,9,5,211,23,0,33,21,8,3297,6,2,2,1380,5,492,45,3,0,2,16,239,5,2,7,1,2,10,1,4,0,0,29,8,2,3,2913,2887,3181,2297,7,10,3259,3225,8,1977,3081,2694,2614,7262,64,30,6400,3410,3860,3477,3306,7,1055,9705,15138,14339
1,1196,50,0,413,44,0,2,2,235,534,53,1,0,267,1,1,38,2,1,2,1,263,9,1,3,229,0,1,1,0,2,354,1,1,0,5,1,4,1,2,0,67,595,34,8,1,0,1,1,44,0,3,80,22,0,10,0,3,0,0,76,19,5,10,119,0,0,0,0,1,120,19,0,3,8,3,1058,1,2,0,270,0,181,18,3,0,1,2,96,2,0,3,0,0,15,0,0,0,0,21,0,0,2,663,561,754,529,3,4,753,944,6,545,854,602,780,272,9,9,1862,718,1037,812,902,1,227,4323,4708,925
0,435,0,1,378,59,3,2,0,118,398,68,3,1,177,0,0,0,0,0,1,0,104,3,2,1,145,0,0,0,0,0,372,0,0,0,3,2,2,0,0,0,4,324,27,1,0,0,0,1,75,1,23,15,2,1,0,0,1,1,0,17,19,8,29,67,45,34,8,1,0,49,0,0,0,0,4,804,0,0,0,164,0,135,16,1,0,56,31,44,0,0,1,0,0,1,0,0,1,0,1,0,0,1,651,516,529,589,1,0,582,454,1,185,426,392,487,239,7,3,1264,745,468,489,573,2,161,3389,2710,751
31,12240,448,15,9277,3029,15,9,2,776,12328,3348,21,14,5012,910,8,458,11,14,17,14,3691,999,22,12,3857,12,1,5,9,5,7309,676,1,9,14,7,763,31,7,8,715,3886,1032,130,8,1,5,10,1658,15,5,940,91,32,104,20,13,4,2,241,48,37,9,1022,126,18,10,10,11,701,42,0,6,36,16,7661,7,7,7,2158,7,1339,80,7,2,62,8,841,10,1,9,1,1,66,1,3,1,1,50,10,4,3,3896,3264,4062,3789,25,14,4226,5114,13,2642,4887,4906,3142,10707,125,31,6311,5020,6098,6365,5442,15,2426,13049,14880,16413
0,585,6,0,294,39,0,0,0,113,410,43,1,1,146,0,0,0,0,0,0,0,149,1,2,1,156,0,0,0,1,0,259,0,0,0,2,2,0,0,0,1,13,273,38,3,2,0,0,4,46,0,0,100,0,2,0,0,0,1,0,2,7,0,1,71,2,1,1,3,0,28,2,0,11,5,1,614,0,0,0,170,0,68,0,1,0,2,1,68,2,1,0,0,0,0,0,0,0,0,3,0,1,0,721,443,371,468,1,1,624,709,1,203,757,852,480,234,5,5,1057,379,651,679,353,2,114,2542,2508,621
3,1821,0,0,405,40,0,0,0,250,544,37,1,0,152,22,2,1,0,1,0,1,170,3,1,2,151,0,0,1,1,0,226,1,0,2,0,3,1,0,1,0,37,476,46,1,1,0,0,1,56,1,0,104,13,0,2,0,0,0,1,66,22,13,1,89,1,1,0,1,1,76,5,0,0,4,2,1002,1,0,0,185,0,94,2,0,0,0,4,130,1,0,1,2,1,1,0,0,0,0,4,0,2,0,767,507,502,644,0,2,386,566,3,399,529,1082,546,302,10,5,1630,968,1390,1080,1038,1,534,3672,4113,790
1,1855,19,1,643,68,0,0,1,205,721,93,3,1,190,0,1,70,3,0,1,3,342,34,1,0,344,1,0,1,0,1,444,28,0,3,1,1,4,1,0,0,37,498,69,7,0,0,0,0,101,1,0,68,0,1,0,1,1,0,0,63,14,1,2,116,1,0,1,0,0,92,1,0,0,5,5,1091,1,1,1,339,1,171,0,0,0,0,2,137,1,0,7,0,0,0,0,1,1,0,9,0,2,1,596,528,609,666,3,0,641,850,2,656,712,759,455,328,18,7,1904,709,1220,1355,867,4,344,3786,4823,712
16,5711,135,7,7465,1911,15,8,3,759,8976,2343,13,10,3469,452,8,128,2,17,6,9,2193,252,13,8,2043,5,1,5,5,5,4469,128,2,7,12,5,211,2,3,3,168,1691,256,14,6,0,2,9,356,13,7,322,32,8,34,17,8,7,0,209,29,17,6,369,44,9,3,10,1,312,16,0,9,19,4,3128,5,0,2,1567,7,680,49,3,0,2,6,317,5,3,6,0,1,49,2,2,1,0,32,47,9,2,2725,2393,2849,2475,12,13,3433,3318,8,1873,3375,4000,2593,6156,67,16,5956,3409,4672,5084,3916,7,1498,9682,14768,11917
1,152,1,0,133,22,0,0,0,11,172,21,2,4,673,1376,17,0,0,1,0,0,23,4,2,1,162,1,0,0,0,0,128,14,0,0,4,0,172,0,0,0,7,170,2,0,2,0,0,3,2,0,0,4,0,0,0,0,1,0,0,7,2,0,1,34,1,2,0,0,0,5,0,0,1,3,0,417,0,0,1,192,1,5,0,0,0,0,4,4,1,0,1,0,0,0,0,0,0,0,7,1,0,0,1,6,11,1,0,1,78,94,1,25,95,0,15,71,0,0,93,17,30,12,3,0,1,4038,286,245
31,4971,2861,23,4433,1851,16,12,0,216,5884,1480,60,32,3300,15882,89,4258,421,16,14,8,1436,16006,44,16,4267,33,10,5,11,21,4361,13187,2,39,60,5,16988,4,1,9,37,507,84,0,9,0,0,3,49,10,11,66,17,1,8,1,6,14,0,27,17,1,13,52,3,7,0,3,2,21,15,0,1,13,1,1219,2,3,26,172,8,118,18,2,0,0,12,50,10,1,2,1,0,0,0,0,4,0,7,3,0,2,288,156,128,6,4,2,680,341,1,134,234,50,318,3980,100,28,1554,695,418,279,108,2,59,5262,3404,7298
18,378,1287,15,10996,4260,26,6,2,582,10406,4572,27,21,7179,5328,35,3131,23,19,21,7,3390,3090,37,19,3759,22,6,7,12,13,8266,2441,4,10,20,8,2444,284,3,40,1358,3629,2193,665,157,2,46,61,3113,13,34,2463,874,393,678,236,131,41,7,898,790,370,174,2994,716,244,65,145,35,2114,295,2,169,36,22,6612,10,84,32,7484,14,3989,812,90,3,3,13,2469,16,4,42,4,4,1198,3,0,2,1,148,685,24,3,3989,2907,2190,1655,15,25,5435,4527,9,1520,2871,2274,3910,9120,87,27,3005,5360,5199,3996,2858,5,603,8220,9005,18697
6,57,1880,8,3837,1538,21,9,0,157,3554,1452,18,36,3115,16459,111,4545,52,20,6,2,1278,7463,49,15,1873,38,7,3,8,22,3456,11035,0,29,39,10,14206,5,1,5,26,449,41,0,8,0,0,1,81,9,0,39,10,1,9,2,5,9,0,19,3,1,7,96,5,7,0,2,0,45,6,0,1,8,1,895,0,0,4,149,5,93,2,3,0,0,4,50,8,0,0,1,0,3,1,1,1,0,4,0,1,3,160,149,150,92,3,0,321,207,0,98,173,3,281,2518,68,25,721,380,204,170,43,0,9,4321,1981,6181
10,268,1593,14,4027,1490,19,6,1,140,3843,1407,23,46,3250,17367,99,4734,79,17,14,4,1186,8138,56,16,2322,50,11,3,5,16,3802,12398,2,32,59,10,13266,1,1,5,36,458,38,12,6,0,1,8,50,6,1,32,12,0,6,2,7,9,0,5,9,0,12,72,6,4,2,4,0,22,6,0,0,5,2,867,1,1,7,126,5,75,2,4,0,0,10,46,6,0,1,4,1,2,1,0,1,0,5,2,1,1,225,120,130,53,3,1,370,297,1,120,136,4,360,2681,75,21,830,376,395,134,59,0,42,4195,2608,6383
10,5653,11,0,771,147,0,1,1,164,995,145,2,3,1757,8,4,4,1,1,1,2,1028,5,7,5,1388,3,1,1,0,3,2539,0,2,1,6,6,57,1,1,2,431,2452,547,5,0,0,0,4,890,6,3,162,0,2,9,0,0,0,0,57,0,3,4,241,4,3,7,3,3,130,1,0,6,5,1,4753,0,1,4,1137,1,317,1,0,0,0,4,118,3,0,3,0,1,2,0,2,0,1,37,4,0,0,221,59,27,5,1,1,303,282,0,77,84,64,274,433,45,10,1451,507,270,87,3,0,9,12889,4054,1279
0,3,37,0,111,16,0,0,0,43,72,8,0,0,227,139,0,45,0,2,0,0,216,27,1,1,149,0,0,1,0,1,212,69,0,0,1,2,122,0,0,0,2,130,7,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,5,1,0,0,3,0,0,1,0,1,1,1,0,0,0,1,297,0,0,0,41,0,19,0,1,0,0,0,17,0,0,0,0,0,1,0,0,0,0,1,0,0,0,66,13,85,7,0,0,30,83,0,0,1,10,107,28,0,4,302,96,111,45,1,0,4,2354,674,239
11,3411,13,3,270,23,0,0,0,153,296,45,3,4,1018,8,1,2,1,2,0,4,634,17,2,2,845,1,0,0,2,0,1594,21,2,2,7,2,20,1,1,0,281,2256,393,21,0,0,0,3,473,4,1,113,0,1,19,0,1,0,0,49,2,4,3,166,1,0,1,1,2,141,2,0,3,14,2,3954,0,4,3,736,0,162,0,0,0,0,5,87,2,0,1,0,0,0,0,1,0,0,21,3,0,1,51,50,3,0,1,0,287,114,0,55,25,5,230,155,24,9,1283,196,316,41,4,0,9,11632,3061,518
19,5450,2181,16,3575,1277,31,8,1,177,5295,1216,46,30,3508,16033,90,3659,64,15,9,3,1201,11481,29,16,2969,29,4,1,9,24,3916,9983,2,29,37,7,11876,3,2,4,25,519,65,9,4,0,0,15,109,11,5,55,16,1,6,0,2,4,0,14,7,2,18,63,22,18,3,4,0,45,2,0,2,7,2,965,2,3,6,163,2,78,3,4,0,0,4,23,8,1,3,0,1,7,1,1,4,0,0,4,0,1,136,120,109,38,3,0,473,248,1,71,142,110,356,2880,98,26,1133,392,422,154,166,1,81,4419,2860,6763
0,22,13,0,185,20,0,0,0,136,146,9,2,2,574,41,0,2,0,1,1,1,341,3,0,0,355,0,0,0,0,1,584,22,0,0,2,0,34,0,0,2,54,595,51,0,1,0,0,2,64,1,0,184,23,5,5,0,0,6,1,18,9,1,1,119,1,0,0,1,2,86,7,0,2,4,1,1168,0,0,1,103,1,104,3,0,0,0,0,87,0,1,0,0,0,0,0,1,0,0,7,6,0,0,175,125,112,105,0,0,624,405,3,107,314,214,496,42,2,4,811,700,434,81,137,0,10,4342,1680,280
8,3520,2113,15,3557,1497,23,7,0,139,5249,1445,46,36,2472,14588,87,3563,48,17,13,8,1099,12081,63,18,2670,37,9,4,5,18,3584,8759,1,34,53,7,11752,2,2,6,30,392,35,11,6,0,0,7,33,5,3,63,4,0,2,1,1,6,0,15,11,0,18,49,2,3,2,0,1,29,2,0,2,9,1,887,1,1,4,176,3,63,0,3,0,0,3,22,7,1,3,4,0,9,0,2,1,0,2,1,0,3,139,125,48,10,3,0,400,161,1,130,63,16,300,2800,74,24,1057,407,338,289,168,0,20,3986,2567,6123
8,2558,0,0,79,1,0,0,0,107,97,6,0,2,441,25,0,0,1,1,0,1,186,0,2,2,308,1,0,0,0,1,528,0,0,1,1,3,13,0,0,0,79,545,90,4,0,0,1,3,78,1,0,52,2,0,1,1,1,0,0,55,1,1,1,72,3,0,1,0,1,75,11,0,5,3,1,1263,1,1,0,144,1,128,1,0,0,0,0,55,1,0,0,0,0,0,1,0,0,0,5,0,0,0,386,102,30,44,2,1,433,177,1,22,5,32,412,10,9,6,1038,443,525,119,104,0,12,4468,2463,57
0,161,0,0,0,2,0,0,0,15,20,0,0,0,79,0,0,1,0,0,0,0,76,0,0,0,32,0,0,1,0,0,105,0,0,0,0,0,1,0,0,0,9,161,21,0,0,0,0,0,46,0,0,10,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,7,0,0,0,0,0,289,0,0,0,34,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,3,0,0,1,13,29,8,2,0,43,18,32,10,0,0,0,670,162,33
0,72,0,0,53,2,0,0,0,31,5,6,0,0,11,1,0,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,7,25,12,2,7,0,1,7,0,0,0,2,0,0,2,0,1,0,0,0,0,0,3,16,0,0,0,0,0,10,2,0,0,0,0,74,0,0,0,11,0,12,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,11,0,1,0,0,59,49,0,48,13,45,4,19,0,1,124,8,0,1,3,0,0,688,504,108
0,346,1,0,121,11,0,0,1,39,169,17,0,0,109,0,0,0,0,0,0,0,13,0,0,0,75,0,0,0,0,0,79,0,0,0,0,0,0,9,0,25,9,110,28,4,0,0,0,0,23,1,0,11,13,0,13,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,156,0,0,0,48,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,51,37,2,0,44,56,0,40,7,117,64,61,2,0,290,118,112,163,253,0,152,1423,916,148
0,85,0,0,18,1,0,0,0,12,71,13,0,0,2,0,1,0,0,0,0,0,1,0,0,0,23,0,0,2,0,0,41,0,0,0,1,0,0,0,0,0,0,37,0,0,0,0,0,1,14,0,0,10,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,20,0,0,0,1,0,53,0,0,0,12,0,18,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,17,60,76,0,0,96,35,1,117,97,230,59,11,1,1,194,5,55,77,13,0,0,823,229,78
1,518,0,0,188,7,0,0,0,79,113,19,2,0,146,0,0,0,0,1,1,0,129,0,1,0,163,0,0,0,1,0,197,0,0,0,4,0,1,2,1,0,10,204,20,1,0,0,0,2,31,0,0,21,15,1,0,0,0,0,0,2,0,0,1,20,1,0,0,0,1,55,0,0,0,3,0,393,1,0,0,42,0,40,7,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,1,0,0,1,253,253,155,312,0,2,178,352,0,214,274,227,251,89,4,1,696,157,309,300,99,1,25,2325,1699,316
1,1865,4,2,399,58,1,1,1,184,523,75,2,2,386,6,1,2,0,1,1,1,391,3,1,0,206,3,1,0,0,0,498,0,0,1,2,0,1,0,1,1,46,465,25,0,10,0,1,3,33,2,3,86,1,1,3,0,0,0,0,35,1,3,0,26,2,0,0,0,1,66,3,0,1,2,3,895,1,6,39,230,0,151,4,0,0,0,1,83,2,0,2,0,0,1,1,0,0,0,7,0,0,0,648,484,723,848,0,3,599,784,3,434,427,251,618,240,12,1,1551,508,700,966,837,2,320,3697,3418,664
2,276,0,0,34,1,0,0,0,57,26,5,0,0,85,0,0,1,0,0,1,0,93,0,1,0,58,0,0,0,0,2,107,0,0,1,1,1,24,0,0,0,3,93,2,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,4,1,1,10,0,0,1,0,0,11,1,0,0,1,1,217,0,0,0,37,0,7,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,247,77,157,103,0,0,170,135,0,52,130,143,105,26,0,0,284,61,118,129,226,0,7,1491,1017,150
0,209,6,0,73,1,0,0,0,23,27,2,1,0,34,0,0,0,0,0,0,0,3,2,0,0,19,0,0,1,0,0,77,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,6,0,0,0,0,0,92,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,77,81,2,1,73,47,0,20,23,18,17,24,4,0,152,156,120,46,3,0,2,831,340,33
