143664,860793,233382,0
52081,198980,41240,0
7139,84361,36485,190
1120,539,19,0
10,46,11,0
52000,164424,30642,0
1406,568,17,0
1066,876,39,0
1383,808,16,0
1424,638,24,0
1115,647,40,0
658,280,18,0
553,115,3,0
1215,532,23,0
1158,948,44,0
862,472,42,0
1425,469,38,0
1507,718,13,0
1138,572,38,0
1407,818,67,0
1359,837,39,0
1099,873,37,0
858,4719,1267,1
1144,554,25,0
1598,765,23,0
1502,863,51,0
2157,466,56,0
1751,1102,53,0
735,43,0,0
870,113,6,0
1384,757,82,0
1222,886,20,0
1398,759,29,0
1090,522,26,0
1049,722,43,0
1096,959,58,0
1063,591,19,0
1342,18715,5841,353
1618,943,45,0
1239,671,31,0
818,129,0,0
849,468,25,0
5122,3672,239,0
955,206,0,0
24367,1638,0,0
1488,687,23,0
2044,835,25,0
6772,4717,282,0
805,132,7,0
10236,473,0,0
11480,575,0,0
5491,1803,50,0
5666,3813,231,0
3071,304,0,0
12390,476,0,0
6806,762,90,0
583,5418,1082,23
1085,6509,1464,2
532,5433,1061,24
635,6172,1195,17
834,427,4,0
821,6362,1316,14
539,5273,984,1
601,391,18,0
523,4747,1020,5
838,5959,1251,2
872,9638,2395,49
434,251,6,1
3038,3287,198,0
365,3873,832,9
11065,104079,44529,0
596,316,11,0
1006,8908,2290,39
327,5104,1039,0
514,5127,1064,9
606,271,19,0
882,5407,1228,9
962,259,0,0
616,2053,494,5
801,4240,1049,0
542,8787,2235,55
1136,6134,1340,5
112,192,6,0
561,5167,1164,33
323,3490,817,0
634,4604,1038,1
322,3773,708,25
972,5626,1302,0
392,176,14,0
682,3815,892,14
113,250,21,0
374,3873,762,5
525,311,6,0
1103,341,14,0
435,314,11,0
910,156,0,0
722,522,8,0
1081,338,7,0
505,120,11,0
1022,498,26,0
474,100,0,0
1141,373,10,0
673,336,13,0
1058,87,2,0
1349,431,18,0
442,70,1,0
1051,5557,1194,8
728,373,16,0
1181,485,15,0
931,448,21,0
978,4219,712,0
1110,7684,1750,0
1117,7598,1701,30
597,114,0,0
347,3697,468,0
620,6733,1405,23
594,140,0,0
706,7877,1509,15
659,860,62,0
584,192,1,0
718,6028,1254,2
1659,481,29,0
783,417,3,1
681,6307,1310,35
643,6451,1362,14
1328,429,17,0
1098,6676,1385,72
1033,364,8,0
206,3538,1222,361
1007,7942,1858,12
986,5874,1112,0
1120,7275,1587,0
1198,5831,1254,0
458,3347,712,8
652,7066,1522,10
487,6471,1245,16
555,2160,352,0
1173,6530,1482,0
803,496,17,0
676,447,13,0
577,3813,703,3
1099,382,32,0
661,7074,1393,0
967,1603,160,0
1157,439,0,0
686,7186,1547,36
320,2889,540,6
1721,4138,763,0
733,4807,853,0
751,368,12,0
768,6993,1343,0
683,344,25,0
731,317,12,0
514,6791,1508,22
3257,4465,219,0
776,7021,1483,16
591,309,12,0
1291,4306,879,7
1190,7262,1601,33
1200,384,22,0
1084,695,65,0
6356,3962,197,0
529,6131,1266,3
752,364,9,0
1249,380,19,0
1181,369,7,0
838,5507,1246,14
669,397,8,0
517,370,17,0
556,381,10,0
1413,5661,998,0
655,5970,1263,1
1223,494,24,0
1118,317,13,0
740,7891,1544,0
908,365,20,1
1226,469,18,0
804,7593,1709,38
1367,1783,144,0
751,404,5,0
674,265,6,0
432,286,35,0
1115,6927,1470,21
1053,6731,1491,6
1438,380,35,0
1334,3468,592,0
1350,358,19,0
1134,327,21,0
46,9,0,0
1146,151,2,0
1234,7405,1720,0
329,271,13,0
905,4294,916,1
688,4827,865,1
144,201,1,0
721,296,4,0
1268,453,4,0
868,476,15,0
302,182,8,0
160,170,3,0
141,41,0,0
90,0,0,0
224,0,0,0
148,60,1,0
176,9,0,0
1524,927,30,0
600,176,5,0
101,11,0,0
28222,19331,1240,0
7102,14125,2017,0
187,168,10,0
667,433,42,0
24376,13130,1011,0
84,9,0,0
171,20,1,0
22535,12104,946,0
23534,11872,1163,0
454,1083,114,4
4663,13439,2409,0
1530,648,38,0
1721,871,46,1
1167,722,47,0
1687,1016,48,0
1148,603,25,0
3378,10664,2097,0
1096,884,65,0
1709,1066,81,0
1238,606,45,0
1754,943,70,0
1988,9623,1055,0
3322,7393,1438,0
154,230,49,0
1181,616,22,0
1279,637,41,0
1188,972,28,0
1047,147,6,0
1762,1017,48,0
1410,659,47,0
2150,955,33,0
6345,15893,2233,0
1849,820,41,0
1255,666,57,1
6241,17531,2981,0
1049,546,37,0
1617,744,36,0
1890,1199,63,0
5902,14234,1879,0
90,222,21,0
1537,8064,1828,0
2947,21362,4216,0
709,7188,1525,7
817,7348,1476,5
1434,1483,139,0
299,217,16,0
1269,513,18,0
1119,6666,1258,11
804,329,19,0
1044,6603,1479,5
1031,110,0,0
42,4,2,0
123,85,2,0
287,202,10,0
193,35,1,0
691,360,6,0
1540,711,54,0
281,53,1,0
151,88,1,0
5923,13048,1800,0
227,200,7,0
682,114,1,0
172,257,6,0
0,0,0,0
18660,10727,724,0
1224,928,61,0
187,43,0,0
6804,15378,2150,0
38,0,1,0
46,7,0,0
145,34,2,0
1304,693,34,0
55,1,0,0
235,115,1,0
2481,1045,41,0
106,39,0,0
619,153,1,0
640,317,19,0
22,0,0,0
291,119,11,0
0,0,0,0
0,0,0,0
0,0,0,0
1513,8,0,0
0,0,0,0
5544,331,0,0
517,90,7,0
179,368,5,0
768,122,2,0
524,83,3,0
1221,838,51,0
0,0,0,0
739,49,3,1
468,69,0,0
756,4688,1069,3
534,89,0,0
21,3,0,0
672,55,0,0
560,87,11,1
579,69,5,0
304,240,21,0
4211,2974,174,0
555,71,0,0
3989,35903,10198,0
736,61,0,0
715,53,1,0
813,108,1,0
662,70,2,0
491,54,5,0
6969,305,0,0
5254,271,0,0
387,80,3,0
659,372,9,0
825,5066,963,0
414,297,13,0
367,1545,162,0
566,4562,904,16
467,1702,204,0
556,71,3,0
356,196,10,1
684,241,10,0
371,253,7,0
779,228,10,0
486,196,14,1
285,208,4,0
379,220,23,0
314,236,9,0
2697,2775,152,0
590,1053,96,0
365,198,14,0
363,208,3,0
479,67,6,0
439,198,10,0
487,262,4,0
371,75,11,0
803,326,11,0
747,260,15,0
557,275,3,0
602,245,3,0
796,228,11,0
734,100,1,0
8014,4530,330,0
7772,4205,332,0
404,98,2,0
2537,6364,1052,0
8697,4905,347,0
10675,5422,413,0
8373,5417,503,0
8806,5234,413,0
8937,4537,397,0
10047,5451,458,0
7931,4355,307,0
247,102,7,0
9529,5127,592,73
9957,6705,588,0
12662,7989,828,0
693,486,38,0
688,80,2,0
0,0,0,0
980,541,41,0
0,17567,2976,10640
176,1423,272,86
34314,3582649,4107295,4732397
3039,28805,9823,18894
25089,1844766,1866504,3000158
18237,786786,572691,1548901
7465,167959,90169,289973
428,4696,938,16
6494,4719,399,0
766,452,42,0
1694,157,7,0
1091,583,26,0
71,61,1,0
761,326,25,0
8990,5858,430,0
260,623,107,0
585,180,8,0
484,210,9,0
244,0,0,0
7365,5027,434,0
1335,324,7,0
399,119,1,0
338,8,0,0
534,338,33,0
705,394,28,0
6714,3794,295,0
593,261,4,0
559,307,16,0
513,298,12,0
3532,9851,1875,0
113,87,8,0
170,35,0,0
7638,184247,88438,355469
0,0,0,0
639,160,3,0
811,505,34,0
1362,1361,127,0
1197,363,8,0
3622,681,62,0
705,268,29,0
864,45,8,0
73,0,0,0
991,380,7,0
1,0,0,0
4039,18980,3519,0
18,4,0,0
6128,17640,2580,0
6964,40785,7584,0
10351,69450,13770,0
1712,7174,550,0
12256,9865,1084,0
774,85,1,0
21463,862322,757104,196
679,67,1,0
9247,77340,46707,0
818,100,9,0
14816,69964,14530,0
851,77,0,0
1093,88,0,0
13777,14374,2070,0
1002,153,1,0
861,120,0,0
502,338,6,0
11285,73867,15647,0
661,113,0,0
814,157,3,0
14788,11093,1264,0
15040,70962,14093,0
865,125,1,0
773,55,14,0
932,47,1,0
1152,297,8,0
14157,274865,120793,0
6239,119901,53860,49
5326,131567,58793,0
11079,99968,24207,0
10458,211849,96733,0
8727,48762,10625,0
14157,91724,19673,0
6616,48816,9688,0
10599,63179,13692,0
15247,263364,119804,0
4263,45482,7062,0
14708,466584,239411,124
12353,40775,7531,0
8677,39632,7905,0
7134,43687,9842,0
13108,82020,18232,0
915,4899,1163,32
596,256,28,0
1104,258,28,0
602,90,3,0
864,30,0,0
9414,4736,381,0
718,122,0,0
775,4399,1041,12
1148,38,6,0
1159,11745,3047,27
24,187,50,0
745,372,16,0
1177,497,38,3
1710,1503,122,0
943,847,71,0
945,236,12,0
176,372,32,1
3419,2531,143,0
877,410,8,0
955,5765,1284,15
4574,52715,30064,648
547,4570,822,4
896,5343,1250,13
1734,26,0,0
23707,56,0,0
8756,114,0,0
8113,266,0,0
4549,0,0,0
0,0,0,0
1398,14,0,0
989,1,0,0
1598,6,0,0
0,0,0,0
0,0,0,0
11935,16,0,0
3587,39,0,0
1635,4,0,0
4492,729,0,0
2686,438,0,0
2270,31,0,0
779,12,0,0
5663,165,0,0
2405,13,0,0
1863,6,0,0
5297,176,0,0
2192,23,0,0
1849,15,0,0
0,0,0,0
1944,13,0,0
0,0,0,0
3970,45,0,0
7188,274,0,0
574,0,0,0
684,1,0,0
1912,18,0,0
5287,112,0,0
7011,9,0,0
1450,14,0,0
1930,14,0,0
1722,19,0,0
4635,1357,126,0
5674,74,0,0
7991,190,0,0
2223,14,0,0
2628,712,0,0
0,0,0,0
2287,2,0,0
3432,732,0,0
1492,19,0,0
1810,29,0,0
0,0,0,0
1470,11,0,0
3807,358,0,0
1735,14,0,0
2361,7,0,0
370,12,0,0
1111,9,0,0
0,0,0,0
7732,275,0,0
7710,197,0,0
3160,3,0,0
6516,221,0,0
3905,5,0,0
5274,529,0,0
0,0,0,0
2490,85,0,0
2117,14,0,0
2307,30,0,0
1864,16,0,0
2721,7,0,0
3508,44,0,0
5898,10,0,0
9947,329,0,0
1217,9,0,0
8555,124,0,0
1542,21,0,0
661,0,0,0
1586,1,0,0
0,0,0,0
5206,178,0,0
0,0,0,0
0,0,0,0
1765,5,0,0
1394,22,0,0
1999,11,0,0
1712,30,0,0
2689,5,0,0
7233,237,0,0
1925,25,0,0
1377,23,0,0
0,0,0,0
0,0,0,0
2245,22,0,0
2318,1,0,0
461,2,3,0
1753,7,0,0
2491,29,0,0
1820,8,0,0
5499,243,0,0
0,0,0,0
2959,26,0,0
0,0,0,0
1767,17,0,0
1711,2,0,0
2650,0,0,0
2077,661,56,0
4617,875,0,0
0,0,0,0
1413,18,0,0
0,0,0,0
5883,250,0,0
1230,0,0,0
2988,6,0,0
4848,142,0,0
1098,11,0,0
11787,33,0,0
2124,21,0,0
1668,9,0,0
2252,33,0,0
2848,693,0,0
2190,9,0,0
974,0,0,0
7026,2008,174,0
1790,16,0,0
6038,160,0,0
2112,47,0,0
2720,48,0,0
1867,20,0,0
1324,17,0,0
0,0,0,0
1497,21,0,0
0,0,0,0
6316,54,0,0
3725,679,0,0
0,0,0,0
1329,16,0,0
0,0,0,0
1229,40,0,0
2225,14,0,0
2919,141,0,0
2176,4,0,0
11653,248,0,0
2034,5,0,0
2154,15,0,0
1784,15,0,0
1516,12,0,0
332,5,0,0
0,0,0,0
2276,21,0,0
4698,188,0,0
0,0,0,0
1878,0,0,0
0,0,0,0
468,6,0,0
1860,31,0,0
0,0,0,0
3065,23,0,0
1786,0,0,0
4193,191,0,0
6632,31,0,0
2073,14,0,0
0,0,0,0
0,0,0,0
1757,20,0,0
408,1,0,0
0,0,0,0
2099,31,0,0
4251,2,0,0
2088,14,0,0
0,0,0,0
2766,4,0,0
1437,12,0,0
1705,1,0,0
1445,7,0,0
2089,16,0,0
3029,2,0,0
1523,15,0,0
307,2,0,0
2038,12,0,0
2685,323,0,0
1997,36,0,0
1085,11,0,0
0,0,0,0
5536,153,0,0
1752,18,0,0
1275,14,0,0
2111,23,0,0
1368,8,0,0
2004,19,0,0
1858,14,0,0
0,0,0,0
1602,19,0,0
2254,8,0,0
4223,5,0,0
3684,23,0,0
3700,1104,88,0
1653,6,0,0
598,0,0,0
2086,9,0,0
1844,33,0,0
3955,100,0,0
1847,1,0,0
2693,115,0,0
1334,9,0,0
2326,19,0,0
1370,13,0,0
1879,13,0,0
1107,0,0,0
2418,35,0,0
1433,31,0,0
0,0,0,0
1994,23,0,0
2181,20,0,0
2349,22,0,0
1014,9,0,0
0,0,0,0
1649,13,0,0
1831,18,0,0
2171,11,0,0
1990,8,0,0
1984,22,0,0
1098,10,0,0
1579,12,0,0
1872,21,0,0
2183,10,0,0
2227,30,0,0
1794,19,0,0
1556,22,0,0
0,0,0,0
2810,1,0,0
1798,16,0,0
0,0,0,0
2558,36,0,0
1602,11,0,0
2022,22,0,0
1305,4,0,0
3240,53,0,0
3982,906,23,0
4064,47,0,0
1491,24,0,0
1287,18,0,0
1658,13,0,0
1383,25,0,0
6713,155,0,0
2132,14,0,0
0,0,0,0
2068,33,0,0
1808,6,0,0
1405,13,0,0
2377,42,0,0
4562,102,0,0
117,1,0,0
2123,17,0,0
488,6,0,0
3367,40,0,0
1408,8,0,0
3578,732,0,0
3387,11,0,0
2214,19,0,0
1727,25,0,0
1424,15,0,0
1549,28,0,0
5889,178,0,0
474,6,0,0
2133,12,0,0
1970,10,0,0
2069,16,0,0
1919,10,0,0
1788,26,0,0
2964,22,0,0
0,0,0,0
1406,8,0,0
2415,11,0,0
1142,5,0,0
2655,30,0,0
3065,25,0,0
1974,18,0,0
2011,9,0,0
1822,18,0,0
0,0,0,0
1505,6,0,0
2540,34,0,0
422,4,0,0
4113,59,0,0
1398,18,0,0
2453,11,0,0
0,0,0,0
1621,5,0,0
0,0,0,0
1318,21,0,0
0,0,0,0
2129,16,0,0
1778,14,0,0
1572,26,0,0
1383,12,0,0
1471,8,0,0
2317,25,0,0
0,0,0,0
2246,12,0,0
2407,6,0,0
1889,24,0,0
1653,14,0,0
482,9,0,0
1903,28,0,0
1492,8,0,0
0,0,0,0
858,6,0,0
1523,5,0,0
1792,21,0,0
3555,29,0,0
1924,38,0,0
1741,7,0,0
1851,23,0,0
7173,252,0,0
311,11,0,0
2218,17,0,0
2452,28,0,0
1538,23,0,0
302,5,0,0
1382,14,0,0
0,0,0,0
566,5,0,0
1873,17,0,0
162,19,0,0
2176,15,0,0
1588,8,0,0
1157,12,0,0
257,5,0,0
4002,25,0,0
436,0,0,0
2376,31,0,0
1477,6,0,0
3537,939,57,0
2081,18,0,0
0,0,0,0
316,2,0,0
1532,16,0,0
2239,25,0,0
0,0,0,0
1701,19,0,0
2329,26,0,0
877,9,0,0
974,5,0,0
2368,8,0,0
1736,7,0,0
1661,8,0,0
2170,24,0,0
1400,21,0,0
1516,9,0,0
1969,10,0,0
3506,508,0,0
2973,28,0,0
2054,9,0,0
