6,10,20,36,23
54,121,0,11,28
9,38,17,40,29
10,17,1,0,0
3,33,11,35,26
49,116,19,50,27
62,189,5,8,24
16,72,21,73,28
665,1862,21,53,29
18,55,18,44,29
183,635,6,40,28
0,6,3,10,24
18,41,20,28,23
5,8,14,33,28
58,184,9,31,27
45,125,1,0,0
0,0,0,0,17
13,62,20,42,25
12,17,20,27,24
22,80,1,0,0
20,97,32,38,26
2,15,19,36,29
22,70,13,30,30
7,42,0,1,28
11,52,1,0,0
3,9,1,0,0
1,21,18,36,31
10,30,3,25,26
5,26,26,59,26
0,0,0,0,17
79,186,1,0,0
20,64,1,0,0
5,21,1,0,0
0,0,0,0,7
10,25,2,27,28
8,31,21,50,28
22,51,16,15,27
1341,3503,19,50,29
16,61,11,26,29
9,24,8,30,24
90,310,1,12,27
20,52,19,41,30
56,230,7,10,29
12,37,24,39,27
26,74,17,69,29
0,7,1,0,0
4,16,1,0,0
12,27,23,35,28
8,37,1,0,0
1,1,0,3,30
96,249,4,4,30
0,0,7,18,27
6,25,16,42,27
15,75,21,34,28
26,74,29,43,29
43,129,1,0,0
2,6,1,0,0
25,105,1,0,0
12,24,19,12,27
47,137,20,50,30
7,27,14,53,26
22,40,3,6,30
9,32,8,37,27
0,3,2,12,27
7,35,23,53,34
454,1365,12,44,31
7,29,14,24,31
1,7,24,71,28
14,60,5,13,27
0,0,20,60,30
107,309,2,13,28
1,16,30,74,27
9,41,1,3,1
28,56,12,30,28
0,4,9,27,31
16,53,25,44,31
4,25,3,17,28
30,131,17,38,28
194,532,6,31,31
21,82,12,74,25
3,10,15,47,30
44,127,7,42,30
0,0,30,41,31
20,46,0,2,26
0,7,23,56,30
0,4,25,45,28
13,44,11,50,28
7,34,16,64,28
7,53,13,25,31
0,0,29,0,16
0,1,0,0,5
0,0,0,0,16
0,0,0,0,11
13,52,27,40,32
14,37,36,56,29
18,43,15,31,33
13,44,0,1,33
3,171,98,99,36
14,43,26,34,32
0,0,0,5,32
12,44,17,41,31
9,24,17,70,33
37,195,17,27,31
26,113,19,50,29
2,4,1,0,0
6,19,12,39,31
7,34,33,61,35
175,590,5,20,35
14,25,31,50,34
18,68,20,33,34
15,49,1,0,0
12,42,10,31,34
14,60,4,20,31
181,562,9,20,31
3,12,1,0,0
3,21,19,34,33
26,101,24,40,32
8,52,26,48,31
25,74,0,1,34
9,22,1,0,0
3,18,10,43,33
94,313,10,12,33
0,0,0,4,1
22,77,9,29,34
9,26,1,17,32
579,1432,8,22,35
7,24,0,0,0
13,58,8,45,33
62,174,3,13,35
16,82,15,65,35
5,21,22,44,35
8,31,14,51,36
23,45,16,30,32
19,38,25,54,35
0,0,0,0,19
0,0,0,0,7
0,0,0,0,7
0,0,0,0,5
23,69,28,49,36
29,118,20,74,37
23,85,22,49,34
6,25,15,31,34
24,53,19,43,32
9,35,21,45,25
46,118,1,11,29
2,3,1,0,0
10,56,9,33,31
10,25,27,64,36
6,0,0,0,0
15,78,13,41,34
22,51,38,53,33
60,135,24,69,31
5,28,22,47,32
2,34,23,53,36
15,48,1,0,0
25,121,27,49,33
3,14,16,46,36
0,0,0,0,6
0,0,0,0,23
0,0,0,0,6
7,12,1,0,0
12,36,1,0,0
19,61,25,62,36
32,102,37,62,37
7,14,26,40,32
8,18,1,26,35
4,20,3,5,37
0,13,1,0,0
18,64,31,49,37
9,54,22,55,37
20,53,23,48,36
1,1,14,27,31
105,461,0,14,33
0,2,0,4,37
0,5,1,0,0
15,38,1,0,0
0,0,0,3,37
7,47,17,37,33
0,0,0,8,35
5,7,32,79,40
1,17,41,86,37
14,43,30,49,35
45,137,25,50,34
13,14,17,59,39
16,76,57,64,36
19,39,11,44,38
22,38,44,82,37
0,0,24,0,0
5,20,21,50,36
48,84,2,16,31
19,63,16,42,36
6,48,10,27,34
11,48,44,78,40
14,39,30,68,38
178,436,1,0,0
1,10,26,43,34
0,0,5,0,0
0,0,5,21,35
0,1,6,28,28
0,0,0,7,12
5,27,26,57,37
12,49,17,56,39
0,0,5,33,32
43,106,1,2,1
32,92,27,70,37
6,37,23,56,39
25,81,1,0,0
19,50,25,52,37
9,40,35,69,36
10,27,0,0,0
6,10,23,50,33
337,749,27,42,34
0,0,10,43,34
2,2,1,0,0
8,22,25,58,39
0,0,0,9,36
131,323,1,0,0
9,32,16,46,36
0,0,0,0,21
0,0,0,0,9
0,0,0,0,5
0,0,0,0,9
6,24,30,58,41
4,13,22,46,41
6,19,5,16,41
13,35,1,0,0
0,0,0,0,26
0,0,0,0,9
0,0,0,0,6
21,91,1,0,0
21,81,39,72,38
3,1,1,0,0
1,11,13,76,41
50,136,27,59,41
136,386,5,26,36
134,457,3,1,1
11,36,26,72,37
6,29,0,0,0
23,58,3,0,0
23,79,22,63,37
106,397,13,63,42
12,41,17,51,39
12,24,1,12,37
8,31,1,0,0
150,650,16,37,42
11,26,18,51,40
5,9,1,0,0
2,24,13,45,37
5,20,21,34,39
17,37,1,0,0
8,32,22,49,43
0,8,8,24,40
24,79,36,68,42
146,482,32,74,41
2134,5748,44,58,41
1,9,31,71,37
18,73,29,67,40
7,34,39,78,39
12,58,15,42,41
15,33,1,0,0
15,58,26,66,39
5,15,19,47,39
15,61,19,33,38
26,84,23,35,42
34,101,3,8,39
2,18,33,81,43
110,355,7,28,39
42,101,28,72,38
0,0,11,73,43
24,95,1,0,0
3,31,12,33,41
36,106,22,78,42
22,53,19,59,39
4,19,1,1,40
22,66,1,0,0
0,9,1,0,0
2,8,36,72,40
0,0,0,0,20
35,116,1,0,0
0,0,0,0,6
0,0,0,0,17
22,56,1,0,0
25,91,3,15,41
765,1906,12,9,39
47,134,1,0,0
5,18,28,55,38
14,78,19,73,36
1,8,1,0,0
16,42,30,72,44
62,168,0,3,40
10,49,48,66,41
13,94,4,12,44
28,88,25,72,43
21,86,13,31,41
0,4,1,0,0
48,94,1,0,0
15,25,9,106,41
28,79,21,67,44
31,136,24,42,39
0,0,9,43,44
15,26,24,59,46
21,37,19,66,43
