2,0,1,0,0,3,0,2,4,13,1,0,4,19
0,0,0,2,3,0,0,3,2,1,0,0,0,0
21,18,21,28,34,36,22,16,11,49,14,12,20,27
0,0,0,0,4,1,1,1,0,0,0,0,0,0
1,0,0,0,0,3,1,1,0,0,0,0,0,0
3,1,2,2,0,0,0,1,1,1,1,1,1,1
10,3,7,11,11,6,4,6,4,16,4,5,11,21
8,10,14,22,25,35,22,31,29,44,19,13,15,27
0,0,0,0,1,0,0,1,0,4,0,2,3,22
0,0,0,4,2,1,1,1,1,1,0,0,0,0
4,0,0,0,2,2,0,4,0,4,3,2,8,22
1,1,0,1,0,1,0,0,0,2,2,3,3,22
1,0,0,0,4,0,0,1,1,1,1,1,0,0
0,0,0,0,0,0,0,2,1,2,1,0,0,0
1,0,1,2,0,2,3,1,0,0,0,0,0,0
0,1,0,2,1,3,1,1,0,0,0,0,0,0
0,0,0,1,3,1,1,1,1,2,1,1,0,0
1,1,0,2,1,0,1,0,1,4,0,0,8,24
0,1,0,0,0,1,0,1,3,1,2,1,6,23
1,0,0,1,1,0,0,0,2,4,1,2,7,23
1,1,0,0,1,1,1,5,1,0,2,1,1,1
0,0,1,2,1,3,0,0,2,1,1,4,8,22
0,0,1,1,3,3,0,2,1,3,0,2,5,23
2,0,0,0,0,1,1,2,2,1,0,0,0,0
15,9,8,19,15,24,10,13,11,21,8,3,4,28
0,0,0,0,0,0,0,0,0,0,0,1,3,23
4,1,1,5,0,2,0,4,1,7,1,7,5,20
0,1,0,0,2,0,0,1,0,2,2,1,0,0
1,3,4,6,16,13,4,19,10,35,8,4,11,27
1,1,2,2,1,3,1,1,6,6,1,3,7,24
1,0,0,1,5,1,1,7,2,6,1,4,6,23
1,1,0,0,1,0,2,0,1,2,1,1,11,22
0,0,0,1,0,0,0,0,1,0,0,0,3,24
1,1,0,1,1,6,2,1,0,0,0,0,0,0
0,0,1,1,1,1,1,2,2,3,2,3,6,23
2,2,3,3,2,4,1,4,1,9,3,2,5,25
1,0,0,2,2,5,3,1,2,4,1,0,0,0
2,0,1,5,3,1,1,4,2,5,3,5,8,23
0,1,1,1,1,1,0,0,0,0,0,0,0,0
0,1,0,0,6,2,1,1,2,2,1,2,0,0
0,0,0,1,2,2,1,1,0,0,0,0,0,0
1,0,1,1,2,0,2,1,1,1,1,0,0,0
6,2,2,17,18,12,4,7,8,19,3,9,12,26
1,0,1,0,1,2,0,4,2,6,2,1,11,27
1,2,1,1,4,8,0,3,1,6,2,1,2,20
1,1,0,1,1,1,0,0,2,3,1,1,9,20
1,0,1,1,0,0,0,0,1,1,1,1,4,20
0,0,1,2,5,0,1,3,1,10,4,3,15,26
0,0,1,2,2,3,2,1,1,6,1,5,8,24
1,2,0,0,0,1,1,0,1,2,0,3,10,28
0,0,0,1,2,0,1,4,0,3,1,2,8,25
0,0,0,1,0,1,1,3,0,1,0,2,2,23
19,11,12,12,23,20,14,29,13,33,17,12,15,27
0,0,0,1,3,1,0,0,0,0,0,0,0,0
1,1,0,0,5,2,0,3,1,1,0,0,0,0
22,15,12,14,24,20,9,20,22,15,14,9,8,26
19,7,11,18,23,30,9,15,8,23,8,6,5,23
15,12,13,9,22,21,7,21,15,17,5,10,13,27
2,1,3,1,1,0,0,1,0,1,2,3,1,1
0,0,0,2,0,0,0,1,1,7,6,0,8,25
0,0,0,0,0,0,0,0,1,1,2,1,0,0
0,0,0,0,0,0,1,2,1,2,1,2,10,24
13,7,4,13,11,22,9,12,9,12,8,6,5,27
0,0,0,0,3,0,0,3,0,2,0,0,6,25
0,1,0,0,0,0,0,2,1,0,0,1,12,26
0,0,1,0,2,2,1,1,1,0,0,0,0,0
5,6,3,10,17,14,10,25,8,34,13,14,19,26
24,5,6,16,27,27,6,19,15,29,9,8,16,25
2,0,0,3,8,3,3,2,0,6,3,2,8,23
2,3,2,2,4,1,2,1,2,4,0,2,4,22
0,0,1,0,1,1,0,2,2,1,0,0,0,0
