24473,16794,13655,43265,15498,7395,2173,9141,53
0,23,101,159,177,98,37,31,1
20,10,6,1,1,0,0,0,0
56,16,13,8,1,1,0,0,0
13,7,12,10,1,0,0,0,0
12,4,1,0,0,0,0,0,0
3,2,2,1,1,0,0,0,0
66,31,8,4,1,0,0,0,0
547,384,328,968,313,152,42,179,1
61307,44202,387565,678940,587923,347290,85970,103820,1348
52,16,21,14,1,0,0,0,0
137,33,31,25,0,0,0,0,0
20,5,3,3,1,0,0,0,0
52,20,792,508,11,3,1,5,1
8566,6488,50873,93583,76770,29062,1130,1485,10
710,517,5634,8822,8465,4807,1215,1324,3
27,6,6,1,0,0,0,0,0
2372,1623,1296,4016,1444,741,204,848,5
4,0,0,4,1,0,0,0,0
16,7,1,3,1,0,0,0,0
9,2,2,1,0,0,0,0,0
1270,411,250,116,7,0,2,3,1
185,138,126,369,145,71,14,70,3
41,11,7,2,1,0,0,0,0
38,13,6,1,1,0,0,0,0
235,73,36,26,1,1,0,0,0
33,8,5,1,1,0,0,0,0
4,2,1,1,1,0,0,0,0
29,12,10,3,1,0,0,0,0
4,8,224,204,27,0,0,0,0
8,1,1,1,0,0,0,0,0
1045,265,203,104,9,7,1,1,1
7,2,1,0,0,0,0,0,0
20,2,7,2,1,0,0,0,0
4,1,1,0,0,0,0,0,0
20,12,6,3,1,0,0,0,0
12,1,2,1,1,0,0,0,0
9,2,1,3,1,0,0,0,0
14,6,3,4,1,0,0,0,0
105,75,62,192,67,25,8,30,2
6,4,2,2,1,0,0,0,0
12,3,4,1,1,1,0,0,0
17,3,3,4,1,0,0,0,0
49,32,27,58,27,12,6,16,1
11,2,2,0,0,0,0,0,0
36,10,9,5,1,0,0,0,0
10,5,1,1,1,0,0,0,0
217,75,46,29,0,0,0,0,0
8,3,1,0,0,0,0,0,0
836,613,483,1465,520,231,75,318,2
10,1,1,3,1,0,0,0,0
7,2,1,0,0,0,0,0,0
4,2,1,0,0,0,0,0,0
88,49,41,128,51,18,6,26,1
15,0,4,1,1,0,0,0,0
14,1,1,0,0,0,0,0,0
2,3,1,1,0,0,0,0,0
2,2,1,1,0,0,0,0,0
1140,766,48692,118310,20185,544,104,354,1
326,90,78,33,2,5,1,0,0
9,10,1,0,0,0,0,0,0
118,32,25,14,1,0,0,0,0
31,11,4,7,1,1,1,0,0
4,3,1,0,0,0,0,0,0
13,3,1,0,0,0,0,0,0
3095,1086,794,775,203,98,23,109,2
9,2,1,0,0,0,0,0,0
163,56,24,18,1,1,0,0,0
30,7,3,4,1,0,0,0,0
4,1,0,0,0,0,0,0,0
424,285,226,743,298,125,44,159,1
62,12,16,5,1,0,0,0,0
3,1,1,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0
178,107,1351,1912,2001,1121,212,256,2
59,16,13,6,1,0,0,0,0
7,7,9,14,9,2,1,0,0
5,1,0,0,0,0,0,0,0
21,4,9,3,1,0,0,0,0
5,1,1,2,1,1,1,0,0
3183,2137,1810,5517,1924,904,276,1167,4
7,2,1,1,0,0,0,0,0
118,87,58,197,64,27,9,46,0
