233,134,1352,690,331
2098,1631,1,210,404
349,512,1149,766,418
388,229,67,1,1
116,445,744,671,375
1904,1564,1285,958,389
2409,2548,338,153,346
621,970,1420,1399,404
25842,25109,1420,1016,418
699,741,1217,843,418
7111,8563,405,766,404
1,80,202,191,346
699,552,1352,536,331
194,107,946,632,404
2253,2481,608,594,389
1748,1685,67,1,1
505,836,1352,805,360
466,229,1352,517,346
854,1078,67,1,1
777,1308,2164,728,375
77,202,1285,690,418
854,943,879,575,432
272,566,1,19,404
427,701,67,1,1
116,121,67,1,1
38,283,1217,690,447
388,404,202,479,375
194,350,1758,1131,375
3069,2508,67,1,1
777,863,67,1,1
194,283,67,1,1
388,337,135,517,404
310,418,1420,958,404
854,687,1082,287,389
52111,47238,1285,958,418
621,822,744,498,418
349,323,541,575,346
3497,4180,67,230,389
777,701,1285,786,432
2176,3101,473,191,418
466,498,1623,747,389
1010,997,1149,1322,418
155,215,67,1,1
466,364,1555,671,404
310,498,67,1,1
38,13,1,57,432
3730,3357,270,76,432
1,1,473,345,389
233,337,1082,805,389
582,1011,1420,651,404
1010,997,1961,824,418
1670,1739,67,1,1
77,80,67,1,1
971,1415,67,1,1
466,323,1285,230,389
1826,1847,1352,958,432
272,364,946,1016,375
854,539,202,115,432
349,431,541,709,389
1,40,135,230,389
272,471,1555,1016,490
17642,18407,811,843,447
272,391,946,460,447
38,94,1623,1361,404
544,809,338,249,389
1,1,1352,1150,432
4158,4166,135,249,404
38,215,2029,1418,389
349,552,67,57,14
1088,755,811,575,404
1,53,608,517,447
621,714,1691,843,447
155,337,202,325,404
1165,1766,1149,728,404
7538,7174,405,594,447
816,1105,811,1418,360
116,134,1014,901,432
1709,1712,473,805,432
1,1,2029,786,447
777,620,1,38,375
1,94,1555,1073,432
1,53,1691,862,404
505,593,744,958,404
272,458,1082,1227,404
272,714,879,479,447
1,1,1961,1,230
1,13,1,1,72
505,701,1826,766,461
544,498,2435,1073,418
699,579,1014,594,476
505,593,1,19,476
116,2305,6628,1898,519
544,579,1758,651,461
1,1,1,95,461
466,593,1149,786,447
349,323,1149,1342,476
1437,2629,1149,517,447
1010,1523,1285,958,418
77,53,67,1,1
233,256,811,747,447
272,458,2232,1169,505
6800,7956,338,383,505
544,337,2096,958,490
699,916,1352,632,490
582,660,67,1,1
466,566,676,594,490
544,809,270,383,447
7033,7578,608,383,447
116,161,67,1,1
116,283,1285,651,476
1010,1361,1623,766,461
310,701,1758,920,447
971,997,1,19,490
349,296,67,1,1
116,242,676,824,476
3652,4220,676,230,476
1,1,1,76,14
854,1038,608,556,490
349,350,67,325,461
22500,19310,541,421,505
272,323,1,1,1
505,782,541,862,476
2409,2346,202,249,505
621,1105,1014,1246,505
194,283,1488,843,505
310,418,946,977,519
893,606,1082,575,461
738,512,1691,1035,505
893,930,1893,939,519
1126,1591,1352,1418,533
893,1146,1488,939,490
233,337,1014,594,490
932,714,1285,824,461
349,471,1420,862,360
1787,1591,67,210,418
77,40,67,1,1
388,755,608,632,447
388,337,1826,1227,519
582,1051,879,786,490
854,687,2570,1016,476
2331,1820,1623,1322,447
194,377,1488,901,461
77,458,1555,1016,519
582,647,67,1,1
971,1631,1826,939,476
116,188,1082,881,519
272,161,67,1,1
466,485,67,1,1
738,822,1691,1188,519
1243,1375,2502,1188,533
272,188,1758,766,461
310,242,67,498,505
155,269,202,95,533
699,863,2096,939,533
349,728,1488,1054,533
777,714,1555,920,519
38,13,946,517,447
4080,6216,1,268,476
1,26,1,76,533
1,67,67,1,1
582,512,67,1,1
272,633,1149,709,476
1,1,1,153,505
194,94,2164,1514,577
38,229,2773,1648,533
544,579,2029,939,505
1748,1847,1691,958,490
505,188,1149,1131,562
621,1024,3855,1227,519
738,525,744,843,548
854,512,2976,1572,533
194,269,1420,958,519
1865,1132,135,306,447
738,849,1082,805,519
233,647,676,517,490
427,647,2976,1495,577
544,525,2029,1303,548
6917,5879,67,1,1
38,134,1758,824,490
1,1,338,402,505
1,13,405,536,404
1,1,1,134,173
194,364,1758,1092,533
466,660,1149,1073,562
1,1,338,632,461
1670,1429,67,38,14
1243,1240,1826,1342,533
233,498,1555,1073,562
971,1092,67,1,1
738,674,1691,996,533
349,539,2367,1322,519
388,364,1,1,1
233,134,1555,958,476
13095,10100,1826,805,490
1,1,676,824,490
77,26,67,1,1
310,296,1691,1112,562
1,1,1,172,519
5090,4355,67,1,1
349,431,1082,881,519
233,323,2029,1112,591
155,175,1488,881,591
233,256,338,306,591
505,471,67,1,1
816,1227,67,1,1
816,1092,2637,1380,548
116,13,67,1,1
38,148,879,1457,591
1943,1833,1826,1131,591
5284,5205,338,498,519
5207,6162,202,19,14
427,485,1758,1380,533
233,391,1,1,1
893,782,202,1,1
893,1065,1488,1207,533
4119,5353,879,1207,606
466,552,1149,977,562
466,323,67,230,533
310,418,67,1,1
5829,8765,1082,709,606
427,350,1217,977,577
194,121,67,1,1
77,323,879,862,533
194,269,1420,651,562
660,498,67,1,1
310,431,1488,939,620
1,107,541,460,577
932,1065,2435,1303,606
5673,6499,2164,1418,591
82927,77512,2976,1112,591
38,121,2096,1361,533
699,984,1961,1284,577
272,458,2637,1495,562
466,782,1014,805,591
582,445,67,1,1
582,782,1758,1265,562
194,202,1285,901,562
582,822,1285,632,548
1010,1132,1555,671,606
1321,1361,202,153,562
77,242,2232,1552,620
4274,4787,473,536,562
1632,1361,1893,1380,548
1,1,744,1399,620
932,1281,67,1,1
116,418,811,632,591
1398,1429,1488,1495,606
854,714,1285,1131,562
155,256,67,19,577
854,890,67,1,1
77,107,2435,1380,577
1360,1564,67,1,1
854,755,67,1,1
971,1227,202,287,591
29728,25702,811,172,562
1826,1807,67,1,1
194,242,1893,1054,548
544,1051,1285,1399,519
38,107,67,1,1
621,566,2029,1380,634
2409,2265,1,57,577
388,660,3246,1265,591
505,1267,270,230,634
1088,1186,1691,1380,620
816,1159,879,594,591
1,53,67,1,1
1865,1267,67,1,1
582,337,608,2032,591
1088,1065,1420,1284,634
1204,1833,1623,805,562
1,1,608,824,634
582,350,1623,1131,663
816,498,1285,1265,620
4740,4247,744,594,663
77,229,67,1,1
1,1,1,95,144
1,13,1,1,86
505,620,67,1,1
1165,1348,2637,1380,634
1282,1254,67,1,1
18808,18083,541,364,620
388,593,1082,766,606
1,647,1,1,115
777,633,1488,1437,649
1748,2144,2029,1054,634
621,1024,2029,1227,663
155,350,1,1,1
544,458,67,1,1
