1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1.3803676554558522e-05,3.155261207718569e-05,1.0311608132026495e-05,7.615443923690559e-06,6.161724133658108e-06,9.317211278097118e-06,9.079552135580963e-06,9.837195400225423e-06,9.021063083790945e-06,9.0795920878884e-06,9.079588561897175e-06,9.837956523181527e-06,9.185727593117785e-06,9.838617051943514e-06,9.654838656274919e-06,9.838549856515493e-06,9.838073748733623e-06,9.838493458910503e-06,9.83798735537674e-06,9.838493589680841e-06,9.837987241368804e-06,9.83849391378542e-06,9.837987242007077e-06,9.838493915515371e-06,9.837987241673812e-06,9.838494006145594e-06,9.837987241050573e-06,9.83849400597919e-06,9.837987241078783e-06,9.838494005973818e-06,9.837987241079945e-06,9.838444005973552e-06,9.837987098542503e-06,9.838444035807912e-06,9.837985727975906e-06,9.838444036158377e-06,9.837985704523852e-06,9.838444035948277e-06,9.837985704559929e-06,9.838444035942125e-06,9.83798570456118e-06,9.838444059665967e-06,9.837985704930443e-06,9.838444059603536e-06,9.837994185931392e-06,9.83844405943449e-06,9.837994265968134e-06,9.838444177044928e-06,9.837994265849193e-06
1.2719353882575678e-05,1.4841571899358065e-05,1.9838617143064183e-05,1.5312015356025945e-05,1.0078402728698223e-05,1.4803239443476052e-05,1.3436243142887697e-05,1.5708050664309553e-05,1.4652068838903429e-05,1.3436376327064293e-05,1.3436486398029345e-05,1.5707559185805476e-05,1.4652536143937318e-05,1.5708031812798306e-05,1.570756522443191e-05,1.5707858237273835e-05,1.5707561730963645e-05,1.570778933311366e-05,1.5707353309920464e-05,1.570779010502629e-05,1.5707352632027406e-05,1.570779213122662e-05,1.5707352629772385e-05,1.5707792135577876e-05,1.570735262888605e-05,1.5707792743652116e-05,1.5707352619689836e-05,1.5707792743263436e-05,1.5707352619760973e-05,1.5707792743249097e-05,1.5707352619764165e-05,1.5707742743248355e-05,1.570735180504589e-05,1.5707742882655193e-05,1.5707346163306987e-05,1.570774288578433e-05,1.5707345991461536e-05,1.5707742885324353e-05,1.57073459915483e-05,1.5707742885308395e-05,1.5707345991551687e-05,1.570774307330952e-05,1.570734599236553e-05,1.5707743073159648e-05,1.570729341168431e-05,1.5707743075872027e-05,1.570729395095445e-05,1.5707743480374763e-05,1.5707293950632465e-05
1.637395324384736e-05,1.9059130566611547e-05,2.5466246089920322e-05,2.896725452208051e-05,2.4680645550997584e-05,2.7310818561131472e-05,2.128457011831675e-05,2.7949521772488517e-05,2.7500702852201743e-05,2.1284886264925277e-05,2.1285545940069743e-05,2.794929879243012e-05,2.750125420949166e-05,2.7948930908891924e-05,2.794860922930431e-05,2.794860184575139e-05,2.7948595933808947e-05,2.7948543904304642e-05,2.794829913360405e-05,2.7948548350339105e-05,2.7948295148047388e-05,2.79485610199672e-05,2.794829509928429e-05,2.794856103113199e-05,2.7948295096899252e-05,2.7948565066638897e-05,2.7948295003798534e-05,2.7948565065716885e-05,2.7948295003981398e-05,2.7948565065678175e-05,2.7948295003990184e-05,2.794851506567613e-05,2.7948290374860357e-05,2.7948515696663867e-05,2.794826748038004e-05,2.794851571915816e-05,2.7948266236159174e-05,2.7948515718203166e-05,2.794826623637242e-05,2.794851571816112e-05,2.794826623638166e-05,2.794851719005311e-05,2.794826623812205e-05,2.7948517189685468e-05,2.794806767467596e-05,2.7948517213558868e-05,2.794807127964541e-05,2.7948518573443963e-05,2.794807127874676e-05
3.25439730042056e-05,3.8189134936454856e-05,5.031360259487326e-05,5.6904430285009415e-05,6.263300333300593e-05,7.392382874117406e-05,6.145591493482716e-05,7.490020062826456e-05,7.387875999944008e-05,6.145634011895923e-05,6.146297713222851e-05,7.492204779314756e-05,7.387911028469249e-05,7.492172896788398e-05,7.492125657852561e-05,7.492148073741546e-05,7.492120732759863e-05,7.49215244079197e-05,7.492135730928963e-05,7.492154979525871e-05,7.492133422390197e-05,7.492162840611491e-05,7.49213336379477e-05,7.49216284352819e-05,7.492133363147074e-05,7.492165483175213e-05,7.492133276050717e-05,7.492165482950213e-05,7.492133276098509e-05,7.492165482939677e-05,7.492133276100943e-05,7.492160482939101e-05,7.492130693774736e-05,7.492160755571064e-05,7.492121581142083e-05,7.492160769787883e-05,7.492120694353452e-05,7.49216076956597e-05,7.492120694406968e-05,7.492160769554746e-05,7.492120694409509e-05,7.49216190334223e-05,7.492120694809666e-05,7.492161903250135e-05,7.492116433590584e-05,7.492161905082557e-05,7.492118820313615e-05,7.492162347760125e-05,7.492118820108793e-05
9.385342867873049e-05,0.00011220001444282654,0.00014899121071026985,0.00016836792014651597,0.00018662769536027996,0.0002154421170089848,0.00018934306394207895,0.00021880711302955843,0.00021565116920821875,0.00018934199324731172,0.00018939080863508763,0.00021884273815345507,0.00021565088804075265,0.00021883721251875665,0.00021883760955221292,0.0002188362823374294,0.00021883743732966436,0.00021883671399307067,0.00021883758724589142,0.00021883685854983428,0.00021883745620220117,0.00021883733827168304,0.00021883745034743279,0.00021883733834936626,0.00021883745032969394,0.00021883750762073109,0.0002188374424181586,0.0002188375076154424,0.00021883744241942796,0.0002188375076151533,0.0002188374424194957,0.0002188374576151373,0.00021883730183575612,0.00021883746856440358,0.00021883694901375279,0.000218837469507108,0.00021883688717952226,0.00021883746950463666,0.00021883688718089456,0.00021883746950433335,0.00021883688718096474,0.00021883755487049563,0.00021883688718664677,0.0002188375548681379,0.0002188370371871682,0.0002188375548977119,0.00021883719324826536,0.00021883756860419283,0.00021883719324231155
6.900444514787453e-05,8.023855947369361e-05,0.00010475632214269964,0.0001163369031876591,0.0001287164682957406,0.00013297481340410924,0.00014157198060586228,0.00013408464573646286,0.00013382362325916296,0.00014156795174441914,0.00014158355326583083,0.0001340830277857952,0.0001338220269745827,0.00013407304412854022,0.00013407494018828603,0.00013407188642779264,0.00013407454025781142,0.00013407142108114184,0.00013407469002801262,0.00013407222403861996,0.00013407396630334462,0.00013407234261080024,0.00013407392748497615,0.0001340723428219973,0.00013407392743604727,0.00013407339974940005,0.00013407385769428687,0.0001340733997391517,0.00013407385769770676,0.0001340733997383532,0.00013407385769789569,0.00013407334973830842,0.00013407311374803558,0.00013407338796093507,0.00013407323704258672,0.00013407339357703898,0.00013407281881907269,0.000134073393590663,0.00013407281882266551,0.00013407339358983473,0.0001340728188228604,0.00013407401610985898,0.00013407281880714549,0.00013407401610369398,0.00013407296880856866,0.00013407401613995862,0.0001340739739275567,0.00013407405522085957,0.00013407397391079038
0.0003464249855304005,0.0008762672466780052,0.0011808617251783788,0.0013360169229353533,0.0014892418987186283,0.0015413790554092348,0.0016443823408680803,0.0015453927849220167,0.0015436642178226726,0.0016443462417578833,0.0016445148513286071,0.0015447129586646853,0.001543654112562256,0.0015446426466362401,0.0015446935873363024,0.0015446216495509292,0.001544692222068159,0.0015446310313405888,0.0015446777341527969,0.0015446352870525475,0.0015446739136247246,0.0015446513953805477,0.0015446741084162103,0.0015446513959311828,0.0015446741082808734,0.0015446577115843594,0.0015446735196976934,0.0015446577116782106,0.0015446735197069822,0.0015446577116759992,0.001544673519707509,0.0015446576616758752,0.0015446697631393317,0.0015446577526255752,0.001544665217985599,0.00154465778198988,0.0015446625309565348,0.0015446577826034264,0.0015446625309660038,0.0015446577826011502,0.0015446625309665449,0.0015446620827675556,0.0015446625300118827,0.001544662082751302,0.001544657158115247,0.0015446620837838985,0.0015446634725368444,0.0015446621765529908,0.0015446634724653456
0.0006137671834003203,0.0034970659519423532,0.004933413768697845,0.005646060408861805,0.006146366181036024,0.006615450766889535,0.006902627490893561,0.006674429555568719,0.006619458222315392,0.006902861112466247,0.0068917955733053425,0.006673377173469884,0.006620242544372799,0.006674262205130238,0.006673500551333818,0.006674080218502969,0.006673496415204124,0.006673339993274176,0.006673535628194136,0.006673360236089021,0.006673517176168306,0.006673442342103096,0.006673531923383365,0.0066734423265604826,0.00667353192303222,0.006673476902305596,0.006673527350107186,0.006673476908897303,0.006673527350124672,0.006673476908891251,0.006673527350126115,0.00667347685889091,0.00667351007132454,0.00667347674290402,0.006673496528777399,0.006673476849834862,0.006673480967110429,0.006673476874550489,0.006673480967106713,0.006673476874544293,0.006673480967108197,0.006673503486378335,0.006673480925763847,0.006673503486383319,0.006673473128424997,0.006673503507519758,0.0066735107504841025,0.006673503579138819,0.00667351074997472
0.0010902165358890204,0.006949530913104805,0.012077726958283132,0.015463477938404382,0.018493981598301804,0.022301124469854026,0.022409700543515623,0.021913034431966506,0.021890999266160574,0.022430987817013623,0.02233721659099487,0.021896555717335255,0.0218947220585602,0.0219925864370478,0.02197314575578518,0.02197451737721686,0.021974787850461447,0.021974657089053433,0.021975111116614286,0.021974697670799424,0.021975030395939923,0.02197503653029951,0.021975353343601362,0.02197500554418359,0.021975356067590598,0.021975161300348673,0.021975306648169164,0.021975166562448148,0.021975306184752158,0.021975166603141263,0.021975306181182264,0.021975166553453645,0.02197524169631818,0.02197517232184677,0.02197521434708073,0.021975177411101096,0.021975142848567386,0.021975186984163703,0.021975142003132355,0.02197518705842264,0.021975141996613694,0.021975314537225933,0.021975125240426552,0.021975316016685648,0.021975122981754042,0.02197531852552721,0.021975321452812113,0.02197529280641501,0.021975323673027434
0.0029350804400722903,0.01603928231029385,0.03198974236085442,0.04280184018704581,0.05350754912709007,0.06303433255075234,0.0638881540426341,0.05832532169754076,0.059844571407938564,0.06488894857324377,0.06317672323362783,0.05842800321613282,0.0598622327079328,0.059598921171746776,0.05954849953148038,0.0596033327971892,0.059562229332890196,0.059597963424870996,0.05956768411138992,0.059596582076849154,0.059567808505356035,0.05959722237476286,0.05957342525578646,0.05959572471684638,0.059573796327136726,0.05959607102172658,0.05957351509618264,0.05959616397383729,0.05957349047419094,0.05959617005465729,0.059573489008096864,0.05959425203967985,0.059573804769752894,0.059594191178604865,0.05957382820154285,0.05959419685957533,0.05957366264568445,0.05959427920558257,0.05957363848686163,0.059594285357823046,0.059573636987800264,0.0595945566896989,0.0595734967363127,0.05959459806586169,0.05957456734154692,0.05959435057991949,0.059575423834162346,0.05959402743146543,0.059575512852874206
0.019395348526909932,0.06754214066577656,0.10909812378304735,0.12328145656368109,0.14133308556298743,0.1495097573940678,0.15004582555507176,0.13463624352985432,0.14597427704263874,0.15617111054213564,0.1433906007825825,0.13896094664367367,0.1446238717808034,0.1421610068110926,0.14289311429444052,0.14277098204082214,0.1427238152623309,0.14280880845918226,0.14271956941073044,0.14280581335746573,0.14272126096686016,0.14280360250526847,0.1427460927388847,0.14279267582115712,0.14275024876146253,0.14279130075053614,0.14275038432124276,0.1427914602028472,0.14275027854713335,0.14279150657642076,0.14275026112588704,0.1427897788109068,0.14275196420562414,0.14278904128161843,0.14275246090783741,0.14278884015067506,0.14275289437267083,0.14278886336666038,0.14275283281778892,0.1427888965412667,0.14275281925649463,0.14278775005241073,0.14275290416560638,0.14278781820349068,0.14275397084311217,0.14278687347651778,0.1427561713681296,0.14278555482338615,0.14275677056935582
0.2260919739576108,0.2857044028391796,0.26537617245027123,0.2645125555674637,0.27954840326226243,0.2705178112581125,0.2409710466539092,0.26193741894157724,0.2837732219692439,0.24179176773459798,0.25015952758472226,0.26729239319741394,0.2697199421768416,0.25451961983568605,0.2734460656900819,0.25460512358229903,0.27219898117500435,0.2560134013299716,0.27076843801503175,0.25731360347601445,0.26952043527114244,0.25844916744649293,0.2686373444837372,0.25920620122548477,0.26793495013543606,0.2598456893587812,0.26732599264453677,0.2604104281620068,0.26678644799608986,0.26091185913242465,0.26630872019767443,0.2613565632513972,0.265893380931519,0.2617402075135881,0.2655310305827488,0.26207756437308966,0.26521335138855534,0.26237431553835394,0.2649322149134316,0.2626376995476592,0.2646830881748387,0.26286587877567197,0.26446888966774007,0.2630669794019784,0.2642789389061413,0.263241352469482,0.2641180695384923,0.2633863038273102,0.2639845873668328
