1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
7.770023997611387e-05,0.00010938101209943478,0.00011672985680377837,0.000169806178390522,0.000204472768549293,0.00022064389584360976,0.000249990531153773,0.0002774706549635825,0.00030456600467343605,0.00032224919591412177,0.00032511572266353736,0.000329633862764305,0.0003315238269050635,0.00032556514897204075,0.0003276208997219395,0.00032805373651046625,0.0003299888475023416,0.0003279703893836217,0.0003300777694745719,0.0003279556104867683,0.0003301316555300577,0.000327887971883085,0.0003302215956627343,0.0003272593539364356,0.00033017365223594463,0.00032789216180035316,0.0003301786863154518,0.00032789210122260374,0.0003301539768341853,0.00032790406020285134,0.0003301645953269408,0.0003279048167415814,0.0003301400665990789,0.00032791396245875136,0.0003301596959649105,0.00032790890228424896,0.0003301383926981278,0.0003279135397306678,0.0003301580638228134,0.00032790730479609104,0.0003301397538951796,0.0003279129119287288,0.0003301582776390838,0.0003279074021448287,0.0003301394779115453,0.00032791319042685076,0.0003301612929818858,0.00032790740271089073,0.0003301399234116038,0.00032791253683328944
0.00010277011132985532,0.00012412019991040916,0.0001463092528711445,0.0002543246216046738,0.00033659982311284517,0.00041901830162709267,0.000481771198030237,0.0005240555821554886,0.0005726068090844918,0.0005983534168962078,0.0006054883751593155,0.0006123817106020226,0.0006161020793767773,0.0006143226499206617,0.0006152967411528973,0.0006155234886697792,0.0006169294899744528,0.0006153724789403061,0.0006169569305879217,0.0006153465689752791,0.0006171491420571978,0.0006152272416983568,0.0006173000680195068,0.000616066807315395,0.0006171181770881528,0.0006152346062375492,0.0006172265986360441,0.0006152345822638014,0.0006170854176270291,0.0006152555739551354,0.0006172028463171237,0.0006152569766349445,0.0006170619680073802,0.0006152730194285105,0.000617196249484446,0.0006152641715066811,0.0006170591409029722,0.0006152722791329472,0.0006171918283752996,0.0006152613659683823,0.0006170614363065536,0.0006152711721507892,0.0006171921897162831,0.0006152615367857097,0.000617060971378692,0.0006152716625734869,0.0006171989402845498,0.0006152615306091213,0.0006170617215581994,0.0006152705120213096
0.00018603013627140663,0.00022750487221195022,0.0002773687890274366,0.000457043322260476,0.0006216302563702337,0.0008452565508572193,0.001029936778641743,0.0011561469187890239,0.0012591751809946095,0.0013084215577588401,0.0013244557949598224,0.0013362743019796634,0.0013476903983363337,0.0013547017108979811,0.001355877697645683,0.0013559500018200802,0.001356126112677351,0.0013557330194202961,0.00135633155712151,0.0013556943639303194,0.0013565989078004733,0.0013555140302562703,0.0013568045403984119,0.0013562740897891219,0.0013565657185282737,0.0013555251421789362,0.001356707878048335,0.0013555252778186542,0.0013565209305247872,0.0013555567196360798,0.0013566728946819962,0.0013555589502866527,0.0013564863840082148,0.0013555829770814211,0.0013566675742547657,0.001355569756794386,0.0013564821950271051,0.0013555818830985715,0.001356656629649943,0.0013555655838426008,0.0013564855798776456,0.0013555802126882423,0.001356657166070903,0.0013555658378111297,0.0013564848964013531,0.001355580949801459,0.0013566715318939777,0.001355565786496337,0.0013564859978489776,0.00135557922230423
0.00038564690221253186,0.0005487104834244171,0.0006535250602792207,0.000965245456102702,0.0012424660884968828,0.001627900766862481,0.0020096307600441714,0.002276220119284211,0.002535312695687381,0.0026557761031761333,0.002692269125082642,0.0027191550851268513,0.0027660027029373,0.0028012005310659267,0.002810408071514555,0.002800034166926586,0.002793924232729151,0.002796122581253715,0.002798267270778726,0.002799792843580761,0.00279839125931272,0.00279583521858849,0.002798738361228866,0.0028002248630364856,0.0027984894432556383,0.002795847272841659,0.002798566792869522,0.002799592471858311,0.002798459385013687,0.0027958840065925436,0.0027985265874859223,0.002799631354156527,0.002798419604443671,0.0027959145584758207,0.0027984946363150028,0.0027996438890065404,0.0027984145664240252,0.0027959134677677006,0.0027985075594301567,0.002799639317994445,0.0027984184906591865,0.002795911485840753,0.0027985082139402586,0.0027996395852535635,0.0027984177168935585,0.0027959123342271588,0.002798499134741226,0.002799639310096152,0.0027984189537529573,0.002795910362036426
0.0005214762994362529,0.0007508341402275875,0.0009607565505352818,0.0014696081800680211,0.0019450252350922464,0.00269038166646171,0.003338453553427317,0.00390483284005372,0.004331740151133033,0.004610803737742923,0.004741996782547656,0.004790910157393303,0.004858707330020844,0.004937022600831444,0.0049469046542012125,0.004926409359422548,0.004914460228881228,0.004920879837543611,0.004921823776085367,0.004926715870573616,0.0049218337664491485,0.004920355016975359,0.004922401664458622,0.004926934460341729,0.00492187611028714,0.004920366032110308,0.0049221312866809365,0.004926474325937172,0.004921890459228052,0.004920408299589095,0.004922084664182775,0.004926519749069786,0.004921844165250942,0.004920444474915986,0.004922103956756648,0.0049265342098613425,0.004921837855746659,0.004920443568204466,0.004922061874509902,0.004926529696690206,0.004921842460307612,0.004920441141784791,0.0049220627159549096,0.0049265299532929635,0.00492184158896536,0.0049204421265798635,0.004922109062560583,0.004926528875103942,0.004921842978549317,0.004920439870383529
0.0009597491256429443,0.001695449274760903,0.002178595682717819,0.003127709718610318,0.004012244321342752,0.005323671991809053,0.006504207904102652,0.007492158959579845,0.00823178329664869,0.008736829895936136,0.009029698750248527,0.009110268136611924,0.00922840018993987,0.009388896244611682,0.009391297125211683,0.009358969251793508,0.00933959527160486,0.009353171498797084,0.009351735914293162,0.009361764103489552,0.009351165653280983,0.00935179929401031,0.009352473965354366,0.009361661962185856,0.009351092853480153,0.009351809408089027,0.009352113649530596,0.009361450210314782,0.009351238117450962,0.00935185363568074,0.009352057463173953,0.009361506016993067,0.009351181635188879,0.009351899410034508,0.009352072130650887,0.009361521706695833,0.009351172795716171,0.0093518993402356,0.00935202780127374,0.009361520064711509,0.009351178365537827,0.00935189605751171,0.009352029057737654,0.009361520219846263,0.009351177388473686,0.009351897247238597,0.009352077977711318,0.009361515205139661,0.009351179090083182,0.00935189460474604
0.0020258799605930573,0.0034844140150453186,0.004853491648342476,0.006391952604601365,0.008072946138939708,0.010391510240518214,0.012345359032592172,0.01409518081584384,0.015305494524450746,0.016195051633435358,0.01662323783415577,0.016813301332144943,0.017076837700684768,0.0173612175088111,0.017335326956856887,0.017267941699906572,0.017241733429632606,0.01726569189962919,0.017261637971388806,0.017277264677065154,0.01725968245100791,0.0172624368317202,0.017261254122476453,0.01727682858058303,0.01725944670551938,0.01726245806807483,0.01726206497711604,0.01727687338491737,0.017259869516965808,0.01726247698198427,0.01726200191675824,0.017276939194908424,0.017259803073311705,0.017262533083162137,0.017261958082406617,0.017276956509991406,0.01725979115839616,0.017262534710826314,0.017261963876048954,0.017276958805948556,0.017259797161060818,0.017262530407535084,0.017261965742530704,0.017276958716034664,0.017259796165722065,0.017262531770716974,0.0172619642741241,0.01727694896096651,0.017259798619557197,0.017262528819570324
0.003579247620759249,0.0074281040727642725,0.010590945378046385,0.014085087072718924,0.01766152870863044,0.021757574335417793,0.02604153845227771,0.02900921968464605,0.032348691739442714,0.033250424660339284,0.0335238127070385,0.033525704411106645,0.034118872673594064,0.03460163828464497,0.034447593718532586,0.034335108901666835,0.034328755790082065,0.03437036890103425,0.0343558244785882,0.03437781356409086,0.03434855111501989,0.034358462032562105,0.03435756056332394,0.034376644167861695,0.034347837813565714,0.03435859898516924,0.034358102658975376,0.03437686879396311,0.03434905670849339,0.03435840008409533,0.034358034874453366,0.0343769809686779,0.03434893957679793,0.0343585086672324,0.03435779455597046,0.034377034542081714,0.03434891020426215,0.03435851953839679,0.034357952372453274,0.03437703029349936,0.03434891868549288,0.034358510478629686,0.034357957465347914,0.034377028784240295,0.03434891773902787,0.03435851263790815,0.03435780184494794,0.034377022059722505,0.0343489235154347,0.03435850777630109
0.00836266069748966,0.016277639117093005,0.023811778660094304,0.03099893629752188,0.03770141620664206,0.04441731924782831,0.05246110869704804,0.057663105740196036,0.06300520578243783,0.06332604750515326,0.06411528071852923,0.0639215787107319,0.06546167870003762,0.06583053065590116,0.0653942871024249,0.06528649511534389,0.06534876642675237,0.06538841155992826,0.06535298863844305,0.06538430087724977,0.06534304054536445,0.06536631517135615,0.06536541706441387,0.06537996447797374,0.06533955535457273,0.06536730692267627,0.06536510144319259,0.06538026769161435,0.06534184386475554,0.06536628963064763,0.06536525608263381,0.06538039719432039,0.06534164600260002,0.06536649655441897,0.06536485014494257,0.06538059287239019,0.06534155606412424,0.06536653801376428,0.06536507051219126,0.06538052076099365,0.06534158025069096,0.0653665189375811,0.06536508353275629,0.06538051459263228,0.06534158092021883,0.06536652168470379,0.06536485211430525,0.0653805752210798,0.06534157919218335,0.06536651494866673
0.017475168198398745,0.035355887154051524,0.05384032444952985,0.06551366321622912,0.08017479772054552,0.09361107689210629,0.1055157978338303,0.11443700670550519,0.11617805397864016,0.11892350789551072,0.120808690292621,0.12408536192963077,0.12533964496687514,0.12360441748296647,0.12308133723833285,0.12364381502667306,0.12369383436623134,0.12368786242857957,0.12357097003963739,0.12367677586616745,0.12355499020260058,0.12369914785120203,0.12360748809597226,0.12364700700674087,0.12356322130773155,0.12369939817018967,0.12360523968132972,0.12364820276411215,0.12356539030635519,0.12369510242662848,0.1236079187414944,0.12364722743453473,0.12356536478388469,0.12369561691511423,0.12360696624124896,0.12364823090867202,0.12356465978832647,0.12369605074663378,0.12360702005418565,0.12364795533939377,0.12356485580773346,0.12369591720349962,0.12360711334120793,0.1236478957335625,0.12356488651644079,0.12369590869433635,0.12360682877485857,0.12364825603070825,0.12356470196808075,0.12369597574233003
0.0361813397121545,0.07154605253416017,0.09986394286574421,0.11037514559087024,0.13057491567086602,0.147592368169956,0.15665776128759465,0.16746403931598844,0.1678229452586121,0.16944066579961703,0.16968947767930428,0.17550834971167104,0.17178681108331723,0.17036643509327695,0.17124871472319697,0.17162176135201748,0.17123495300482883,0.17138509190280332,0.171190876045862,0.1714517637797027,0.17113813166978073,0.17151098197766718,0.17115965998618332,0.17141599204364444,0.17118911082507043,0.17148291148882072,0.17117128178603988,0.17141261672408983,0.17119030004789978,0.17147643826121256,0.17117947678021456,0.17140627931241445,0.1711937925791463,0.1714753391094136,0.17117876458258727,0.1714082040465603,0.17119160022743643,0.171477214473967,0.17117765069041962,0.17140840084313105,0.171191856722886,0.1714768488412994,0.1711779941232251,0.1714081241902016,0.17119205261071668,0.17147673030642732,0.17117780223347503,0.17140876229942226,0.17119136618325978,0.1714772238171473
