11936,9239,18310,50222,48065,111575,275387,1188397,3785103,7111306,3919908,2343649,128758,97020,377318,220750
493,275,787,2305,2296,6279,15299,45402,75911,86412,51840,14359,1,1,1,1
905,2482,5414,9385,19988,20769,1,79274,98184,96214,134045,174876,45444,17121,582806,306202
3292,7033,18310,41495,74525,145386,229489,302144,262734,110993,31845,13333,15148,5707,8857,7120
987,482,492,2799,1513,3139,11474,14954,19545,33629,33079,12308,1,1,1,1
1646,1654,5020,10538,24789,55063,76496,187196,225006,122756,53322,14872,1,1,1,1
2469,1172,196,164,1,1,1,1,1,1,1,1,1,1,1,1
4692,3654,6201,6421,6106,5554,7649,5044,5000,1508,740,512,1,1,1,1
164,275,196,164,156,241,1,1,1,1,1,1,1,1,1,1
82,413,98,1,260,241,1,1,1,1,1,1,1,1,1,1
576,1172,295,329,52,241,1,1,1,1,1,1,1,1,1,1
1152,1379,984,2963,1513,2656,1,15674,35000,50520,35794,15897,1,1,1,1
82,413,393,658,469,483,3824,900,2272,301,493,512,1,1,1,1
493,206,295,329,313,241,3824,180,1,1,1,1,1,1,1,1
1,1,98,164,156,1,1,540,454,150,246,1,1,1,1,1
164,206,492,823,365,483,1,1,1,1,1,1,1,1,1,1
1,1,295,164,52,241,1,1,1,1,1,1,1,1,1,1
246,344,787,164,365,1207,3824,1261,454,150,1,1,1,1,1,1
740,965,1968,987,1461,1690,3824,1261,1363,150,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,603,246,1,1,1,1,1
3704,7860,22051,52692,89712,187891,371007,394751,346373,152164,42213,16410,1,1,1,1
246,413,295,493,104,483,3824,1,1,1,1,1,1,1,1,1
1234,1723,1771,1317,1670,724,3824,900,2272,150,246,1,1,1,1,1
246,1,492,164,208,241,1,1,1,1,1,1,1,1,1,1
1,1,1,1,417,1,1,720,454,301,493,512,1,1,1,1
246,206,492,658,208,241,1,1,1,1,1,1,1,1,1,1
246,137,196,1,156,241,1,540,909,150,1,1,1,1,1,1
164,68,1,164,208,241,1,1,1,1,1,1,1,1,1,1
658,1379,1870,1481,1617,483,1,1261,454,150,246,512,1,1,1,1
576,206,393,493,208,241,1,1,1,1,1,1,1,1,1,1
246,1,295,329,208,241,1,1,1,1,1,1,1,1,1,1
3704,3861,8072,7903,8558,8452,7649,7026,4091,1055,246,1,1,1,1,1
47827,91225,190388,294912,401852,465381,493402,480692,313190,118232,36288,16923,1,1,1,1
1,68,393,329,260,241,1,1,1,1,1,1,1,1,1,1
6667,8550,17621,44294,63252,131620,302161,502852,910479,1386218,1259485,943101,234795,188334,402118,391654
1,137,295,164,260,241,1,1,1,1,1,1,1,1,1,1
246,413,98,164,730,241,1,1,1,1,1,1,1,1,1,1
164,620,885,1317,574,241,1,1,1,1,1,1,1,1,1,1
1811,1379,2854,5763,2035,2656,1,12792,76820,317147,715156,767711,189350,131263,510176,405896
82,137,98,164,260,241,1,1,1,1,1,1,1,1,1,1
576,1379,1673,1152,1148,1207,1,900,1363,150,1,1,1,1,1,1
1070,1103,2756,1811,2713,2898,3824,2882,3181,1206,246,1,1,1,1,1
493,551,1575,3293,5062,5071,1,16215,15000,7238,2468,512,1,1,1,1
2881,3102,4429,4116,3705,2656,1,3603,2272,603,246,512,1,1,1,1
740,344,295,493,365,483,3824,180,454,150,1,1,1,1,1,1
2387,3033,4134,12020,19936,55546,65021,168638,207278,107977,39744,14359,1,1,1,1
1,206,1,164,104,241,1,180,1,1,1,2051,810421,838945,465890,591041
10536,11584,18704,23876,23171,21494,19124,20539,10909,6333,1728,512,1,1,1,1
7902,6481,8367,10703,12681,10384,11474,9188,7727,1658,246,512,1,1,1,1
3869,10274,27367,53844,105629,189581,294511,435469,393647,160760,41719,15897,1,1,1,1
905,758,689,658,678,241,3824,360,909,150,1,1,1,1,1,1
1,1,1,1,1,1,1,26124,47728,61529,33079,17436,1,1,1,1
1,137,98,658,678,241,1,1,1,1,1,1,1,1,1,1
246,344,393,164,365,241,1,1,1,1,1,1,1,1,1,1
987,1172,2067,1646,1461,2656,1,1261,454,452,246,512,1,1,1,1
1564,1172,3445,2469,2713,2898,3824,1621,454,150,1,1,1,1,1,1
987,758,98,164,156,1,1,720,454,150,1,1,1,1,1,1
164,344,196,329,417,241,1,1,1,1,1,1,1,1,1,1
