Fitness,Establishment_Time,Error_Fitness,Error_Establishment_Time,Probability_Adaptive,Mean_Fitness,Kappa_Value,Mutant_Cell_Fraction,Inference_Time
0.0,0.0,0.0,0.0,1.1629968623756107e-05,,,,
0.0,0.0,0.0,0.0,0.07133268273871551,,,,
0.135,-22.0,0.0029012606212658436,3.88793912166373,1.0,,,,
0.0,0.0,0.0,0.0,0.01025704642510487,,,,
0.0,0.0,0.0,0.0,0.14365096559217996,,,,
0.0,0.0,0.0,0.0,8.307101759135514e-05,,,,
0.0,0.0,0.0,0.0,0.19760220835665962,,,,
0.0,0.0,0.0,0.0,0.00018123166846522346,,,,
0.0,0.0,0.0,0.0,2.7279612592702948e-05,,,,
0.0,0.0,0.0,0.0,2.1097100946323815e-05,,,,
0.0,0.0,0.0,0.0,1.9518683935817206e-05,,,,
0.0,0.0,0.0,0.0,0.09368567143950225,,,,
0.0,0.0,0.0,0.0,0.006940798546284134,,,,
0.0,0.0,0.0,0.0,1.3813023950659848e-05,,,,
0.0,0.0,0.0,0.0,1.1689029682000638e-05,,,,
0.0,0.0,0.0,0.0,1.128954723770806e-05,,,,
0.0,0.0,0.0,0.0,0.009077725328874645,,,,
0.0,0.0,0.0,0.0,0.59382515447154,,,,
0.0,0.0,0.0,0.0,8.515937085133403e-06,,,,
0.0,0.0,0.0,0.0,0.00011061052736316868,,,,
0.0,0.0,0.0,0.0,0.00015714317470546943,,,,
0.0,0.0,0.0,0.0,0.07006516697586761,,,,
0.0,0.0,0.0,0.0,0.03929462011852852,,,,
0.0,0.0,0.0,0.0,0.00010727693222119123,,,,
0.0,0.0,0.0,0.0,2.0670371741302058e-05,,,,
0.0,0.0,0.0,0.0,0.665111827917518,,,,
0.0,0.0,0.0,0.0,1.6481017755085007e-05,,,,
0.0,0.0,0.0,0.0,8.323134894624996e-05,,,,
0.0,0.0,0.0,0.0,0.00011486767205264672,,,,
0.0,0.0,0.0,0.0,0.07012042699898521,,,,
0.0,0.0,0.0,0.0,0.00015000653595324,,,,
0.0,0.0,0.0,0.0,0.040046596893463786,,,,
0.0,0.0,0.0,0.0,0.0010868882099161596,,,,
0.0,0.0,0.0,0.0,0.00015000653595324,,,,
0.0,0.0,0.0,0.0,0.06585135283229145,,,,
0.0,0.0,0.0,0.0,0.042338219562244754,,,,
0.0,0.0,0.0,0.0,0.7608477114546348,,,,
0.0,0.0,0.0,0.0,0.4353944809807126,,,,
0.0,0.0,0.0,0.0,4.857465011373035e-05,,,,
0.0,0.0,0.0,0.0,7.383231219183291e-05,,,,
0.0,0.0,0.0,0.0,0.07282298778133758,,,,
0.0,0.0,0.0,0.0,0.07323076033975072,,,,
0.0,0.0,0.0,0.0,0.056127336317986026,,,,
0.0,0.0,0.0,0.0,0.0852906693603161,,,,
0.0,0.0,0.0,0.0,0.0036927082074120917,,,,
0.0,0.0,0.0,0.0,2.357705898249862e-05,,,,
0.0,0.0,0.0,0.0,7.884250652427368e-05,,,,
0.0,0.0,0.0,0.0,0.3514489508110183,,,,
0.0,0.0,0.0,0.0,0.10060126262982655,,,,
0.0,0.0,0.0,0.0,0.00011486767205264672,,,,
0.0,0.0,0.0,0.0,0.0001310211381014917,,,,
0.0,0.0,0.0,0.0,0.043093587665651446,,,,
0.14,56.0,0.029652673359777344,0.03450920369115295,0.9169622750944648,,,,
0.0,0.0,0.0,0.0,0.042338219562244754,,,,
0.0,0.0,0.0,0.0,0.06234529735016395,,,,
0.0,0.0,0.0,0.0,0.04345904914896595,,,,
0.0,0.0,0.0,0.0,0.7974221728331073,,,,
0.0,0.0,0.0,0.0,0.04346834804075173,,,,
0.0,0.0,0.0,0.0,0.07090263414673915,,,,
0.0,0.0,0.0,0.0,0.8043337440598556,,,,
0.0,0.0,0.0,0.0,0.16635521866084044,,,,
0.0,0.0,0.0,0.0,0.00011486767205264672,,,,
0.0,0.0,0.0,0.0,0.042338219562244754,,,,
0.0,0.0,0.0,0.0,0.00011633738590157158,,,,
0.0,0.0,0.0,0.0,0.8251649665839573,,,,
0.0,0.0,0.0,0.0,0.00015000653595324,,,,
0.0,0.0,0.0,0.0,2.6185031270287498e-05,,,,
0.07,-62.0,0.04337751844132589,58.99791109450341,1.0,,,,
0.0,0.0,0.0,0.0,0.00012888439042545375,,,,
0.12,52.0,0.020971472814982413,6.252499241611984,0.9494357437349681,,,,
0.105,-32.0,0.080739688664922,50.833224948959135,1.0,,,,
0.145,-14.0,0.010992537106498116,3.7359922758743185,1.0,,,,
0.0,0.0,0.0,0.0,0.12259918254131989,,,,
0.0,0.0,0.0,0.0,0.0001580494868312172,,,,
0.0,0.0,0.0,0.0,0.00015562931115479798,,,,
0.0,0.0,0.0,0.0,0.0001580494868312172,,,,
0.0,0.0,0.0,0.0,0.039203196071433535,,,,
0.0,0.0,0.0,0.0,0.00015066934302266418,,,,
0.0,0.0,0.0,0.0,0.00011932336933858864,,,,
0.0,0.0,0.0,0.0,0.06307942640002931,,,,
0.0,0.0,0.0,0.0,0.00011061052736316868,,,,
0.0,0.0,0.0,0.0,0.06925678635757886,,,,
0.0,0.0,0.0,0.0,2.296505788685724e-05,,,,
0.0,0.0,0.0,0.0,0.056127336317986026,,,,
0.0,0.0,0.0,0.0,0.3516212113131062,,,,
0.0,0.0,0.0,0.0,0.36511694378139914,,,,
0.0,0.0,0.0,0.0,9.664734349496825e-05,,,,
0.0,0.0,0.0,0.0,0.5915014362308122,,,,
0.0,0.0,0.0,0.0,0.5690429750367748,,,,
0.0,0.0,0.0,0.0,9.797008152307387e-05,,,,
0.0,0.0,0.0,0.0,0.07090263414673915,,,,
0.0,0.0,0.0,0.0,0.00013830302287096241,,,,
0.0,0.0,0.0,0.0,0.06585135283229145,,,,
0.0,0.0,0.0,0.0,0.04192978143502559,,,,
0.0,0.0,0.0,0.0,0.04392057364615251,,,,
0.0,0.0,0.0,0.0,8.723709042630466e-05,,,,
0.0,0.0,0.0,0.0,0.00011327449290333582,,,,
0.0,0.0,0.0,0.0,0.00011486767205264672,,,,
0.0,0.0,0.0,0.0,0.00012701858029980938,,,,
0.0,0.0,0.0,0.0,0.0001310211381014917,,,,
0.0,0.0,0.0,0.0,0.5990803582695461,,,,
0.0,0.0,0.0,0.0,0.7265093628296188,,,,
0.0,0.0,0.0,0.0,4.405155000241561e-05,,,,
0.0,0.0,0.0,0.0,0.25576592095474227,,,,
0.0,0.0,0.0,0.0,0.054655637203183234,,,,
0.0,0.0,0.0,0.0,0.00010727693222119123,,,,
0.125,46.0,0.03398194723755543,10.619341945706427,0.9947839955830093,,,,
0.0,0.0,0.0,0.0,0.19368318252334446,,,,
0.085,76.0,0.031184136536748817,5.965634094918065,0.9069273695669178,,,,
0.0,0.0,0.0,0.0,0.00015066934302266418,,,,
0.0,0.0,0.0,0.0,0.7515826880142891,,,,
0.0,0.0,0.0,0.0,0.00012888439042545375,,,,
0.0,0.0,0.0,0.0,0.00012701858029980938,,,,
0.0,0.0,0.0,0.0,0.00011416085325149727,,,,
0.0,0.0,0.0,0.0,0.00011589991923897076,,,,
0.0,0.0,0.0,0.0,0.00015714317470546943,,,,
0.0,0.0,0.0,0.0,0.29109370611842444,,,,
0.0,0.0,0.0,0.0,2.7446086462044136e-05,,,,
0.0,0.0,0.0,0.0,0.0001580494868312172,,,,
0.0,0.0,0.0,0.0,0.00010040179989197883,,,,
0.0,0.0,0.0,0.0,0.00011684865787097854,,,,
0.2,-6.0,0.002633036465359363,2.99512983349742,1.0,,,,
0.0,0.0,0.0,0.0,0.0001486938605823596,,,,
0.0,0.0,0.0,0.0,0.057233007899299054,,,,
0.0,0.0,0.0,0.0,0.0001310211381014917,,,,
0.0,0.0,0.0,0.0,0.13299053611596165,,,,
0.145,50.0,0.03462408122712601,10.653542813439138,0.9973881578828399,,,,
0.125,-22.0,0.0036015547194150482,5.40196241214166,1.0,,,,
0.0,0.0,0.0,0.0,0.09370260024161776,,,,
0.18,60.0,0.02965802265557159,4.795448011623591,0.9682606264676449,,,,
0.0,0.0,0.0,0.0,2.5585915765597786e-05,,,,
0.0,0.0,0.0,0.0,0.5605264067898573,,,,
0.2,-100.0,nan,nan,1.0,,,,
0.0,0.0,0.0,0.0,0.043624667417359084,,,,
0.0,0.0,0.0,0.0,2.5803025302228916e-05,,,,
0.0,0.0,0.0,0.0,0.00011061052736316868,,,,
0.0,0.0,0.0,0.0,0.00012655534374727631,,,,
0.0,0.0,0.0,0.0,0.7161525880012011,,,,
0.0,0.0,0.0,0.0,0.32151432155979365,,,,
0.0,0.0,0.0,0.0,8.539701061487786e-05,,,,
0.0,0.0,0.0,0.0,0.0001580494868312172,,,,
0.0,0.0,0.0,0.0,0.00012655534374727631,,,,
0.0,0.0,0.0,0.0,0.04392057364615251,,,,
0.0,0.0,0.0,0.0,0.3377140748707716,,,,
0.0,0.0,0.0,0.0,0.39808022352325084,,,,
0.0,0.0,0.0,0.0,0.00011486767205264672,,,,
0.0,0.0,0.0,0.0,0.00015000653595324,,,,
0.0,0.0,0.0,0.0,0.0001580494868312172,,,,
0.0,0.0,0.0,0.0,0.05894161535516776,,,,
0.11,-28.0,0.013392874670456599,7.620053231278587,1.0,,,,
0.14,54.0,0.020971331255046,6.471951579288219,0.9412993632281329,,,,
0.0,0.0,0.0,0.0,3.920985599014572e-05,,,,
0.0,0.0,0.0,0.0,0.04935162386655934,,,,
0.0,0.0,0.0,0.0,0.035830422006738596,,,,
0.0,0.0,0.0,0.0,0.8182284911305974,,,,
0.0,0.0,0.0,0.0,0.0006310913942195809,,,,
0.0,0.0,0.0,0.0,2.6337060405650197e-05,,,,
0.0,0.0,0.0,0.0,1.7445112108462355e-05,,,,
