1,2,3,4,5,6,7,8,9,10,11
1.1279952909614929e-05,1.8271667556958288e-05,2.4907888046109746e-05,2.9939268907552454e-05,3.525338579488285e-05,3.8180254819199856e-05,4.4130383239447046e-05,4.8535279843724896e-05,5.242021902483895e-05,5.574516773732019e-05,5.7050586797851044e-05
1.56659330739303e-05,2.5270111868546606e-05,3.094674180574933e-05,3.849348324572432e-05,4.5701543907513445e-05,5.027866139081897e-05,5.8068069775907105e-05,6.421286787503494e-05,6.934546942634921e-05,7.346574255986545e-05,7.540101033627771e-05
2.230822663559328e-05,3.767391542176793e-05,4.934644936406934e-05,5.970224667903681e-05,7.109498272308792e-05,7.763390662192885e-05,9.030333673762592e-05,9.89911921062896e-05,0.00010812951507499685,0.00011516977711113539,0.00011848127179289367
3.279311362442854e-05,5.499323718194358e-05,6.860453900936806e-05,8.192704729935937e-05,9.859370969802722e-05,0.00010918628543947286,0.00012655641751227283,0.00013980763782715902,0.00015077352595126102,0.00016063423504527108,0.00016533993547235946
4.6953870953199903e-05,7.889928510219522e-05,9.653905812883277e-05,0.00011680207909479403,0.00014221877874070042,0.00015797431272369754,0.00018443785889456237,0.0002044579697904704,0.00022182751876530964,0.00023733079689638805,0.00024438174271706374
6.954358377450575e-05,0.00011695142036375983,0.00014361081551838377,0.00017549812444908166,0.0002136828571184774,0.00023962035340230047,0.0002781710082875523,0.00030813208618323435,0.0003329459899990751,0.0003555283553680976,0.00036821158309381397
9.989333698081137e-05,0.00016847279360248632,0.00020251438744764376,0.00025045888911425185,0.0003052877015244689,0.000346775878281124,0.0004042495441457244,0.0004519447924677091,0.0004921191088815191,0.0005251053509402782,0.0005441120077041866
0.000150386536486907,0.00025331078365272434,0.00030856749999446905,0.0003848064738555359,0.00046985520984546065,0.0005357236639048531,0.0006250408148445153,0.000698560064393831,0.0007563427881847951,0.0008086180433639076,0.0008401831926961586
0.00022128233892311218,0.00037502641793328193,0.000456441621583038,0.0005737768401285078,0.0007048358743380064,0.0008086759643442973,0.0009435477256509516,0.0010593376855193841,0.001147548023877573,0.001228260326896845,0.0012784525453877478
0.00033715477100245897,0.0005696697428233736,0.0006917935492997212,0.0008777211070568458,0.0010768866598623184,0.0012444553776578948,0.0014517712210863163,0.0016303614589330958,0.0017636742145023044,0.0018900136795101093,0.001969686319028566
0.000509805650522184,0.0008576914178484134,0.0010489537143405486,0.0013361328643218492,0.001638322657724953,0.0018976378714326326,0.0022111355962164264,0.002484987609466309,0.0026789872350589743,0.002871881215947111,0.0029932395553135247
0.0018348841248126949,0.0030017146624173006,0.003746098378978721,0.004811566524216978,0.00579736737631943,0.006724732235755901,0.0077082289450037455,0.008599623705516004,0.009116133229241277,0.009743613407671792,0.010096791932027352
0.0028484265890253947,0.004573083111884367,0.00573990468561031,0.00735428341612407,0.008750251393766548,0.010098108005931675,0.011466599664356014,0.012695678659306877,0.013322869704921343,0.014202545973471566,0.014641074751326004
0.006997391293554891,0.010360110186149641,0.013032096086345925,0.016314084321365437,0.018600319729314835,0.020983553033776216,0.0230969769859518,0.024952671317163222,0.025440827446120622,0.02697887398163997,0.027332279744479736
