1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.007660504393742107,0.00815891516312618,0.008181461117173784,0.008190562885613586,0.008195094073675808,0.008198640976218809,0.008220179985171848,0.00821872381992641,0.008268725789630607,0.008292366791169632,0.008294615816181223,0.008295047709122523,0.008297806457892689,0.008306164485343773,0.008301226685844133,0.008300216729362691,0.008301690261988882,0.008310022449050188,0.008313293496920272,0.00831430570831203,0.008311566117670286,0.00831332657679207,0.008320965850588679,0.008325162323864231,0.008325470626945275,0.00837600073111702,0.008375604237503831,0.008375605616858694,0.008375605615999066
0.0023831062054656686,0.0024403519371908825,0.0024473936985971332,0.0024511392552316233,0.0024503869919610378,0.0024560593859375797,0.002460550529713173,0.0024587652505011787,0.0024612397013486047,0.002460062212786019,0.0024638964768366302,0.0024649260068757453,0.0024694455657956033,0.0024750320252797386,0.002467690440082393,0.00246642730344747,0.0024689368470859055,0.0024744909922715086,0.0024810212155437997,0.0024829346661564894,0.002478705163436996,0.0024818697997823114,0.002486316240510054,0.0024915130521731862,0.0024921351531737783,0.002492191123129334,0.0024918675525132357,0.0024918682125512617,0.0024918682281749537
0.005276835785610315,0.0055536554048682026,0.005554521955699756,0.005560652178946655,0.005560140850372911,0.005569233875158477,0.005577744714907729,0.00557559840334918,0.005579671301414255,0.005578583456551002,0.005585069446133513,0.005587114383826775,0.005594543197567667,0.005603835046380347,0.00559285167839934,0.0055913916707356435,0.005595616862234447,0.0056051950656900605,0.005616402346679021,0.005621351477826571,0.005614774322010607,0.005620541811874035,0.005627360189445292,0.0056362983821564875,0.005637593056875686,0.0056375823056298855,0.005637366501693734,0.005637364551900559,0.005637364615993488
0.00010132922723542162,0.00013750875212252843,0.00014135259302863133,0.00015153224876549576,0.00015224596758607392,0.00016697321518832322,0.00018115760775784566,0.00017926210563289164,0.0001860928694902294,0.00018549872460333743,0.00019644791901071793,0.00020069672284980607,0.00021364767998357533,0.00022705743955379884,0.00020954789190414551,0.000209008082178249,0.00021537277615927116,0.00023153381725944403,0.00025017496211794877,0.0002594413332037165,0.0002490026976331295,0.00025945603463201647,0.0002708520566717371,0.0002857013415294034,0.00028764931556838556,0.00028782540500049426,0.00028753536051280245,0.00028752513335973353,0.0002875253283276164
0.007263423835969228,0.007721287779319162,0.007768189175886849,0.007788760553882735,0.0078020565232570635,0.007825598443816612,0.007851358298283678,0.007848926853824182,0.007869358368280607,0.007870868944685064,0.007889080169537039,0.007896885148257461,0.00791768622786824,0.007945614011695683,0.007921606949577808,0.007921141150125453,0.007934555658796706,0.00796733086225462,0.008000009115886301,0.008014328237366336,0.007999898708101992,0.008018750906540483,0.008046146591259754,0.008081838944812944,0.0080870682713646,0.008123306689426322,0.008122556102355129,0.008122538813934327,0.008122539446739586
0.0030655036826164276,0.0035280456764730478,0.0035668589696598884,0.003598434285610531,0.0036043071096118428,0.0036415376893203007,0.0036765409769272134,0.0036753145445789065,0.003693933889648174,0.0036972285344509886,0.0037271255934455513,0.003741446648961072,0.003775410554565625,0.0038177025103757474,0.0037846817906032693,0.003786943169520399,0.003810258066000465,0.0038580104083322697,0.0039151252646403845,0.0039421751029973225,0.003922151301375113,0.003955585411976594,0.003998768074192247,0.00405782650821337,0.004067955777810967,0.004068476611033554,0.0040669877381162255,0.004066962443690264,0.004066964173998296
0.003841663241541407,0.004216983794310484,0.004315306523100068,0.004354295049973023,0.0043682741083624025,0.004428052591899715,0.004486509556182299,0.00448884353723862,0.004519679469398629,0.004529454155174092,0.004579169527697162,0.004605421006087468,0.004661537611248141,0.004719918044911606,0.004677789692445638,0.004686761774315417,0.004727907954739189,0.004809486596031153,0.004910240015477126,0.00495540753289151,0.0049287570898639286,0.004988723850195425,0.005089945612119072,0.0051660913366834375,0.005185751493702831,0.005253317700670514,0.005250243032660757,0.005250223971203447,0.005250228325271953
0.0005576450714926683,0.0008036531094155672,0.000844717739584512,0.000903485789251071,0.0009371677885749085,0.0010276889053575037,0.0011219832069353083,0.0011281672460411985,0.001179654407037936,0.001205530829450469,0.0012796046145582623,0.0013518678551615463,0.0014376451968859515,0.0015563321603775293,0.0015130523104780389,0.001534058033922069,0.0016227547676780165,0.0017564108001782146,0.0019507396360633593,0.0020238748392004255,0.002005591285185598,0.0021122320527468845,0.002245111297436984,0.0023811673600372726,0.0024326059157205124,0.0024338328906388512,0.002429308542993064,0.0024292594389588667,0.0024292645009086023
0.004953357148710138,0.0052155218269080055,0.0053230932294046,0.0054265127488804035,0.005498761071298242,0.005656497194308617,0.005834791898471246,0.00587573810558959,0.005971023489738542,0.006028369942154107,0.006168638998872966,0.006269618054907204,0.006430277153056933,0.0066456326110766505,0.006595792432994562,0.006644682000312889,0.00677499141180954,0.007022367291841054,0.0073418452609255785,0.00752725326900536,0.007497878360075609,0.007687524451188124,0.007929785963998263,0.008169660494169773,0.008248172106355497,0.008168044431836196,0.008160790886812383,0.008160915070126503,0.008160936882102938
0.0004464463778919686,0.0006388455898804834,0.0007975665393806975,0.000965121051891794,0.001090756175047936,0.0013476397286019514,0.0016089586080564374,0.0017004755867647595,0.001839844882980315,0.001953694298934063,0.002184706859058952,0.002330756232673198,0.0026104855403274014,0.0028778584045076145,0.00283948704548936,0.0029909019792809083,0.00318795087346984,0.003601544728209143,0.004022596205071009,0.004422059770719703,0.004400513450698504,0.004739731118841112,0.004971102087579279,0.005339599977815403,0.005543974072380729,0.005540366188191929,0.005530793191800723,0.005531234299560732,0.005531224838555164
