1,2,3,4,5,6,7,8
3.175736277259242e-05,3.0531682149082036e-05,3.248372899615752e-05,3.324010603952318e-05,3.1497884348208284e-05,3.0462960260665435e-05,3.150643633158501e-05,3.1506272461492956e-05
0.0001276355928300129,0.00011973586265967304,0.00011607837148424902,0.00012513740247569493,0.00011756849780163029,0.00011848175559297928,0.0001176376626209914,0.00011763701346085495
0.00032245787827492095,0.0003120253673984469,0.00031130873820009106,0.000335245870041586,0.0003278868443285489,0.000328572909556117,0.00032809193128862236,0.00032809144514238766
0.0019402640412962394,0.002070809181563555,0.0021698942763158434,0.002451852180566696,0.0024520077877196837,0.002455249751962721,0.002453438238308983,0.002453470039820821
0.0017231498636731386,0.0022291894350239204,0.0028410372861892735,0.003650592457207939,0.00376409031693973,0.003786870240440098,0.0037654914136371932,0.003765875468151305
0.0035867727178000852,0.005176566727858375,0.0069091505034271136,0.009125539825250975,0.009660728576617443,0.009737547512923482,0.009634216846939783,0.009640087070902303
0.0074976007521012486,0.01203577021298528,0.01684548985313522,0.022421742075314714,0.02386343076135675,0.0238068233814001,0.023604296863948385,0.02364760090186945
0.01571528252503368,0.027608597832870386,0.0401450241465407,0.051510908991197105,0.05273669833122869,0.051924089883102306,0.0517770067450324,0.05194463054125405
0.03302246161437454,0.05989669483965232,0.08747439723178348,0.0961533603018804,0.09472012780147085,0.0936800221627935,0.09428924961622494,0.09441266798127249
0.06952160303047118,0.11454708356643047,0.13361737590132422,0.14254830735812288,0.13867120798612456,0.13879697771204344,0.13997727928153866,0.1395098664753368
