1,1,1,1,1,138,749,383,295,505
1,1,1,1,1,1,1,1,351,244
1,1,1,1,1,153,1,1,1,191
534144,179487,1496,1,1,246,591,184,618,627
9400,1,1,1,1,5783,36960,31628,6315,662
1,1,1,1,1,384,1,1,632,383
19656,1,1,79547,1,246,1,1,1,174
24356,1,1,1,1,123,1,199,1,87
1,1,1,1,1,153,118,92,745,679
2563,1929,4701,150256,47329,446,1,1,1,1
734128,234008,641,1,1,676,1065,491,928,767
5555,1,1,1,1,1,1,1,168,174
1,1,1,1,1,123,1,1,1,87
1,482,1,1,1,769,355,383,464,836
1,1,1,1,1,1,39,1,182,226
1,1,1,1,1,1,1,15,1,104
1,1,1,1,1,123,118,153,1069,976
1,1,1,1,1,338,197,168,1294,1028
1,1,1,1,1,615,1,1,1,244
1709,482,1282,97224,110436,522,1,1,1,1
4700,1,1,1,1,123,1,1,1,313
1,1,1,1,1,15,1,414,1,139
1467829,1615385,1286796,150256,78883,799,1932,920,1547,1255
2068208,4354497,4394899,344705,291867,1169,1775,966,1589,1290
1,1,1,1,1,138,1,1,1,226
1,1,1,1,1,184,1,1,1,156
1,1,1,1,1,584,591,429,2349,1464
1,1,213,1,1,1522,631,751,858,1516
1281,1,1,1,7888,2091,946,1335,1125,1621
1281,1,1,1,1,323,749,537,4121,1150
1,1,1,1,1,1,1,15,70,17
1,1,1,1,1,1,433,429,2813,801
1,1,1,1,1,1,1,153,1,523
1,1,1,1,1,707,1,1,1,488
9828,1,1,1,1,1,1,1,1,174
427,1,1,1,7888,2814,1341,1319,1856,2353
27348,1,1,1,1,22642,134509,121941,22745,2405
1,1,1,8838,7888,2230,4496,7841,140,2876
1281,1,1,1,1,1092,3905,1289,1336,2859
427,1,1,1,1,1045,828,475,3699,3051
3418,1,1,1,1,4983,1420,3437,3460,3800
3845,1,1,1,1,1599,4851,8946,11590,3608
1,1,1,1,1,615,1459,3882,4388,1865
2563,1,1,8838,31553,8306,3510,3959,4979,7915
16206376,3407363,1154077,141417,141989,9736,15068,8379,15374,10792
2136,1,1,1,1,4476,14279,4772,5106,9641
106828,1,213,1,7888,104091,581706,567996,110984,9728
7264,1,1,17677,1,4830,6192,3314,22126,17713
875997,11579,20730,8891638,11335489,4384389,1553886,1923180,524948,33701
13674,1,213,53031,78883,43485,19565,24109,28808,40134
15810,1,1,8838,7888,18227,67215,23418,23040,46655
20938,482,1,8838,1,17674,22129,11172,80573,64734
54696,482,213,106063,70994,166420,76919,99213,119635,160747
111102,1,213,159094,70994,78249,91593,48125,366334,283051
1,1,1,1,1,1,1,27285,1,40953
294847,1929,1068,945730,851936,781511,322784,432719,540126,696391
9765019,16887,9617,35354,418079,10206205,54237695,50903113,10493733,988647
