993037,2035542,1260922,3378180,2065270,1845957,2337338,7441932,3672903
1,2787,9326,12414,23587,24462,39798,25237,69300
811,1212,554,78,133,1,1,1,1
2272,1939,1200,624,133,249,1,1,1
527,848,1108,780,133,1,1,1,1
486,484,92,1,1,1,1,1,1
121,242,184,78,133,1,1,1,1
2678,3757,738,312,133,1,1,1,1
22195,46543,30288,75582,41710,37942,45176,145728,69300
2487644,5357571,35788323,53012409,78346903,86691379,92471684,84522636,93416493
2109,1939,1939,1093,133,1,1,1,1
5559,3999,2862,1952,1,1,1,1,1
811,606,277,234,133,1,1,1,1
2109,2424,73134,39665,1465,748,1075,4070,69300
347581,786388,4697687,7307067,10230407,7254527,1215458,1208978,693000
28809,62663,520251,688831,1128049,1199935,1306887,1077903,207900
1095,727,554,78,1,1,1,1,1
96248,196718,119674,313573,192428,184970,219427,690379,346500
162,1,1,312,133,1,1,1,1
649,848,92,234,133,1,1,1,1
365,242,184,78,1,1,1,1,1
51532,49815,23085,9057,932,1,2151,2442,69300
7506,16726,11635,28811,19322,17723,15058,56988,207900
1663,1333,646,156,133,1,1,1,1
1541,1575,554,78,133,1,1,1,1
9535,8848,3324,2030,133,249,1,1,1
1339,969,461,78,133,1,1,1,1
162,242,92,78,133,1,1,1,1
1176,1454,923,234,133,1,1,1,1
162,969,20684,15928,3598,1,1,1,1
324,121,92,78,1,1,1,1,1
42402,32119,18745,8120,1199,1747,1075,814,69300
284,242,92,1,1,1,1,1,1
811,242,646,156,133,1,1,1,1
162,121,92,1,1,1,1,1,1
811,1454,554,234,133,1,1,1,1
486,121,184,78,133,1,1,1,1
365,242,92,234,133,1,1,1,1
568,727,277,312,133,1,1,1,1
4260,9090,5725,14991,8928,6240,8605,24423,138600
243,484,184,156,133,1,1,1,1
486,363,369,78,133,249,1,1,1
689,363,277,312,133,1,1,1,1
1988,3878,2493,4528,3598,2995,6453,13026,69300
446,242,184,1,1,1,1,1,1
1460,1212,831,390,133,1,1,1,1
405,606,92,78,133,1,1,1,1
8805,9090,4247,2264,1,1,1,1,1
324,363,92,1,1,1,1,1,1
33922,74299,44600,114388,69295,57662,80672,258892,138600
405,121,92,234,133,1,1,1,1
284,242,92,1,1,1,1,1,1
162,242,92,1,1,1,1,1,1
3570,5939,3786,9994,6796,4493,6453,21167,69300
608,1,369,78,133,1,1,1,1
81,363,92,78,1,1,1,1,1
81,242,92,78,1,1,1,1,1
46257,92844,4496291,9237779,2689862,135794,111865,288200,69300
13228,10908,7202,2576,266,1248,1075,1,1
365,1212,92,1,1,1,1,1,1
4788,3878,2308,1093,133,1,1,1,1
1257,1333,369,546,133,249,1075,1,1
162,363,92,1,1,1,1,1,1
527,363,92,1,1,1,1,1,1
125585,131630,73319,60512,27051,24462,24739,88739,138600
365,242,92,1,1,1,1,1,1
6614,6787,2216,1405,133,249,1,1,1
1217,848,277,312,133,1,1,1,1
162,121,1,1,1,1,1,1,1
17204,34543,20869,58014,39711,31202,47327,129446,69300
2515,1454,1477,390,133,1,1,1,1
121,121,92,1,1,1,1,1,1
7222,12969,124753,149291,266654,279826,228033,208416,138600
2394,1939,1200,468,133,1,1,1,1
284,848,831,1093,1199,499,1075,1,1
202,121,1,1,1,1,1,1,1
852,484,831,234,133,1,1,1,1
202,121,92,156,133,249,1075,1,1
129156,259018,167138,430773,256393,225658,296873,950085,277200
284,242,92,78,1,1,1,1,1
4788,10544,5355,15381,8528,6739,9680,37449,1
933,1090,461,78,1,1,1,1,1
405,363,184,156,1,1,1,1,1
608,484,184,78,1,1,1,1,1
608,242,92,78,1,1,1,1,1
4625,3514,3416,2108,1,1,1,1,1
243,121,1,1,1,1,1,1,1
405,606,369,156,1,1,1,1,1
1,1,1015,2264,1066,998,1,4884,1
8439,17938,10342,27953,17323,13729,22588,48033,1
405,484,369,78,1,1,1,1,1
121,121,92,78,1,1,1,1,1
243,121,1,1,1,1,1,1,1
568,484,554,78,1,1,1,1,1
243,484,461,78,1,1,1,1,1
284,484,277,78,133,249,1,1,1
365,484,277,78,1,1,1,1,1
10306,8120,4247,2264,1,1,1,1,1
1,121,184,78,133,249,1,1,1
324,1,369,78,1,1,1,1,1
40,242,92,78,1,1,1,1,1
852,1,5725,6246,12393,9485,11831,15468,1
1988,2666,923,234,266,249,1,1,1
608,1454,92,78,1,1,1,1,1
