4638,1,3182,1,1,3800,1,2570,5667,7680,1511,1,984,987
1,1,1,3647,4159,1,1,3856,2833,590,1,1,1,1
48701,73749,66836,51070,47145,45608,53707,20565,15584,28948,21158,8338,4923,1402
1,1,1,1,5546,1266,2441,1285,1,1,1,1,1,1
2319,1,1,1,1,3800,2441,1285,1,1,1,1,1,1
6957,4097,6365,3647,1,1,1,1285,1416,590,1511,694,246,51
23191,12291,22278,20063,15252,7601,9764,7712,5667,9452,6045,3474,2708,1091
18552,40971,44557,40126,34665,44341,53707,39845,41085,25994,28714,9033,3692,1402
1,1,1,1,1386,1,1,1285,1,2363,1,1389,738,1143
1,1,1,7295,2773,1266,2441,1285,1416,590,1,1,1,1
9276,1,1,1,2773,2533,1,5141,1,2363,4533,1389,1969,1143
2319,4097,1,1823,1,1266,1,1,1,1181,3022,2084,738,1143
2319,1,1,1,5546,1,1,1285,1416,590,1511,694,1,1
1,1,1,1,1,1,1,2570,1416,1181,1511,1,1,1
2319,1,3182,3647,1,2533,7323,1285,1,1,1,1,1,1
1,4097,1,3647,1386,3800,2441,1285,1,1,1,1,1,1
1,1,1,1823,4159,1266,2441,1285,1416,1181,1511,694,1,1
2319,4097,1,3647,1386,1,2441,1,1416,2363,1,1,1969,1246
1,4097,1,1,1,1266,1,1285,4250,590,3022,694,1477,1195
2319,1,1,1823,1386,1,1,1,2833,2363,1511,1389,1723,1195
2319,4097,1,1,1386,1266,2441,6426,1416,1,3022,694,246,51
1,1,3182,3647,1386,3800,1,1,2833,590,1511,2779,1969,1143
1,1,3182,1823,4159,3800,1,2570,1416,1772,1,1389,1230,1195
4638,1,1,1,1,1266,2441,2570,2833,590,1,1,1,1
34786,36874,25461,34655,20799,30405,24412,16709,15584,12406,12090,2084,984,1454
1,1,1,1,1,1,1,1,1,1,1,694,738,1195
9276,4097,3182,9119,1,2533,1,5141,1416,4135,1511,4864,1230,1039
1,4097,1,1,2773,1,1,1285,1,1181,3022,694,1,1
2319,12291,12730,10943,22186,16469,9764,24421,14167,20677,12090,2779,2708,1402
2319,4097,6365,3647,1386,3800,2441,1285,8500,3544,1511,2084,1723,1246
2319,1,1,1823,6933,1266,2441,8997,2833,3544,1511,2779,1477,1195
2319,4097,1,1,1386,1,4882,1,1416,1181,1511,694,2708,1143
1,1,1,1823,1,1,1,1,1416,1,1,1,738,1246
2319,4097,1,1823,1386,7601,4882,1285,1,1,1,1,1,1
1,1,3182,1823,1386,1266,2441,2570,2833,1772,3022,2084,1477,1195
4638,8194,9548,5471,2773,5067,2441,5141,1416,5317,4533,1389,1230,1298
2319,1,1,3647,2773,6334,7323,1285,2833,2363,1511,1,1,1
