1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
5.0562671164070035e-06,8.017607057882318e-06,1.0157215826099259e-05,1.2566771998580412e-05,1.4276191441995295e-05,2.714886450130352e-05,8.135067511613434e-05,0.0001646259606592626,0.00021636027017853026,0.0002537208147979185,0.00027569158898850066,0.00028645007774952237,0.000300466330932911,0.00031203724117710295,0.00031879925804522243,0.00032421691230532536,0.000333045023122417,0.0003427465366429422,0.00035196261710818827,0.00036286575502219193,0.00036965629491077175,0.00037976227461307464,0.00039463789557378173,0.0004004887492985573,0.0004027655920536849,0.0004124709235148349,0.0004173880366784628,0.00042088676674027016,0.0004235977092550464,0.0004273340361123657,0.00042720401329162896,0.0004287769273112162,0.00042718816213612826,0.00042863863305028647,0.0004567618377671823,0.0004763888263273102,0.0004774788177095574,0.0004733701939346228,0.0004728684947483959,0.00047178106635427196,0.00046980287004036794,0.0004698065830425917,0.00047484842299069357,0.0004749714771311725,0.00047453621186264305,0.0004746705882984988
5.23483538537411e-06,8.57800516894667e-06,1.0947982202189683e-05,1.294800516908953e-05,1.4938975993044841e-05,2.9392000566488373e-05,9.205201319750275e-05,0.00018133857520109679,0.00024645876176429397,0.000295532183590118,0.0003242405162962935,0.000343076168763594,0.00036218117404310566,0.0003823297675008906,0.000400753756366759,0.0004170671967746461,0.00043838811912737567,0.0004610479444978333,0.00048111901428369165,0.000498871687498289,0.0005147410740739923,0.0005358476443603493,0.000561708372143438,0.0005731428718135389,0.0005831918042289234,0.0006046577369418444,0.0006139957968521014,0.0006233954362942931,0.0006266521462216608,0.0006360051744532262,0.0006355853427798915,0.0006418609473791466,0.0006379513367449296,0.0006422113043132433,0.000692762584687959,0.0007293913998515121,0.0007325416826949195,0.0007261143154506006,0.0007262966315921824,0.0007260272035878411,0.0007202701557074716,0.0007219389285283013,0.000733206190995588,0.0007323260220821427,0.000731504470401334,0.0007318821354423979
8.238269904886484e-06,1.252684200909869e-05,1.5838946067105536e-05,1.981603601128944e-05,2.3570540253655163e-05,4.2740890085041304e-05,0.00012035778369320176,0.0002387603633575398,0.0003336200022632245,0.0004161951481871764,0.0004673520879518899,0.0005054325812684891,0.0005493178113848752,0.0005911090657261014,0.0006338244533344848,0.0006697381326531066,0.0007190842923130076,0.0007679281100889022,0.0008169697916132682,0.0008527613574632343,0.0008873895677434594,0.0009275764225227051,0.0009798859708465416,0.0010048711828734536,0.0010292216219506673,0.001073265500009827,0.001100732290124086,0.0011178459037119674,0.001125314559703356,0.0011395098534148203,0.001150769556687424,0.0011603391715510115,0.0011567492355143297,0.0011683404718564492,0.0012738092073996596,0.001337924993921661,0.0013451738204700333,0.0013318580301229584,0.0013347846236239109,0.0013399143669448822,0.0013303880428116729,0.0013339802978047082,0.0013539220578579517,0.0013520890719530502,0.0013500445406007754,0.0013506003601136125
1.8502442772024018e-05,2.46335376439581e-05,2.9741321554289535e-05,3.710015118577119e-05,4.5434182949325407e-05,7.430746809876037e-05,0.00018332706985948346,0.0003564070236264908,0.0004997238818172313,0.0006331208836783659,0.0007186724750865667,0.0007867541443301187,0.0008653932628004333,0.0009428145276973302,0.0010240933866697307,0.0010928112026762932,0.0011902144728474227,0.0012822653756986823,0.001372974096183983,0.0014342070186506252,0.0015038609806374778,0.0015848869713754028,0.0016772046030373306,0.0017305314741353154,0.0017788889519740358,0.0018602319714419741,0.001917199753919093,0.0019504697179616348,0.0019687879121668803,0.002000517579187374,0.0020270542123065993,0.0020485533325403484,0.0020441643573534947,0.002074209313722269,0.0022669512272365066,0.0023939436137165207,0.002410693086541198,0.00238318603416968,0.0023905712643575963,0.0024075910984807003,0.0023880436899305535,0.0023951777857479607,0.002429783492431077,0.002425826869069966,0.0024209499092330377,0.0024224294202413476
9.09461799524957e-05,0.0001412973288151563,0.00020800944270493274,0.0002810155044607312,0.0003560579190799702,0.0005543727147423194,0.0011252303476344402,0.002531241497513531,0.003331505691827343,0.0037876630646431694,0.004096013244972562,0.004371797876893522,0.004700742449861079,0.005015379673321901,0.00534879199615392,0.005612910618890104,0.005968342590445851,0.006243333652278255,0.006512683586602662,0.0067015329887452,0.006893010477751664,0.007107112190904562,0.007329048501722211,0.007480542454635459,0.00757183730567883,0.007722458685153993,0.007862936141934139,0.007898748626558722,0.007965979291205799,0.007996536650052831,0.008057034242539627,0.008048194545392004,0.008040327627000432,0.00829611236067659,0.008793872224229532,0.009053516224987604,0.009014285531136387,0.008960600194485403,0.008952348685068744,0.008892926219046738,0.008847175694844257,0.008945491775965849,0.009016176944894443,0.009003233981202325,0.008992726726527945,0.008998932745414497
0.00023342848993500244,0.00034010397083929813,0.0004656754397540499,0.0006335324004007821,0.000782631903071415,0.0012542467314895515,0.0032980857352008872,0.007677376732704868,0.0108523081836068,0.012153806668158225,0.013039833192049393,0.013856874617696718,0.014848137223441514,0.01578040087305699,0.01673044346581416,0.01751016542838571,0.018404684992048424,0.0191785362967813,0.019884384293774482,0.02039587723322938,0.020885503797892654,0.0214049997882662,0.021928197367623515,0.02233189328870398,0.022640996486125328,0.023036930097198448,0.023421401571746884,0.023450282107725325,0.023670127803756952,0.023737532726447182,0.023926828271272023,0.023848956741893277,0.023921413877629288,0.025032458416249504,0.02605938184225841,0.026553134043134786,0.026356615917688828,0.02625907832735711,0.02632843781498815,0.026199900193321683,0.026107768261934238,0.026445136080746976,0.026588460610790347,0.026536351546399085,0.026523666718039327,0.026537487993998063
0.0005070729579596586,0.0008810497872449338,0.0013528531028190436,0.0018419463867160191,0.0022406928477016336,0.0031419762363075975,0.007264222149163601,0.016260003636793675,0.024702206546082264,0.028598723567802246,0.030514502455567867,0.03216543496466722,0.03431275816382117,0.036158027269183796,0.03770031679811962,0.04002511533267612,0.0420023206340741,0.044286726071377666,0.045799224165167435,0.04693671035153798,0.04895436500733931,0.051037343206407924,0.0521232170734248,0.05286838409669097,0.05425292427291144,0.05552627691752632,0.05604820263067597,0.056397840441775156,0.05714481447503156,0.057727627616539684,0.05805670266041233,0.05808112056147484,0.05858863729488351,0.06234168068669697,0.06594911300186784,0.06639246503343742,0.06561396736574608,0.06561320269272886,0.06594621887306994,0.06527411060311099,0.06530681373742024,0.06622450675641922,0.06625865473923698,0.06600380390449465,0.06605899613523278,0.06609768691027033
0.000915035619503657,0.0017969842242183958,0.002794063131701797,0.00382317392266607,0.0051861775664512775,0.006820814340009372,0.013986172357810172,0.02878739495574587,0.041370573635018414,0.045786278858063606,0.0490756261972534,0.05297413861925538,0.05778826324156821,0.06189659414246753,0.065149344616791,0.07070440499019139,0.07480792551864278,0.07934145286427823,0.08114287297502734,0.08452025575269276,0.08830193139634446,0.0907835509771199,0.0923914957748945,0.09439037141654347,0.0980606383627378,0.10008123732512482,0.10083595803304808,0.1016890183797234,0.10330496773032587,0.10476075560255109,0.10510557601880181,0.10524965559943536,0.10661940043601902,0.1166512828464471,0.11784450859506582,0.11739449842069068,0.1164862260325732,0.11735852257262108,0.11784343224282848,0.117335833694637,0.11803840572886626,0.1190971971204269,0.11814022763435844,0.11800801994468829,0.11826075392249334,0.11821349529226989
0.0015193567871252516,0.003153320297026819,0.005115053246586741,0.007219109506806029,0.010280782990570853,0.01505223408114524,0.027178332947292546,0.049406504530478346,0.06259132056705251,0.06701072464046844,0.07228917950573213,0.07853777228364692,0.08489071708812158,0.09104227276131398,0.09714142499962312,0.10388651954631485,0.11072245193652298,0.11412925891824346,0.11765461227431398,0.12080995674504445,0.12463986153074909,0.1274529846394884,0.12986912797202937,0.13191072013798952,0.1370199716072904,0.13846879287475988,0.14083282147435422,0.14174919592751398,0.14386506374324254,0.14648219085571937,0.1474008021804223,0.14854305485737326,0.15047428905275534,0.1515196606288048,0.15318343823020128,0.15417244414574444,0.15523090401655074,0.15580066477377974,0.15665153875103158,0.15863192490288058,0.15885361392881642,0.15772051516952224,0.15707769949293043,0.1573170048951442,0.15740679026064747,0.15739701499354736
0.0025197476767840985,0.005373349834259943,0.008622080049071812,0.012406771377638928,0.01759395186146837,0.025673404676762972,0.0455913557746197,0.07045154266975842,0.08118290031882512,0.08410545815137772,0.09198706165563697,0.09957357640486539,0.10623714911725798,0.11386383636530727,0.1202188103967361,0.12648386280602036,0.13297870048687377,0.13642503945687057,0.13978216565547594,0.14373607516805684,0.14652966594843286,0.14940674674373533,0.1509170496345832,0.1540418835582401,0.1587127547010538,0.16107900236716552,0.1642009497851834,0.164833001921009,0.1664142063667953,0.16913437717026855,0.17067099960913085,0.17135744286117252,0.17289642723674278,0.17445535374895949,0.1750541170483088,0.17745931461559486,0.17883342274909958,0.17895066410352212,0.1805530404655387,0.1832371696190063,0.18292574260900502,0.18162096660305835,0.18176856813837158,0.18173797570571337,0.1817336010358745,0.18184013719497
