1,1,1,1,1,1,1,1,1,117,1,314
1,1,1,1,1,1,1,1,1,234,1382,92
3965,1,1,1,1,2498,27961,34338,34492,2092,46,498
12617,1,1277,1,1684,12493,34241,38662,40204,2846,153,554
1,1,1,1,1,1,677,545,238,83,46,480
3604,1,1,1,1,1,270,1,1,1,61,351
1,1,1,1,1,1,507,1,187,1,1,147
1,1,1,1,1,1,118,1217,1,1,1,1
250178,1,1,1,1,1,677,1721,1125,1054,752,720
360,1,1,1,1,1,1,1,1,1,245,351
1,1,1,1,1,1,1,1,289,1,1,110
360,1,1,1,1,1,33,335,2915,3917,2919,665
246213,1570,2555,595,1,1,846,1595,784,937,1044,794
360,1,1,1,1,1,744,587,170,150,215,720
1,1,1,1,1,1,1,1,68,1,1,388
1,1,1,1,1,1,321,1,1,100,1,1
720,10993,10221,23215,6736,1,389,1,1,1,1,1
1,1,1,1,1,1,1,1,1687,1841,1,129
1,1,1,1,1,1,964,377,1,1,1,1
1,1,1,1,1,1,1,1,1,1,230,166
2523,1,1,1,1,1,84,209,4552,5876,5024,997
1,1,1,1,1684,1,1641,1217,511,234,245,960
1,1,1,1,1,1,440,251,1,1,1,1
1,1570,1277,1190,1684,1,1,1,1,1,1,1
7570,9422,8943,20238,65679,12493,54704,266733,6513,519,1,1
363011,1,1,1,1,1,846,1679,1261,1004,1213,1238
581466,2231645,1192103,680385,1,1,1387,3148,2131,987,1536,1348
1,1,1,1,1,1,1,1,1,1,1843,849
1,1,1,1,1,1,1,1,699,351,1,1
487739,1,1,1,1,1,1303,1931,1346,1138,1490,1404
1,1,1,1,1,1,677,1,1,100,76,258
1,1,1,1,1,1,236,1,1,1,1,258
1,1,1,1,1,1,1,1,1,184,1,240
1,1,1,1,1,1,1,1973,1,1,1,203
1,1,1,1,1,1,16,1,238,1,1,295
1,1,1,1,1,1,1,545,1,133,1,1
1,1,1,1,1,1,1,713,1,1,1,794
1,1,1,1,1,1,829,923,1,1,1,369
1,1,1,1,1,1,1,125,1,1,1,221
1,1,1,1,1,1,1,1,1,1,184,1034
1,1,1,1,1,1,1,1,238,1,1,295
1,1,1,1,1,1,1421,1,1,1,1,369
720,1,1,1,1684,1,1980,1763,716,468,414,1792
448086,1,1277,1190,1,1,1641,2896,2114,1741,1459,2180
619317,4711,2555,595,1,1,1946,3484,2489,1657,1997,2180
360,1,1,1190,1,1,2285,2224,647,552,522,2235
937988,1570,3833,1190,1,1,2995,6422,3000,2377,2935,2549
1,1,1,1,1,1,1,1,375,267,1,295
1819741,1,1,1,1,1,2674,6002,3205,2795,2658,2864
1449520,29435414,16561681,9198002,3368,1,4265,7430,3938,2360,3073,2106
14419,73812,1,1,1,1,1,671,289,318,1,258
1,1,1,1,1,1,1,1,630,1,1,498
17663,56537,1,22619,1,1,947,2224,1074,569,783,628
1441,1,1,1,1684,4997,3723,2728,1074,803,921,3566
8291,1,1,595,1,1,118,797,14663,18399,16303,3750
1081,1,1,1,1,1,6330,1385,5166,1540,3150,3917
1,1,1,1,1,1,880,755,1,1,1,572
1,1,1,1,1,1,1,1,477,585,1,1
1441,1570,1,595,6736,17490,6076,5037,2165,1289,1183,5709
2103445,4711,1,4166,1,1,6516,13475,8422,6445,6991,6615
720,1,1,1,1,1,10849,797,6325,3181,4579,6633
1,1,1,1,1,1,1,881,1,1,1,1016
1,1,1,1,1,1,1303,1007,1,1,1,1238
3388223,543384,301539,186912,1,1,9563,23298,12190,9057,9158,9571
5003208,1,1,1,1,1,13134,26740,13350,11702,14398,13211
1,1570,2555,1190,1684,2498,1,1,1,1,1,1
4685979,1,1,1,1,1,13286,24515,12838,11635,14321,13655
1,1,1,1,1,1,1,1,545,251,1,1
5018348,1,1,1785,1,1,13676,28587,13265,12707,14675,15040
6488,1,1,1785,23577,72460,19210,16959,5899,4018,4364,15299
9698920,1,1,1,1,1,26252,53858,24006,23305,29980,29157
1,1,1,1,1,1,12440,1,1,1,1,9608
23431,1,1,1,1,1,3977,12047,237917,292908,276368,62509
174115,1,1,595,1684,1,4451,14356,311165,374862,374683,75573
1028831,6281,19165,41668,45470,732097,7963842,10965434,8661990,578198,21497,147174
33164,1,1,3571,95993,149917,307612,259471,94850,64073,66199,272305
157893,1570,2555,32144,466494,697116,389127,299015,123681,81853,91538,327313
1,1,1,1,1,1,1,1,41943,1,1,110976
1,1,1,1,1,1,101,125,204,16,1,1
1,1,1,1,1,1,1,209,24211,1,1,54213
1,1,1,1,60627,84953,19447,671,64262,1,1,178993
1,1,1,1,1,1,1,1,1,1,19023,69586
11314265,14134,17887,36311,117886,74958,990793,4237056,63422897,80337483,79063151,18609018
11243970,130349,173768,2447125,31135586,53635500,87607720,80850736,24905930,17231069,19104137,79904230
1,1,1,1,1,1,1,1,153,301,1,1
1,1,1,1,1,1,1,167,68,133,1,1
18024,1,1,1190,1,1,16,1,34,50,46,36
1,1,1,1,1,1,1,251,153,100,1,1
1,1,1,1,1,1,1,1,545,117,1,1
1,1,1,1,1,1,626,1,1,150,1,1
10093,1,1,1,1,1,1,1,1,803,1,1
1,1,1,1,1,1,1,1,460,167,1,1
1,1,1,1,1,1,1,1,238,1171,1,1
14779,1,1,1,1,1,1,503,1,100,1,1
1,1,1,1,1,1,1,1,511,502,1,1
1,4711,11499,31548,37050,4997,507,83,1,1,1,1
360,9422,20443,35120,106098,12493,2505,41,1,1,1,1
360,3140,5110,595,1,1,1,1,1,1,1,1
360,4711,2555,25596,18525,2498,457,1,1,1,1,1
720,1,1,1,1,1,1,209,1,1,1,1
360,1,1,1190,5052,2498,1,1,1,1,1,1
1,1,1,1190,3368,2498,1,1,1,1,1,1
4686,1,1,1,1,1,1,461,1,1,1,1
4325,1570,1277,1785,1,1,1,1,1,1,46,36
1,7852,12777,28572,60627,2498,693,41,1,1,1,1
1,1,1,1,1,1,61915,25565,1,1,1,1
1,1,1,1785,1684,2498,1,1,1,1,1,1
6488,1,1,1,1,1,1,1,17,33,30,36
6849,1,1,1,1,1,50,83,1,1,1,1
1,1,1,1,1,1,45852,41769,1,1,1,1
