242595,196463,1,375939,542372,531914,966183,431654,352375,906344,342092,428367,352422,468764,476758,475635,475457
151622,1,1,1,271186,265957,414078,1294964,309663,1,1,1,1,1,1,1,1
333569,196463,1,1127819,836158,3191489,1173222,1007194,918312,1208459,637536,650483,594713,569214,547526,567850,489442
277974,196463,534759,375939,813559,664893,1104209,1151079,1377469,1812688,1041828,943994,853524,794030,633194,509609,545378
6075002,392927,534759,1503759,1491525,797872,1863354,1582733,1003737,1208459,435391,507694,517621,416148,428337,395554,559362
272920,589390,1069518,1503759,790960,531914,690131,863309,790176,1,754159,825003,776431,722280,756108,647932,573346
192054,196463,534759,1,361581,531914,828157,863309,683395,604229,777484,896398,963656,760547,752383,655212,657250
65703,392927,1,375939,451977,1063829,621118,1294964,448478,604229,793033,745676,660792,779680,640643,752281,727171
1399979,589390,534759,1,813559,1728723,4623878,4748201,11318739,3021148,5349090,2213231,848017,664880,309147,507183,1048804
141514,982318,1069518,375939,474576,930851,414078,1,363053,604229,769709,1062985,1640969,2176408,3013259,3712871,4908404
4407156,1571709,2673796,2255639,1288135,1462765,483091,719424,2754938,4833836,7121754,7504363,7736784,7538505,7315256,6634634,6628443
50540,1178781,2673796,1879699,451977,265957,207039,287769,1131873,604229,2495723,3744248,4553964,4893332,6499553,7639293,10837645
50540,5500982,8556149,4511278,1604519,1994680,828157,1438848,4431393,9365558,12369771,16777724,17307268,19611594,20400029,21925354,22346524
1607197,24950884,28342245,17293233,9129943,11037234,8833678,12230215,25680726,62235649,60293888,60074567,60693832,58940017,56827324,54351096,48692490
439704,196463,534759,375939,971751,797872,1932367,2014388,597971,302114,38874,23798,5506,1,1,1,1
293136,392927,1604278,1503759,1988700,2659574,2553485,2877697,1302722,906344,77748,15865,33039,9566,29797,12133,13984
429596,1,1,1,22598,132978,1,1,128136,302114,46649,1,22026,4783,14898,7280,13984
121297,1,1,1,1,1,1,1,42712,1,23324,7932,5506,4783,3724,1,1
5054,1,1,1,1,1,1,287769,32034,302114,15549,15865,11013,4783,3724,2426,13984
202163,1,1,375939,474576,398936,966183,575539,298985,1,23324,7932,11013,19133,18623,21840,13984
2026685,392927,1,1503759,1853107,1728723,1173222,863309,309663,1,1,1,1,1,1,1,1
272920,1,534759,1,112994,1,552104,431654,811532,302114,209920,39663,11013,4783,1,1,1
15162,1,1,1,22598,132978,1,1,21356,1,15549,15865,16519,19133,11174,9706,13984
727787,1,1,751879,384180,797872,552104,143884,181526,1,7774,1,22026,4783,14898,9706,13984
490245,392927,534759,375939,180790,664893,1242236,2877697,6203950,3021148,2394650,983658,693832,397015,186233,165016,83904
202163,1,534759,375939,474576,531914,1104209,1151079,298985,1,1,1,1,1,1,1,1
778328,392927,1,1,158192,1,207039,719424,790176,1,373192,222116,192731,100449,37246,36400,69920
197109,1,1,1,406779,265957,966183,1007194,1025093,1,178821,87260,11013,52616,52145,48534,83904
156676,1,1,1,451977,398936,414078,287769,234917,1,46649,23798,49559,33483,40971,24267,69920
222379,1,534759,751879,248587,265957,897170,1294964,1260010,1,209920,134856,60572,43049,7449,12133,27968
156676,1,1,1,316384,398936,621118,287769,213561,1,31099,1,11013,14349,11174,9706,13984
55594,196463,1,1,1,132978,1,1,1,1,7774,31730,5506,1,1,1,1
30324,196463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
348731,1,1,751879,1039548,1329787,1449275,1438848,544580,1,54423,15865,33039,52616,81942,97068,153824
293136,392927,534759,1,677966,797872,759144,575539,416444,1,132172,63461,77092,100449,29797,65521,139840
283028,196463,534759,1,655367,664893,1104209,575539,523224,1,31099,7932,5506,1,1,1,1
80865,1,534759,1,225988,132978,207039,287769,53390,1,77748,111058,77092,76533,59594,46107,83904
55594,1,1,375939,112994,1,138026,1,64068,1,15549,1,33039,19133,37246,24267,167808
101081,1,1,1,90395,1,1,1,96102,1,15549,15865,11013,14349,18623,19413,27968
409380,196463,1,1,316384,132978,414078,287769,427122,1,248794,190385,110132,66966,67044,41254,27968
257758,1,1,1,45197,1,207039,719424,1003737,1208459,233245,150721,77092,23916,44696,4853,27968
318406,1,534759,1,700564,797872,414078,575539,277629,302114,15549,63461,132158,71749,55870,114055,125856
222379,4125736,6417112,1503759,1378531,265957,276052,431654,96102,1,15549,23798,16519,14349,14898,14560,27968
30324,196463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141514,196463,534759,1,135593,265957,414078,287769,298985,1,7774,7932,1,4783,3724,2426,27968
318406,1,534759,375939,903954,664893,1311249,1726618,715429,604229,31099,15865,1,1,1,1,1
141514,1,1,375939,225988,797872,759144,431654,234917,1,31099,39663,5506,33483,29797,24267,27968
171838,1,1,1,158192,132978,276052,863309,405766,1,155496,182452,93612,90883,111740,77654,41952
35378,1,1,375939,90395,132978,1,1,1,1,1,1,16519,1,14898,24267,27968
166784,1,1,1,384180,398936,621118,431654,298985,1,1,1,1,1,1,1,1
60648,196463,1,1,67796,265957,345065,287769,85424,1,15549,7932,11013,9566,14898,24267,13984
343677,196463,1,1,338983,265957,345065,431654,213561,1,93298,47596,66079,71749,70768,70374,27968
227433,1,1,1,790960,1329787,1035196,1438848,747463,1,178821,126923,44052,23916,22348,21840,13984
207217,1,1,375939,384180,797872,414078,575539,320341,1,38874,15865,27533,4783,11174,19413,27968
75811,1,1,1,1,1,69013,287769,85424,1,23324,39663,82599,62183,59594,50960,41952
10108,1,1,1,22598,1,69013,1,53390,1,54423,23798,27533,9566,18623,24267,13984
2936419,1,2139037,1503759,1762711,930851,828157,287769,181526,1,31099,7932,11013,1,1,1,1
748003,1,1,375939,519774,398936,345065,1,213561,1,69973,31730,27533,9566,18623,14560,27968
121297,1,534759,375939,112994,132978,345065,431654,395088,1,46649,7932,11013,4783,3724,1,1
212271,1,1,751879,67796,1,1,143884,74746,302114,1,1,1,1,1,1,1
1,1,1,1,1,1,138026,143884,10678,302114,1,1,1,1,1,1,1
247649,1,534759,1,610169,398936,621118,1007194,320341,302114,7774,7932,5506,4783,1,1,1
20216,1,1,1,1,1,1,143884,181526,302114,116622,150721,55066,52616,18623,9706,1
30324,196463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20216,196463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141514,1,1,1,1039548,930851,897170,1438848,448478,1,7774,1,5506,9566,7449,4853,1
10108,1,534759,1,1,1,1,1,96102,302114,1,1,1,1,1,1,1
20216,196463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15162,1,1,1,1,1,1,1,74746,1,7774,15865,5506,9566,1,1,1
50540,1,534759,1,271186,132978,345065,287769,256273,302114,7774,7932,1,1,1,1,1
50540,1,1,1,1,132978,1,1,42712,604229,7774,1,1,1,1,1,1
15162,1,1,1,90395,132978,1,1,64068,1,23324,39663,44052,9566,22348,14560,1
3583341,785854,1069518,3007518,2237288,1329787,1173222,575539,266951,302114,15549,7932,1,1,1,1,1
90973,1,1,375939,90395,1,276052,1,298985,1,1,1,1,1,1,1,1
146568,1,1,751879,180790,265957,207039,287769,277629,1,54423,39663,33039,4783,14898,7280,1
141514,1,1,1,519774,664893,759144,863309,298985,1,1,1,1,1,1,1,1
