Fitness,Establishment_Time,Error_Fitness,Error_Establishment_Time,Probability_Adaptive,Mean_Fitness,Kappa_Value,Mutant_Cell_Fraction,Inference_Time
0.0,0.0,0.0,0.0,6.513638350940497e-05,9.837994265849193e-06,2.5,0.00014984184785706166,130.78189
0.0,0.0,0.0,0.0,0.00966772982258887,1.5707293950632465e-05,2.5,0.00020142485598865606,130.58487
0.035,-88.0,0.0028766165870591468,10.617330516292032,0.9998960961315749,2.794807127874676e-05,2.5,0.00028279109916439686,130.80658
0.0,0.0,0.0,0.0,0.6233266854809637,7.492118820108793e-05,2.5,0.0006911892239715286,131.16
0.0,0.0,0.0,0.0,0.0001332890098998029,0.00021883719324231155,2.5,0.0018411680991757364,131.21072
0.0,0.0,0.0,0.0,0.5779665771712216,0.00013407397391079038,2.5,0.0011212314921041492,133.04794
0.0,0.0,0.0,0.0,2.6530500212636457e-05,0.0015446634724653456,2.5,0.010706008817109746,132.10689
0.0,0.0,0.0,0.0,3.471286320529721e-05,0.00667351074997472,2.5,0.04626174132253838,132.18677
0.215,52.0,0.059316542375894725,8.473773716008786,0.9965414749869019,0.021975323673027434,2.5,0.14720943853244323,133.4901
0.0,0.0,0.0,0.0,0.45089252109641437,0.059575512852874206,2.5,0.366219230951083,132.18075
0.0,0.0,0.0,0.0,2.791685208206069e-05,0.14275677056935582,2.5,0.6898763011891184,131.33906
0.13,26.0,0.01627961014918297,6.500874407235217,0.9999999426244331,0.2639845873668328,2.5,0.8523819965227316,134.90006
0.2,48.0,0.00847349706867649,0.052592330168174516,0.9997386981936116,,,,142.56972
0.0,0.0,0.0,0.0,0.8983719766934404,,,,140.75315
0.0,0.0,0.0,0.0,7.670985102909298e-05,,,,140.13338
0.0,0.0,0.0,0.0,4.053181056597261e-05,,,,139.9208
0.0,0.0,0.0,0.0,0.0351591475846052,,,,140.21455
0.0,0.0,0.0,0.0,2.4636610048283586e-05,,,,132.58398
0.0,0.0,0.0,0.0,2.805967274028349e-05,,,,130.45869
0.0,0.0,0.0,0.0,0.00033286942628009387,,,,138.05756
0.16,34.0,0.013210597442806971,4.659547662336112,0.9999999999999211,,,,142.6517
0.0,0.0,0.0,0.0,0.13370410085008244,,,,140.52624
0.0,0.0,0.0,0.0,3.0929782333023174e-05,,,,141.82026
0.0,0.0,0.0,0.0,0.00019937411788977893,,,,141.47749
0.0,0.0,0.0,0.0,0.1216570839576411,,,,141.19622
0.23500000000000001,52.0,0.041757060903739845,5.503782096498002,0.9999971237540742,,,,130.87956
0.24,52.0,0.04354090590090119,5.416559534987641,0.9999994990390282,,,,131.58409
0.0,0.0,0.0,0.0,0.0005466219486586571,,,,135.52744
0.0,0.0,0.0,0.0,2.308317932300429e-05,,,,132.29102
0.225,50.0,0.05722041590702831,7.724764581699198,0.9999997328468997,,,,131.40985
0.0,0.0,0.0,0.0,0.0001754363722344103,,,,130.81315
0.0,0.0,0.0,0.0,6.0936199353739504e-05,,,,130.52075
0.0,0.0,0.0,0.0,4.3874502443724756e-05,,,,131.34826
0.0,0.0,0.0,0.0,2.6804491629401604e-05,,,,131.02847
0.0,0.0,0.0,0.0,3.035214033663534e-05,,,,130.85231
0.0,0.0,0.0,0.0,2.141519693451964e-05,,,,131.04495
0.0,0.0,0.0,0.0,2.7784952926467105e-05,,,,130.88225
0.0,0.0,0.0,0.0,2.7719701274014146e-05,,,,133.82618
